id,city,lat,long,alt,date,tmax,tmin
JA000047759,Kyoto,35.017,135.733,46,2023-03-01,17,8
JA000047759,Kyoto,35.017,135.733,46,2023-03-02,15,10
JA000047759,Kyoto,35.017,135.733,46,2023-03-03,14,4
JA000047759,Kyoto,35.017,135.733,46,2023-03-04,13,1
JA000047759,Kyoto,35.017,135.733,46,2023-03-05,15,6
JA000047759,Kyoto,35.017,135.733,46,2023-03-06,18,8
JA000047759,Kyoto,35.017,135.733,46,2023-03-07,18,9
JA000047759,Kyoto,35.017,135.733,46,2023-03-08,10,0
JA000047759,Kyoto,35.017,135.733,46,2023-03-09,13,4
JA000047759,Kyoto,35.017,135.733,46,2023-03-10,14,5
JA000047759,Kyoto,35.017,135.733,46,2023-03-11,14,2
JA000047759,Kyoto,35.017,135.733,46,2023-03-12,11,0
JA000047759,Kyoto,35.017,135.733,46,2023-03-13,13,2
JA000047759,Kyoto,35.017,135.733,46,2023-03-14,15,6
JA000047759,Kyoto,35.017,135.733,46,2023-03-15,14,2
JA000047759,Kyoto,35.017,135.733,46,2023-03-16,15,1
JA000047759,Kyoto,35.017,135.733,46,2023-03-17,10,1
JA000047759,Kyoto,35.017,135.733,46,2023-03-18,12,4
JA000047759,Kyoto,35.017,135.733,46,2023-03-19,11,2
JA000047759,Kyoto,35.017,135.733,46,2023-03-20,12,3
JA000047759,Kyoto,35.017,135.733,46,2023-03-21,15,2
JA000047759,Kyoto,35.017,135.733,46,2023-03-22,15,2
JA000047759,Kyoto,35.017,135.733,46,2023-03-23,17,8
JA000047759,Kyoto,35.017,135.733,46,2023-03-24,18,7
JA000047759,Kyoto,35.017,135.733,46,2023-03-25,17,3
JA000047759,Kyoto,35.017,135.733,46,2023-03-26,17,3
JA000047759,Kyoto,35.017,135.733,46,2023-03-27,14,3
JA000047759,Kyoto,35.017,135.733,46,2023-03-28,14,7
JA000047759,Kyoto,35.017,135.733,46,2023-03-29,15,8
JA000047759,Kyoto,35.017,135.733,46,2023-03-30,15,4
JA000047759,Kyoto,35.017,135.733,46,2023-03-31,16,4
JA000047759,Kyoto,35.017,135.733,46,2023-04-01,15,4
JA000047759,Kyoto,35.017,135.733,46,2023-04-02,15,8
JA000047759,Kyoto,35.017,135.733,46,2023-04-03,16,9
JA000047759,Kyoto,35.017,135.733,46,2023-04-04,18,9
JA000047759,Kyoto,35.017,135.733,46,2023-04-05,20,5
JA000047759,Kyoto,35.017,135.733,46,2023-04-06,17,5
JA000047759,Kyoto,35.017,135.733,46,2023-04-07,17,5
JA000047759,Kyoto,35.017,135.733,46,2023-04-08,17,6
JA000047759,Kyoto,35.017,135.733,46,2023-04-09,17,9
JA000047759,Kyoto,35.017,135.733,46,2023-04-10,19,9
JA000047759,Kyoto,35.017,135.733,46,2023-04-11,21,8
JA000047759,Kyoto,35.017,135.733,46,2023-04-12,21,11
JA000047759,Kyoto,35.017,135.733,46,2023-04-13,21,11
JA000047759,Kyoto,35.017,135.733,46,2023-04-14,18,11
JA000047759,Kyoto,35.017,135.733,46,2023-04-15,19,12
JA000047759,Kyoto,35.017,135.733,46,2023-04-16,21,8
JA000047759,Kyoto,35.017,135.733,46,2023-04-17,20,6
JA000047759,Kyoto,35.017,135.733,46,2023-04-18,19,7
JA000047759,Kyoto,35.017,135.733,46,2023-04-19,20,9
JA000047759,Kyoto,35.017,135.733,46,2023-04-20,21,12
JA000047759,Kyoto,35.017,135.733,46,2023-04-21,22,9
JA000047759,Kyoto,35.017,135.733,46,2023-04-22,20,9
JA000047759,Kyoto,35.017,135.733,46,2023-04-23,21,11
JA000047759,Kyoto,35.017,135.733,46,2023-04-24,20,10
JA000047759,Kyoto,35.017,135.733,46,2023-04-25,21,11
JA000047759,Kyoto,35.017,135.733,46,2023-04-26,22,9
JA000047759,Kyoto,35.017,135.733,46,2023-04-27,21,9
JA000047759,Kyoto,35.017,135.733,46,2023-04-28,21,11
JA000047759,Kyoto,35.017,135.733,46,2023-04-29,24,12
JA000047759,Kyoto,35.017,135.733,46,2023-04-30,21,11
GME00127786,Liestal,47.481403,7.730519,350,2023-03-01,7,-1
GME00127786,Liestal,47.481403,7.730519,350,2023-03-02,8,-1
GME00127786,Liestal,47.481403,7.730519,350,2023-03-03,9,0
GME00127786,Liestal,47.481403,7.730519,350,2023-03-04,1,-1
GME00127786,Liestal,47.481403,7.730519,350,2023-03-05,3,2
GME00127786,Liestal,47.481403,7.730519,350,2023-03-06,6,5
GME00127786,Liestal,47.481403,7.730519,350,2023-03-07,6,2
GME00127786,Liestal,47.481403,7.730519,350,2023-03-08,5,-2
GME00127786,Liestal,47.481403,7.730519,350,2023-03-09,4,-2
GME00127786,Liestal,47.481403,7.730519,350,2023-03-10,4,-3
GME00127786,Liestal,47.481403,7.730519,350,2023-03-11,5,-3
GME00127786,Liestal,47.481403,7.730519,350,2023-03-12,5,-2
GME00127786,Liestal,47.481403,7.730519,350,2023-03-13,9,-1
GME00127786,Liestal,47.481403,7.730519,350,2023-03-14,10,-1
GME00127786,Liestal,47.481403,7.730519,350,2023-03-15,11,2
GME00127786,Liestal,47.481403,7.730519,350,2023-03-16,11,2
GME00127786,Liestal,47.481403,7.730519,350,2023-03-17,8,1
GME00127786,Liestal,47.481403,7.730519,350,2023-03-18,10,-1
GME00127786,Liestal,47.481403,7.730519,350,2023-03-19,8,-1
GME00127786,Liestal,47.481403,7.730519,350,2023-03-20,10,-1
GME00127786,Liestal,47.481403,7.730519,350,2023-03-21,10,-1
GME00127786,Liestal,47.481403,7.730519,350,2023-03-22,12,-1
GME00127786,Liestal,47.481403,7.730519,350,2023-03-23,14,3
GME00127786,Liestal,47.481403,7.730519,350,2023-03-24,12,4
GME00127786,Liestal,47.481403,7.730519,350,2023-03-25,13,2
GME00127786,Liestal,47.481403,7.730519,350,2023-03-26,13,3
