"","id","date","tmax","tmin","prcp","year","month","day"
"1","CA001108395",1957-01-01,9.4,-1.7,0,"1957",1,1
"2","CA001108395",1957-01-02,26.4,15.1,0,"1957",1,2
"3","CA001108395",1957-01-03,23.4,12.2,0,"1957",1,3
"4","CA001108395",1957-01-04,17.3,5,0,"1957",1,4
"5","CA001108395",1957-01-05,16.8,4,0,"1957",1,5
"6","CA001108395",1957-01-06,9.4,0.6,2,"1957",1,6
"7","CA001108395",1957-01-07,5.6,1.1,6.1,"1957",1,7
"8","CA001108395",1957-01-08,5.6,1.1,8.9,"1957",1,8
"9","CA001108395",1957-01-09,2.8,-3.7,0.3,"1957",1,9
"10","CA001108395",1957-01-10,8,-0.6,9.9,"1957",1,10
"11","CA001108395",1957-01-11,7.1,-1.3,14,"1957",1,11
"12","CA001108395",1957-01-12,26,11.9,0,"1957",1,12
"13","CA001108395",1957-01-13,16.3,1,0,"1957",1,13
"14","CA001108395",1957-01-14,9.6,-0.1,1.6,"1957",1,14
"15","CA001108395",1957-01-15,9.9,-0.7,0,"1957",1,15
"16","CA001108395",1957-01-16,11,1.9,18.3,"1957",1,16
"17","CA001108395",1957-01-17,18,11.9,10.4,"1957",1,17
"18","CA001108395",1957-01-18,5.2,-7.7,0,"1957",1,18
"19","CA001108395",1957-01-19,6.6,1.5,9.1,"1957",1,19
"20","CA001108395",1957-01-20,8.1,-3.8,0,"1957",1,20
"21","CA001108395",1957-01-21,27.2,16,3.8,"1957",1,21
"22","CA001108395",1957-01-22,21.5,11.4,0,"1957",1,22
"23","CA001108395",1957-01-23,9.8,2.8,15,"1957",1,23
"24","CA001108395",1957-01-24,4.4,0,20.3,"1957",1,24
"25","CA001108395",1957-01-25,14.2,4.3,0,"1957",1,25
"26","CA001108395",1957-01-26,2,-7.5,1.5,"1957",1,26
"27","CA001108395",1957-01-27,24.4,12.7,0,"1957",1,27
"28","CA001108395",1957-01-28,11,0.2,0,"1957",1,28
"29","CA001108395",1957-01-29,7.2,-4.9,0,"1957",1,29
"30","CA001108395",1957-01-30,19.4,11.2,7.1,"1957",1,30
"31","CA001108395",1957-01-31,7.4,-5.3,0,"1957",1,31
"32","CA001108395",1957-07-01,20,10,2,"1957",7,1
"33","CA001108395",1957-07-02,19.4,10,7.1,"1957",7,2
"34","CA001108395",1957-07-03,20,10,0,"1957",7,3
"35","CA001108395",1957-07-04,20,11.7,26.7,"1957",7,4
"36","CA001108395",1957-07-05,23.3,11.7,0,"1957",7,5
"37","CA001108395",1957-07-06,18.9,10,1,"1957",7,6
"38","CA001108395",1957-07-07,22.2,8.9,0,"1957",7,7
"39","CA001108395",1957-07-08,21.1,12.8,0,"1957",7,8
"40","CA001108395",1957-07-09,17.8,12.2,11.9,"1957",7,9
"41","CA001108395",1957-07-10,20.6,11.1,0,"1957",7,10
"42","CA001108395",1957-07-11,17.8,11.1,7.9,"1957",7,11
"43","CA001108395",1957-07-12,20,11.7,0,"1957",7,12
"44","CA001108395",1957-07-13,20.6,11.7,0,"1957",7,13
"45","CA001108395",1957-07-14,18.9,12.2,6.1,"1957",7,14
"46","CA001108395",1957-07-15,20,13.3,4.1,"1957",7,15
"47","CA001108395",1957-07-16,21.1,13.3,2,"1957",7,16
"48","CA001108395",1957-07-17,18.9,13.3,0,"1957",7,17
"49","CA001108395",1957-07-18,20,11.1,0,"1957",7,18
"50","CA001108395",1957-07-19,22.2,11.1,0,"1957",7,19
"51","CA001108395",1957-07-20,22.8,13.9,2.8,"1957",7,20
"52","CA001108395",1957-07-21,21.1,11.7,0,"1957",7,21
"53","CA001108395",1957-07-22,22.2,11.7,9.4,"1957",7,22
"54","CA001108395",1957-07-23,22.8,12.2,0,"1957",7,23
"55","CA001108395",1957-07-24,22.2,11.7,2.8,"1957",7,24
"56","CA001108395",1957-07-25,21.7,11.1,0,"1957",7,25
"57","CA001108395",1957-07-26,21.1,11.1,0.3,"1957",7,26
"58","CA001108395",1957-07-27,20.6,11.1,0.5,"1957",7,27
"59","CA001108395",1957-07-28,17.8,11.1,7.9,"1957",7,28
"60","CA001108395",1957-07-29,20,13.3,6.1,"1957",7,29
"61","CA001108395",1957-07-30,22.2,11.7,0,"1957",7,30
"62","CA001108395",1957-07-31,20.6,10,0,"1957",7,31
"63","CA001108395",1957-08-01,21.1,10,6.7,"1957",8,1
"64","CA001108395",1957-08-02,19.4,10,3,"1957",8,2
"65","CA001108395",1957-08-03,21.7,10,0,"1957",8,3
"66","CA001108395",1957-08-04,19.4,12.2,7.1,"1957",8,4
"67","CA001108395",1957-08-05,22.2,12.8,0,"1957",8,5
"68","CA001108395",1957-08-06,21.7,12.2,0,"1957",8,6
"69","CA001108395",1957-08-07,21.7,12.2,3,"1957",8,7
"70","CA001108395",1957-08-08,18.9,13.3,7.9,"1957",8,8
"71","CA001108395",1957-08-09,21.1,13.3,0.3,"1957",8,9
"72","CA001108395",1957-08-10,20.6,13.3,2,"1957",8,10
"73","CA001108395",1957-08-11,21.1,13.3,0,"1957",8,11
"74","CA001108395",1957-08-12,20.6,13.3,0.5,"1957",8,12
"75","CA001108395",1957-08-13,22.2,12.2,0.3,"1957",8,13
"76","CA001108395",1957-08-14,20.6,11.1,0,"1957",8,14
"77","CA001108395",1957-08-15,21.7,11.1,2.3,"1957",8,15
"78","CA001108395",1957-08-16,24.4,11.7,1.3,"1957",8,16
"79","CA001108395",1957-08-17,22.2,12.2,5.1,"1957",8,17
"80","CA001108395",1957-08-18,22.8,12.2,0,"1957",8,18
"81","CA001108395",1957-08-19,21.7,12.2,0,"1957",8,19
"82","CA001108395",1957-08-20,21.7,13.9,17.5,"1957",8,20
"83","CA001108395",1957-08-21,22.8,11.7,7.9,"1957",8,21
"84","CA001108395",1957-08-22,22.8,11.7,0,"1957",8,22
"85","CA001108395",1957-08-23,24.4,12.2,0,"1957",8,23
"86","CA001108395",1957-08-24,20.6,13.9,5.1,"1957",8,24
"87","CA001108395",1957-08-25,20,10,0,"1957",8,25
"88","CA001108395",1957-08-26,20,10,0,"1957",8,26
"89","CA001108395",1957-08-27,22.2,10,7.4,"1957",8,27
"90","CA001108395",1957-08-28,20.6,10,3.6,"1957",8,28
"91","CA001108395",1957-08-29,21.7,10,0,"1957",8,29
"92","CA001108395",1957-08-30,22.8,10,0,"1957",8,30
"93","CA001108395",1957-08-31,23.3,10,0,"1957",8,31
"94","CA001108395",1957-09-01,22.8,10.6,3.6,"1957",9,1
"95","CA001108395",1957-09-02,21.1,12.8,1,"1957",9,2
"96","CA001108395",1957-09-03,21.7,11.1,0,"1957",9,3
"97","CA001108395",1957-09-04,22.2,11.1,0,"1957",9,4
"98","CA001108395",1957-09-05,25.6,11.7,0,"1957",9,5
"99","CA001108395",1957-09-06,20,15,6.1,"1957",9,6
"100","CA001108395",1957-09-07,21.7,10.6,18,"1957",9,7
"101","CA001108395",1957-09-08,19.4,10.6,6.1,"1957",9,8
"102","CA001108395",1957-09-09,19.4,10.6,0,"1957",9,9
"103","CA001108395",1957-09-10,19.4,10.6,7.6,"1957",9,10
"104","CA001108395",1957-09-11,19.4,11.7,1.5,"1957",9,11
"105","CA001108395",1957-09-12,21.1,11.7,0,"1957",9,12
"106","CA001108395",1957-09-13,22.2,11.7,0.8,"1957",9,13
"107","CA001108395",1957-09-14,22.8,10.6,0,"1957",9,14
"108","CA001108395",1957-09-15,22.2,10.6,0,"1957",9,15
"109","CA001108395",1957-09-16,22.8,11.7,9.4,"1957",9,16
"110","CA001108395",1957-09-17,18.9,12.8,25.9,"1957",9,17
"111","CA001108395",1957-09-18,20,7.8,1,"1957",9,18
"112","CA001108395",1957-09-19,19.4,6.7,0,"1957",9,19
"113","CA001108395",1957-09-20,18.3,6.7,2,"1957",9,20
"114","CA001108395",1957-09-21,18.9,7.8,0,"1957",9,21
"115","CA001108395",1957-09-22,18.9,7.8,2.3,"1957",9,22
"116","CA001108395",1957-09-23,20.6,7.8,7.4,"1957",9,23
"117","CA001108395",1957-09-24,21.7,8.3,0,"1957",9,24
"118","CA001108395",1957-09-25,22.2,9.4,1.3,"1957",9,25
"119","CA001108395",1957-09-26,20,10.6,0,"1957",9,26
"120","CA001108395",1957-09-27,20,12.8,0.3,"1957",9,27
"121","CA001108395",1957-09-28,22.2,13.9,2,"1957",9,28
"122","CA001108395",1957-09-29,22.2,9.4,0,"1957",9,29
"123","CA001108395",1957-09-30,19.4,8.9,0,"1957",9,30
"124","CA001108395",1957-10-01,21.1,8.9,0,"1957",10,1
"125","CA001108395",1957-10-02,20.6,11.1,7.1,"1957",10,2
"126","CA001108395",1957-10-03,15,6.1,0,"1957",10,3
"127","CA001108395",1957-10-04,12.8,5,8.6,"1957",10,4
"128","CA001108395",1957-10-05,13.3,4.4,2.8,"1957",10,5
"129","CA001108395",1957-10-06,14.4,4.4,0,"1957",10,6
"130","CA001108395",1957-10-07,12.8,1.7,0,"1957",10,7
"131","CA001108395",1957-10-08,12.2,1.7,0,"1957",10,8
"132","CA001108395",1957-10-09,15,3.9,0,"1957",10,9
"133","CA001108395",1957-10-10,15.6,6.1,12.2,"1957",10,10
"134","CA001108395",1957-10-11,16.7,6.1,2,"1957",10,11
"135","CA001108395",1957-10-12,18.3,6.7,0,"1957",10,12
"136","CA001108395",1957-10-13,16.7,9.4,10.9,"1957",10,13
"137","CA001108395",1957-10-14,16.1,7.8,4.1,"1957",10,14
"138","CA001108395",1957-10-15,13.3,1.1,0,"1957",10,15
"139","CA001108395",1957-10-16,12.2,1.1,0,"1957",10,16
"140","CA001108395",1957-10-17,11.1,2.2,0.5,"1957",10,17
"141","CA001108395",1957-10-18,12.2,1.1,0,"1957",10,18
"142","CA001108395",1957-10-19,11.7,0.6,0,"1957",10,19
"143","CA001108395",1957-10-20,12.8,-0.6,0,"1957",10,20
"144","CA001108395",1957-10-21,12.8,-0.6,0,"1957",10,21
"145","CA001108395",1957-10-22,11.7,2.2,0,"1957",10,22
"146","CA001108395",1957-10-23,10.6,3.3,2,"1957",10,23
"147","CA001108395",1957-10-24,13.3,3.3,26.9,"1957",10,24
"148","CA001108395",1957-10-25,16.1,8.9,3,"1957",10,25
"149","CA001108395",1957-10-26,14.4,10.6,6.1,"1957",10,26
"150","CA001108395",1957-10-27,15.6,6.7,2,"1957",10,27
"151","CA001108395",1957-10-28,12.8,6.7,0,"1957",10,28
"152","CA001108395",1957-10-29,11.1,8.9,4.1,"1957",10,29
"153","CA001108395",1957-10-30,13.3,9.4,15,"1957",10,30
"154","CA001108395",1957-10-31,15,7.2,0,"1957",10,31
"155","CA001108395",1957-11-01,11.1,0.6,0,"1957",11,1
"156","CA001108395",1957-11-02,10,0,0,"1957",11,2
"157","CA001108395",1957-11-03,10,0,1.8,"1957",11,3
"158","CA001108395",1957-11-04,10.6,-1.1,0,"1957",11,4
"159","CA001108395",1957-11-05,11.1,-1.1,0.3,"1957",11,5
"160","CA001108395",1957-11-06,10,-0.6,0.8,"1957",11,6
"161","CA001108395",1957-11-07,11.1,0.6,0,"1957",11,7
"162","CA001108395",1957-11-08,8.9,0.6,2,"1957",11,8
"163","CA001108395",1957-11-09,8.3,0.6,14.5,"1957",11,9
"164","CA001108395",1957-11-10,10.6,1.7,0,"1957",11,10
"165","CA001108395",1957-11-11,14.4,7.8,8.9,"1957",11,11
"166","CA001108395",1957-11-12,11.1,7.2,13,"1957",11,12
"167","CA001108395",1957-11-13,12.2,5.6,18,"1957",11,13
"168","CA001108395",1957-11-14,11.1,5.6,10.9,"1957",11,14
"169","CA001108395",1957-11-15,11.1,5,0,"1957",11,15
"170","CA001108395",1957-11-16,9.4,-1.1,3,"1957",11,16
"171","CA001108395",1957-11-17,10,-1.1,0,"1957",11,17
"172","CA001108395",1957-11-18,7.2,1.7,6.1,"1957",11,18
"173","CA001108395",1957-11-19,7.8,2.8,1,"1957",11,19
"174","CA001108395",1957-11-20,7.2,-4.4,0,"1957",11,20
"175","CA001108395",1957-11-21,7.2,-4.4,0,"1957",11,21
"176","CA001108395",1957-11-22,5.6,-2.2,1,"1957",11,22
"177","CA001108395",1957-11-23,8.3,2.2,1,"1957",11,23
"178","CA001108395",1957-11-24,10.6,5,1,"1957",11,24
"179","CA001108395",1957-11-25,9.4,6.1,0.3,"1957",11,25
"180","CA001108395",1957-11-26,12.2,5,3,"1957",11,26
"181","CA001108395",1957-11-27,8.9,3.3,0.3,"1957",11,27
"182","CA001108395",1957-11-28,7.8,-0.6,7.1,"1957",11,28
"183","CA001108395",1957-11-29,8.3,-0.6,0,"1957",11,29
"184","CA001108395",1957-11-30,7.2,0.6,1,"1957",11,30
"185","CA001108395",1957-12-01,8.3,4.4,2,"1957",12,1
"186","CA001108395",1957-12-02,8.3,5,10.9,"1957",12,2
"187","CA001108395",1957-12-03,9.4,5,4.1,"1957",12,3
"188","CA001108395",1957-12-04,10.6,7.2,0,"1957",12,4
"189","CA001108395",1957-12-05,10.6,0.6,7.1,"1957",12,5
"190","CA001108395",1957-12-06,6.7,0.6,4.1,"1957",12,6
"191","CA001108395",1957-12-07,7.2,1.1,10.9,"1957",12,7
"192","CA001108395",1957-12-08,11.1,1.1,0.5,"1957",12,8
"193","CA001108395",1957-12-09,12.8,5.6,0,"1957",12,9
"194","CA001108395",1957-12-10,13.3,0.6,0.8,"1957",12,10
"195","CA001108395",1957-12-11,9.4,-0.6,7.9,"1957",12,11
"196","CA001108395",1957-12-12,10.6,-0.6,2,"1957",12,12
"197","CA001108395",1957-12-13,8.9,1.7,0,"1957",12,13
"198","CA001108395",1957-12-14,7.2,1.7,7.9,"1957",12,14
"199","CA001108395",1957-12-15,9.4,-0.6,0,"1957",12,15
"200","CA001108395",1957-12-16,7.2,-0.6,1.5,"1957",12,16
"201","CA001108395",1957-12-17,11.1,5,14,"1957",12,17
"202","CA001108395",1957-12-18,11.1,3.9,7.9,"1957",12,18
"203","CA001108395",1957-12-19,7.2,2.2,13,"1957",12,19
"204","CA001108395",1957-12-20,10,2.2,4.1,"1957",12,20
"205","CA001108395",1957-12-21,7.8,1.1,7.9,"1957",12,21
"206","CA001108395",1957-12-22,6.1,1.1,4.1,"1957",12,22
"207","CA001108395",1957-12-23,7.2,2.2,0.5,"1957",12,23
"208","CA001108395",1957-12-24,8.9,3.3,6.1,"1957",12,24
"209","CA001108395",1957-12-25,9.4,2.8,15,"1957",12,25
"210","CA001108395",1957-12-26,10.6,3.9,19.1,"1957",12,26
"211","CA001108395",1957-12-27,8.3,1.1,3,"1957",12,27
"212","CA001108395",1957-12-28,8.3,1.1,29,"1957",12,28
"213","CA001108395",1957-12-29,8.9,1.7,6.1,"1957",12,29
"214","CA001108395",1957-12-30,6.1,-3.3,4.1,"1957",12,30
"215","CA001108395",1957-12-31,3.3,-3.9,0,"1957",12,31
"216","CA001108395",1958-01-01,5,-4.4,0,"1958",1,1
"217","CA001108395",1958-01-02,6.1,-4.4,0.5,"1958",1,2
"218","CA001108395",1958-01-03,8.9,2.8,2,"1958",1,3
"219","CA001108395",1958-01-04,8.9,6.1,7.1,"1958",1,4
"220","CA001108395",1958-01-05,10,5,0,"1958",1,5
"221","CA001108395",1958-01-06,9.4,2.8,22.4,"1958",1,6
"222","CA001108395",1958-01-07,5.6,1.7,25.9,"1958",1,7
"223","CA001108395",1958-01-08,8.3,2.2,13,"1958",1,8
"224","CA001108395",1958-01-09,7.8,1.7,10.9,"1958",1,9
"225","CA001108395",1958-01-10,6.7,1.7,7.1,"1958",1,10
