"Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE"
5,-90,120,0,22.5
6,-90,120,0,23.3
7,-90,120,0,21.1
8,-90,120,0,17.7
9,-90,120,0,16
5,-95,120,0,18.7
6,-95,120,0,21.7
7,-95,120,0,20.3
8,-95,120,0,17.2
9,-95,120,0,15.8
5,-100,120,0,17.1
6,-100,120,0,21.3
7,-100,120,0,19.7
8,-100,120,0,16.8
9,-100,120,0,11.4
5,-105,120,0,15.9
6,-105,120,0,20.5
7,-105,120,0,19.3
8,-105,120,0,16.4
9,-105,120,0,10.1
5,-110,120,0,15.4
6,-110,120,0,19.8
7,-110,120,0,18.7
8,-110,120,0,16.1
9,-110,120,0,9.8
5,-115,120,0,13.8
6,-115,120,0,18.7
7,-115,120,0,18.1
8,-115,120,0,15.1
9,-115,120,0,9.3
5,-120,120,0,12.3
6,-120,120,0,18
7,-120,120,0,17.7
8,-120,120,0,14.5
9,-120,120,0,8.9
5,-125,120,0,13.3
6,-125,120,0,16.2
7,-125,120,0,16.9
8,-125,120,0,14.2
9,-125,120,0,8.7
5,-130,120,0,34.9
6,-130,120,0,15.1
7,-130,120,0,16.3
8,-130,120,0,13.6
9,-130,120,0,8.3
5,-135,120,0,12.44
6,-135,120,0,14.7
7,-135,120,0,15.9
8,-135,120,0,13.5
9,-135,120,0,8.2
5,-140,120,0,11.78
6,-140,120,0,13.5
7,-140,120,0,14.9
8,-140,120,0,13
9,-140,120,0,7.6
5,-145,120,0,15.78
6,-145,120,0,12.7
7,-145,120,0,14.6
8,-145,120,0,12.4
9,-145,120,0,7.2
5,-150,120,0,34.78
6,-150,120,0,11.9
7,-150,120,0,13.9
8,-150,120,0,11.8
9,-150,120,0,7
5,-90,125,0,21.5
6,-90,125,0,21.8
7,-90,125,0,20.2
8,-90,125,0,16.6
9,-90,125,0,14.8
5,-95,125,0,17.9
6,-95,125,0,20.7
7,-95,125,0,19.2
8,-95,125,0,16
9,-95,125,0,14.3
5,-100,125,0,16.4
6,-100,125,0,20.2
7,-100,125,0,18.6
8,-100,125,0,15.8
9,-100,125,0,9.9
5,-105,125,0,15.5
6,-105,125,0,19.7
7,-105,125,0,18.4
8,-105,125,0,15.3
9,-105,125,0,8.7
5,-110,125,0,14.6
6,-110,125,0,18.8
7,-110,125,0,18
8,-110,125,0,14.8
9,-110,125,0,8.3
5,-115,125,0,12.9
6,-115,125,0,17.5
7,-115,125,0,17.4
8,-115,125,0,13.6
9,-115,125,0,8.1
5,-120,125,0,11.9
6,-120,125,0,17
7,-120,125,0,16.8
8,-120,125,0,13
9,-120,125,0,7.8
5,-125,125,0,13
6,-125,125,0,15.4
7,-125,125,0,15.9
8,-125,125,0,12.8
9,-125,125,0,7.7
5,-130,125,0,34.4
6,-130,125,0,14.3
7,-130,125,0,14.9
8,-130,125,0,12
9,-130,125,0,7.3
5,-135,125,0,12.11
6,-135,125,0,13.7
7,-135,125,0,14.5
8,-135,125,0,11.7
9,-135,125,0,7.2
5,-140,125,0,11.33
6,-140,125,0,12.7
7,-140,125,0,14
8,-140,125,0,11.1
9,-140,125,0,6.5
5,-145,125,0,15.56
6,-145,125,0,12
7,-145,125,0,13.6
8,-145,125,0,10.8
9,-145,125,0,6.1
5,-150,125,0,34.44
6,-150,125,0,10.9
7,-150,125,0,13.1
8,-150,125,0,10.3
9,-150,125,0,6.1
5,-90,130,0,20.4
6,-90,130,0,20.7
7,-90,130,0,19.4
8,-90,130,0,15.7
9,-90,130,0,13.2
5,-95,130,0,17
6,-95,130,0,19.9
7,-95,130,0,18.2
8,-95,130,0,14.6
9,-95,130,0,13
5,-100,130,0,15.8
6,-100,130,0,19.3
7,-100,130,0,17.6
8,-100,130,0,14.4
9,-100,130,0,8.5
5,-105,130,0,14.5
6,-105,130,0,18.4
7,-105,130,0,17.3
8,-105,130,0,13.8
9,-105,130,0,7.5
5,-110,130,0,13.9
6,-110,130,0,17.7
7,-110,130,0,17
8,-110,130,0,13.1
9,-110,130,0,7.2
5,-115,130,0,12.2
6,-115,130,0,16.7
7,-115,130,0,16
8,-115,130,0,12.3
9,-115,130,0,7
5,-120,130,0,11.5
6,-120,130,0,16
7,-120,130,0,15.6
8,-120,130,0,11.3
9,-120,130,0,6.9
5,-125,130,0,12.4
6,-125,130,0,14.4
7,-125,130,0,14.7
8,-125,130,0,11
9,-125,130,0,6.7
5,-130,130,0,34
6,-130,130,0,13.5
7,-130,130,0,14
8,-130,130,0,10.3
9,-130,130,0,6.5
5,-135,130,0,11.67
6,-135,130,0,12.9
7,-135,130,0,14
8,-135,130,0,10.2
9,-135,130,0,6.2
5,-140,130,0,10.89
6,-140,130,0,11.8
7,-140,130,0,13.2
8,-140,130,0,9.8
9,-140,130,0,5.6
5,-145,130,0,15.22
6,-145,130,0,11.1
7,-145,130,0,12.8
8,-145,130,0,9.5
9,-145,130,0,4.9
5,-150,130,0,34.11
6,-150,130,0,10
7,-150,130,0,12.3
8,-150,130,0,9.2
9,-150,130,0,4.9
5,-90,135,0,19.3
6,-90,135,0,19.9
7,-90,135,0,18
8,-90,135,0,13.6
9,-90,135,0,11.9
