date,tmax,tmin
2023-03-01,8,-1
2023-03-02,9,1
2023-03-03,13,0
2023-03-04,8,0
2023-03-05,9,1
2023-03-06,10,3
2023-03-07,10,1
2023-03-08,9,0
2023-03-09,9,1
2023-03-10,9,1
2023-03-11,10,2
2023-03-12,10,1
2023-03-13,12,5
2023-03-14,13,3
2023-03-15,11,2
2023-03-16,13,6
2023-03-17,15,6
2023-03-18,15,4
2023-03-19,15,2
2023-03-20,13,2
2023-03-21,13,3
2023-03-22,13,2
2023-03-23,13,7
2023-03-24,16,4
2023-03-25,16,3
2023-03-26,14,5
2023-03-27,15,3
2023-03-28,16,4
2023-03-29,14,4
2023-03-30,15,8
2023-03-31,18,8
2023-04-01,19,9
2023-04-02,19,10
2023-04-03,20,5
2023-04-04,20,8
2023-04-05,17,5
2023-04-06,17,4
2023-04-07,17,5
2023-04-08,18,9
2023-04-09,18,11
2023-04-10,18,7
2023-04-11,19,6
2023-04-12,18,6
2023-04-13,18,7
2023-04-14,19,7
2023-04-15,20,8
2023-04-16,19,11
2023-04-17,19,12
2023-04-18,20,9
2023-04-19,20,7
2023-04-20,20,10
2023-04-21,20,11
2023-04-22,21,12
2023-04-23,23,13
2023-04-24,24,12
2023-04-25,23,13
2023-04-26,22,8
2023-04-27,21,9
2023-04-28,21,13
2023-04-29,21,12
2023-04-30,22,11
