"id","date","year","month","day","tmin","tmax"
"JA000047759","2022-10-01",2022,10,1,15.3,30.9
"JA000047759","2022-10-02",2022,10,2,16,31.2
"JA000047759","2022-10-03",2022,10,3,20.3,30.4
"JA000047759","2022-10-04",2022,10,4,15.1,30.2
"JA000047759","2022-10-05",2022,10,5,10.9,22.1
"JA000047759","2022-10-06",2022,10,6,10.4,21.7
"JA000047759","2022-10-07",2022,10,7,15.2,17.8
"JA000047759","2022-10-08",2022,10,8,14.4,21.4
"JA000047759","2022-10-09",2022,10,9,12.9,19.4
"JA000047759","2022-10-10",2022,10,10,15.1,22.2
"JA000047759","2022-10-11",2022,10,11,12.5,22.7
"JA000047759","2022-10-12",2022,10,12,14.4,20
"JA000047759","2022-10-13",2022,10,13,15.1,25
"JA000047759","2022-10-14",2022,10,14,15.2,27.2
"JA000047759","2022-10-15",2022,10,15,15.3,27.1
"JA000047759","2022-10-16",2022,10,16,16,27.8
"JA000047759","2022-10-17",2022,10,17,15.9,21.1
"JA000047759","2022-10-18",2022,10,18,14.4,21.3
"JA000047759","2022-10-19",2022,10,19,10.4,22.1
"JA000047759","2022-10-20",2022,10,20,10.4,22.7
"JA000047759","2022-10-21",2022,10,21,15.9,23.4
"JA000047759","2022-10-22",2022,10,22,15.9,25
"JA000047759","2022-10-23",2022,10,23,15.9,24.7
"JA000047759","2022-10-24",2022,10,24,10.5,20.2
"JA000047759","2022-10-25",2022,10,25,8.8,19.7
"JA000047759","2022-10-26",2022,10,26,9,21.4
"JA000047759","2022-10-27",2022,10,27,9.3,19.3
"JA000047759","2022-10-28",2022,10,28,9.5,22.4
"JA000047759","2022-10-29",2022,10,29,8.1,19.3
"JA000047759","2022-10-30",2022,10,30,8.8,19.9
"JA000047759","2022-10-31",2022,10,31,8.9,20.5
"JA000047759","2022-11-01",2022,11,1,10.4,15.9
"JA000047759","2022-11-02",2022,11,2,13.4,24
"JA000047759","2022-11-03",2022,11,3,11.3,23.2
"JA000047759","2022-11-04",2022,11,4,10.4,22.2
"JA000047759","2022-11-05",2022,11,5,10.4,18.4
"JA000047759","2022-11-06",2022,11,6,8.9,19.6
"JA000047759","2022-11-07",2022,11,7,7.6,20.1
"JA000047759","2022-11-08",2022,11,8,8.9,20.9
"JA000047759","2022-11-09",2022,11,9,8.9,19.9
"JA000047759","2022-11-10",2022,11,10,8.6,21.7
"JA000047759","2022-11-11",2022,11,11,10.5,21.9
"JA000047759","2022-11-12",2022,11,12,10.9,23.7
"JA000047759","2022-11-13",2022,11,13,10.5,18.1
"JA000047759","2022-11-14",2022,11,14,10.3,16.3
"JA000047759","2022-11-15",2022,11,15,8.1,19.3
"JA000047759","2022-11-16",2022,11,16,6.7,17.6
"JA000047759","2022-11-17",2022,11,17,7.9,16.6
"JA000047759","2022-11-18",2022,11,18,6.7,18.5
"JA000047759","2022-11-19",2022,11,19,7.8,18.5
"JA000047759","2022-11-20",2022,11,20,10.4,17.6
"JA000047759","2022-11-21",2022,11,21,12.5,19.8
"JA000047759","2022-11-22",2022,11,22,10,18.4
"JA000047759","2022-11-23",2022,11,23,6.7,15.6
"JA000047759","2022-11-24",2022,11,24,10.4,18.2
"JA000047759","2022-11-25",2022,11,25,7.9,17.8
"JA000047759","2022-11-26",2022,11,26,10.1,17.2
"JA000047759","2022-11-27",2022,11,27,8.1,18.2
"JA000047759","2022-11-28",2022,11,28,8.8,20.8
"JA000047759","2022-11-29",2022,11,29,13.4,19.5
"JA000047759","2022-11-30",2022,11,30,10.1,17.2
"JA000047759","2022-12-01",2022,12,1,2.4,11.4
"JA000047759","2022-12-02",2022,12,2,0.8,10.9
"JA000047759","2022-12-03",2022,12,3,1.6,12.3
"JA000047759","2022-12-04",2022,12,4,4.9,13.1
"JA000047759","2022-12-05",2022,12,5,4.9,13.4
"JA000047759","2022-12-06",2022,12,6,3.7,13.8
"JA000047759","2022-12-07",2022,12,7,4.2,11.9
"JA000047759","2022-12-08",2022,12,8,4.1,15.6
"JA000047759","2022-12-09",2022,12,9,4.2,14.6
"JA000047759","2022-12-10",2022,12,10,4.7,16.1
"JA000047759","2022-12-11",2022,12,11,4.7,14.8
"JA000047759","2022-12-12",2022,12,12,5.5,13.1
"JA000047759","2022-12-13",2022,12,13,7.4,15
"JA000047759","2022-12-14",2022,12,14,1.7,9.2
"JA000047759","2022-12-15",2022,12,15,0.1,8.8
"JA000047759","2022-12-16",2022,12,16,1.1,9.9
"JA000047759","2022-12-17",2022,12,17,-2,6.5
"JA000047759","2022-12-18",2022,12,18,-4,5.5
"JA000047759","2022-12-19",2022,12,19,-1.6,6.5
"JA000047759","2022-12-20",2022,12,20,-1,9.7
"JA000047759","2022-12-21",2022,12,21,0.2,9.9
"JA000047759","2022-12-22",2022,12,22,3.7,10.4
"JA000047759","2022-12-23",2022,12,23,-0.4,4.5
"JA000047759","2022-12-24",2022,12,24,-0.5,6.8
"JA000047759","2022-12-25",2022,12,25,-1,9.6
"JA000047759","2022-12-26",2022,12,26,-1,8.3
"JA000047759","2022-12-27",2022,12,27,1.1,10
"JA000047759","2022-12-28",2022,12,28,0.6,12.1
"JA000047759","2022-12-29",2022,12,29,1.7,9.2
"JA000047759","2022-12-30",2022,12,30,-0.5,10.2
"JA000047759","2022-12-31",2022,12,31,0.9,11.6
"JA000047759","2023-01-01",2023,1,1,2.4,11.5
"JA000047759","2023-01-02",2023,1,2,2.7,8.7
"JA000047759","2023-01-03",2023,1,3,0.7,9.8
"JA000047759","2023-01-04",2023,1,4,-0.5,8.2
"JA000047759","2023-01-05",2023,1,5,2.2,9.2
"JA000047759","2023-01-06",2023,1,6,0.6,10
"JA000047759","2023-01-07",2023,1,7,1.1,9.6
"JA000047759","2023-01-08",2023,1,8,4.2,12.9
"JA000047759","2023-01-09",2023,1,9,1.5,12.4
"JA000047759","2023-01-10",2023,1,10,2.7,8.4
"JA000047759","2023-01-11",2023,1,11,-0.5,10.5
"JA000047759","2023-01-12",2023,1,12,0.4,14.2
"JA000047759","2023-01-13",2023,1,13,3.7,14.6
"JA000047759","2023-01-14",2023,1,14,10.3,14.8
"JA000047759","2023-01-15",2023,1,15,4.2,13.3
"JA000047759","2023-01-16",2023,1,16,-0.3,10.9
"JA000047759","2023-01-17",2023,1,17,2.7,9
"JA000047759","2023-01-18",2023,1,18,-0.3,10.8
"JA000047759","2023-01-19",2023,1,19,-0.3,11
"JA000047759","2023-01-20",2023,1,20,0.8,12.2
"JA000047759","2023-01-21",2023,1,21,-0.5,7.3
"JA000047759","2023-01-22",2023,1,22,-0.6,8.5
"JA000047759","2023-01-23",2023,1,23,3.6,9.6
"JA000047759","2023-01-24",2023,1,24,0.7,9.3
"JA000047759","2023-01-25",2023,1,25,-2,1.3
"JA000047759","2023-01-26",2023,1,26,-4,5.7
"JA000047759","2023-01-27",2023,1,27,-1.3,3.2
"JA000047759","2023-01-28",2023,1,28,-4,5.2
"JA000047759","2023-01-29",2023,1,29,-2,7.3
"JA000047759","2023-01-30",2023,1,30,-1.4,7.3
"JA000047759","2023-01-31",2023,1,31,-1.6,7.2
