"boostings","learning_rates","max_bins","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"dart",0.1,255,10,-1,18,0.382,0.917,0.138
"gbdt",0.1,255,10,-1,31,0.316,0.927,0.134
"dart",0.01,255,10,-1,6,0.645,0.895,0.404
"gbdt",0.01,255,10,-1,6,0.645,0.898,0.404
"dart",0.1,25,10,-1,13,0.415,0.915,0.133
"gbdt",0.1,25,10,-1,18,0.347,0.926,0.137
"dart",0.01,25,10,-1,6,0.644,0.893,0.404
"gbdt",0.01,25,10,-1,6,0.645,0.896,0.404
"dart",0.1,15,10,-1,18,0.381,0.918,0.134
"gbdt",0.1,15,10,-1,34,0.308,0.93,0.124
"dart",0.01,15,10,-1,6,0.646,0.889,0.404
"gbdt",0.01,15,10,-1,6,0.645,0.892,0.404
"dart",0.1,125,10,-1,18,0.375,0.923,0.137
"gbdt",0.1,125,10,-1,38,0.306,0.932,0.128
"dart",0.01,125,10,-1,6,0.645,0.898,0.404
"gbdt",0.01,125,10,-1,6,0.646,0.901,0.404
"dart",0.1,255,15,-1,18,0.366,0.923,0.131
"gbdt",0.1,255,15,-1,18,0.334,0.929,0.129
"dart",0.01,255,15,-1,6,0.643,0.907,0.404
"gbdt",0.01,255,15,-1,6,0.642,0.916,0.404
"dart",0.1,25,15,-1,18,0.365,0.924,0.128
"gbdt",0.1,25,15,-1,31,0.308,0.93,0.128
"dart",0.01,25,15,-1,6,0.643,0.899,0.404
"gbdt",0.01,25,15,-1,6,0.643,0.904,0.404
"dart",0.1,15,15,-1,9,0.429,0.919,0.134
"gbdt",0.1,15,15,-1,35,0.302,0.931,0.125
"dart",0.01,15,15,-1,6,0.642,0.908,0.404
"gbdt",0.01,15,15,-1,6,0.643,0.898,0.404
"dart",0.1,125,15,-1,18,0.363,0.93,0.131
"gbdt",0.1,125,15,-1,19,0.33,0.93,0.131
"dart",0.01,125,15,-1,6,0.643,0.907,0.404
"gbdt",0.01,125,15,-1,6,0.642,0.902,0.404
"dart",0.1,255,20,-1,11,0.408,0.924,0.134
"gbdt",0.1,255,20,-1,15,0.35,0.928,0.129
"dart",0.01,255,20,-1,6,0.641,0.911,0.404
"gbdt",0.01,255,20,-1,6,0.642,0.909,0.404
"dart",0.1,25,20,-1,18,0.358,0.927,0.124
"gbdt",0.1,25,20,-1,30,0.309,0.929,0.127
"dart",0.01,25,20,-1,6,0.641,0.914,0.404
"gbdt",0.01,25,20,-1,6,0.642,0.913,0.404
"dart",0.1,15,20,-1,18,0.366,0.923,0.129
"gbdt",0.1,15,20,-1,20,0.329,0.926,0.128
"dart",0.01,15,20,-1,6,0.642,0.91,0.404
"gbdt",0.01,15,20,-1,6,0.642,0.906,0.404
"dart",0.1,125,20,-1,15,0.37,0.928,0.126
"gbdt",0.1,125,20,-1,19,0.324,0.934,0.129
"dart",0.01,125,20,-1,6,0.642,0.913,0.404
"gbdt",0.01,125,20,-1,6,0.642,0.902,0.404
"dart",0.1,255,10,10,18,0.378,0.92,0.139
"gbdt",0.1,255,10,10,20,0.336,0.926,0.13
"dart",0.01,255,10,10,6,0.645,0.89,0.404
"gbdt",0.01,255,10,10,6,0.645,0.897,0.404
"dart",0.1,25,10,10,11,0.425,0.917,0.136
"gbdt",0.1,25,10,10,21,0.334,0.922,0.131
"dart",0.01,25,10,10,6,0.645,0.892,0.404
"gbdt",0.01,25,10,10,6,0.645,0.89,0.404
"dart",0.1,15,10,10,19,0.385,0.914,0.141
"gbdt",0.1,15,10,10,21,0.333,0.926,0.131
"dart",0.01,15,10,10,6,0.645,0.893,0.404
"gbdt",0.01,15,10,10,6,0.646,0.877,0.404
"dart",0.1,125,10,10,19,0.375,0.924,0.133
"gbdt",0.1,125,10,10,35,0.309,0.932,0.134
"dart",0.01,125,10,10,6,0.645,0.896,0.404
"gbdt",0.01,125,10,10,6,0.645,0.895,0.404
"dart",0.1,255,15,10,11,0.415,0.92,0.138
"gbdt",0.1,255,15,10,24,0.313,0.933,0.128
"dart",0.01,255,15,10,6,0.644,0.903,0.404
"gbdt",0.01,255,15,10,6,0.643,0.9,0.404
"dart",0.1,25,15,10,18,0.368,0.921,0.131
"gbdt",0.1,25,15,10,13,0.368,0.921,0.132
"dart",0.01,25,15,10,6,0.642,0.907,0.404
"gbdt",0.01,25,15,10,6,0.644,0.898,0.404
"dart",0.1,15,15,10,18,0.371,0.924,0.131
"gbdt",0.1,15,15,10,18,0.341,0.923,0.131
"dart",0.01,15,15,10,6,0.644,0.903,0.404
"gbdt",0.01,15,15,10,6,0.644,0.908,0.404
"dart",0.1,125,15,10,18,0.363,0.93,0.128
"gbdt",0.1,125,15,10,27,0.306,0.933,0.125
"dart",0.01,125,15,10,6,0.643,0.905,0.404
"gbdt",0.01,125,15,10,6,0.643,0.905,0.404
"dart",0.1,255,20,10,18,0.359,0.928,0.128
"gbdt",0.1,255,20,10,21,0.32,0.931,0.128
"dart",0.01,255,20,10,6,0.642,0.897,0.404
"gbdt",0.01,255,20,10,6,0.641,0.909,0.404
"dart",0.1,25,20,10,11,0.407,0.926,0.13
"gbdt",0.1,25,20,10,16,0.343,0.925,0.131
"dart",0.01,25,20,10,6,0.642,0.912,0.404
"gbdt",0.01,25,20,10,6,0.642,0.906,0.404
"dart",0.1,15,20,10,18,0.367,0.926,0.128
"gbdt",0.1,15,20,10,19,0.329,0.929,0.127
"dart",0.01,15,20,10,6,0.642,0.909,0.404
"gbdt",0.01,15,20,10,6,0.642,0.908,0.404
"dart",0.1,125,20,10,18,0.36,0.928,0.129
"gbdt",0.1,125,20,10,20,0.325,0.93,0.129
"dart",0.01,125,20,10,6,0.641,0.911,0.404
"gbdt",0.01,125,20,10,6,0.641,0.908,0.404
"dart",0.1,255,10,20,14,0.403,0.919,0.141
"gbdt",0.1,255,10,20,33,0.309,0.933,0.13
"dart",0.01,255,10,20,6,0.645,0.891,0.404
"gbdt",0.01,255,10,20,6,0.646,0.897,0.404
"dart",0.1,25,10,20,18,0.378,0.92,0.137
"gbdt",0.1,25,10,20,28,0.317,0.927,0.132
"dart",0.01,25,10,20,6,0.645,0.887,0.404
"gbdt",0.01,25,10,20,6,0.644,0.89,0.404
"dart",0.1,15,10,20,18,0.382,0.919,0.137
"gbdt",0.1,15,10,20,15,0.365,0.923,0.132
"dart",0.01,15,10,20,6,0.646,0.889,0.404
"gbdt",0.01,15,10,20,6,0.645,0.885,0.404
"dart",0.1,125,10,20,18,0.377,0.922,0.134
"gbdt",0.1,125,10,20,47,0.3,0.932,0.125
"dart",0.01,125,10,20,6,0.645,0.903,0.404
"gbdt",0.01,125,10,20,6,0.645,0.895,0.404
"dart",0.1,255,15,20,18,0.363,0.931,0.13
"gbdt",0.1,255,15,20,14,0.356,0.929,0.132
"dart",0.01,255,15,20,6,0.643,0.898,0.404
"gbdt",0.01,255,15,20,6,0.643,0.903,0.404
"dart",0.1,25,15,20,14,0.392,0.923,0.131
"gbdt",0.1,25,15,20,27,0.31,0.928,0.122
"dart",0.01,25,15,20,6,0.643,0.902,0.404
"gbdt",0.01,25,15,20,6,0.643,0.901,0.404
"dart",0.1,15,15,20,11,0.418,0.917,0.132
"gbdt",0.1,15,15,20,17,0.347,0.925,0.134
"dart",0.01,15,15,20,6,0.643,0.904,0.404
"gbdt",0.01,15,15,20,6,0.644,0.897,0.404
"dart",0.1,125,15,20,16,0.372,0.923,0.134
"gbdt",0.1,125,15,20,23,0.32,0.93,0.134
"dart",0.01,125,15,20,6,0.643,0.901,0.404
"gbdt",0.01,125,15,20,6,0.643,0.903,0.404
"dart",0.1,255,20,20,11,0.408,0.925,0.134
"gbdt",0.1,255,20,20,11,0.379,0.924,0.131
"dart",0.01,255,20,20,6,0.641,0.915,0.404
"gbdt",0.01,255,20,20,6,0.642,0.913,0.404
"dart",0.1,25,20,20,18,0.361,0.925,0.131
"gbdt",0.1,25,20,20,20,0.325,0.928,0.128
"dart",0.01,25,20,20,6,0.642,0.911,0.404
"gbdt",0.01,25,20,20,6,0.641,0.914,0.404
"dart",0.1,15,20,20,15,0.38,0.925,0.131
"gbdt",0.1,15,20,20,17,0.34,0.926,0.128
"dart",0.01,15,20,20,6,0.641,0.917,0.404
"gbdt",0.01,15,20,20,6,0.642,0.91,0.404
"dart",0.1,125,20,20,18,0.364,0.926,0.132
"gbdt",0.1,125,20,20,17,0.337,0.93,0.126
"dart",0.01,125,20,20,6,0.641,0.914,0.404
"gbdt",0.01,125,20,20,6,0.642,0.913,0.404
