"Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE"
6,-95,120,0,26.1
7,-95,120,0,23.7
8,-95,120,0,19.9
6,-96,120,0,25.9
7,-96,120,0,23.6
8,-96,120,0,19.8
6,-97,120,0,25.3
7,-97,120,0,23.5
8,-97,120,0,19.1
6,-98,120,0,24.6
7,-98,120,0,23.5
8,-98,120,0,19
6,-99,120,0,24.6
7,-99,120,0,23.2
8,-99,120,0,18.9
6,-100,120,0,24.4
7,-100,120,0,23.2
8,-100,120,0,18.8
6,-101,120,0,24.3
7,-101,120,0,22.8
8,-101,120,0,18.8
6,-102,120,0,24.1
7,-102,120,0,22.8
8,-102,120,0,18.7
6,-103,120,0,24.1
7,-103,120,0,22.7
8,-103,120,0,18.6
6,-104,120,0,24
7,-104,120,0,22.7
8,-104,120,0,18.6
6,-105,120,0,24
7,-105,120,0,22.7
8,-105,120,0,18.5
6,-106,120,0,23.7
7,-106,120,0,22.4
8,-106,120,0,18.5
6,-107,120,0,23.6
7,-107,120,0,22.3
8,-107,120,0,18.4
6,-108,120,0,23.3
7,-108,120,0,22.3
8,-108,120,0,18.4
6,-109,120,0,22.9
7,-109,120,0,22.3
8,-109,120,0,18.4
6,-110,120,0,22.8
7,-110,120,0,22.1
8,-110,120,0,18.2
6,-111,120,0,22.5
7,-111,120,0,22
8,-111,120,0,18.2
6,-112,120,0,22.3
7,-112,120,0,21.8
8,-112,120,0,18
6,-113,120,0,22
7,-113,120,0,21.8
8,-113,120,0,17.7
6,-114,120,0,21.7
7,-114,120,0,21.8
8,-114,120,0,17.6
6,-115,120,0,21.7
7,-115,120,0,21.5
8,-115,120,0,17.6
6,-116,120,0,21.4
7,-116,120,0,21.3
8,-116,120,0,17.5
6,-117,120,0,21
7,-117,120,0,21.2
8,-117,120,0,17.4
6,-118,120,0,20.1
7,-118,120,0,21.2
8,-118,120,0,17.1
6,-119,120,0,20
7,-119,120,0,21
8,-119,120,0,16.6
6,-120,120,0,20
7,-120,120,0,21
8,-120,120,0,16.1
6,-121,120,0,20
7,-121,120,0,20.8
8,-121,120,0,15.9
6,-122,120,0,19.9
7,-122,120,0,20.6
8,-122,120,0,15.8
6,-123,120,0,19.6
7,-123,120,0,19.9
8,-123,120,0,15.7
6,-124,120,0,19.6
7,-124,120,0,19.7
8,-124,120,0,15.7
6,-125,120,0,19.3
7,-125,120,0,19.7
8,-125,120,0,15.7
6,-126,120,0,19.3
7,-126,120,0,19.7
8,-126,120,0,15.6
6,-127,120,0,18.6
7,-127,120,0,19.6
8,-127,120,0,15.6
6,-128,120,0,18.1
7,-128,120,0,19.4
8,-128,120,0,15.6
6,-129,120,0,17.9
7,-129,120,0,19.3
8,-129,120,0,15.6
6,-130,120,0,17.4
7,-130,120,0,18.8
8,-130,120,0,15.5
6,-131,120,0,17.2
7,-131,120,0,18.6
8,-131,120,0,15.4
6,-132,120,0,17.1
7,-132,120,0,18.6
8,-132,120,0,15.4
6,-133,120,0,17
7,-133,120,0,18.3
8,-133,120,0,15.3
6,-134,120,0,17
7,-134,120,0,18
8,-134,120,0,15.3
6,-135,120,0,16.9
7,-135,120,0,17.6
8,-135,120,0,15.3
6,-136,120,0,16.7
7,-136,120,0,17.6
8,-136,120,0,15.2
