"boostings","learning_rates","max_bins","min_data_in_leaf","max_depth","feature_fractions","bagging_fractions","bagging_freqs","lambda_l2s","val_score","test_score"
"gbdt",0.1,255,20,-1,0.8,0.8,1,0,0.267304230609039,0.328195434135908
"dart",0.1,255,20,-1,0.8,0.8,1,0,0.263783336798031,0.316360082839416
"gbdt",0.01,255,20,-1,0.8,0.8,1,0,0.264659856766944,0.324098428071735
"dart",0.01,255,20,-1,0.8,0.8,1,0,NA,NA
"gbdt",0.1,511,20,-1,0.8,0.8,1,0,NA,NA
"dart",0.1,511,20,-1,0.8,0.8,1,0,NA,NA
"gbdt",0.01,511,20,-1,0.8,0.8,1,0,NA,NA
"dart",0.01,511,20,-1,0.8,0.8,1,0,NA,NA
"gbdt",0.1,1023,20,-1,0.8,0.8,1,0,NA,NA
"dart",0.1,1023,20,-1,0.8,0.8,1,0,NA,NA
"gbdt",0.01,1023,20,-1,0.8,0.8,1,0,NA,NA
"dart",0.01,1023,20,-1,0.8,0.8,1,0,NA,NA
"gbdt",0.1,255,50,-1,0.8,0.8,1,0,NA,NA
"dart",0.1,255,50,-1,0.8,0.8,1,0,NA,NA
"gbdt",0.01,255,50,-1,0.8,0.8,1,0,NA,NA
"dart",0.01,255,50,-1,0.8,0.8,1,0,NA,NA
"gbdt",0.1,511,50,-1,0.8,0.8,1,0,NA,NA
"dart",0.1,511,50,-1,0.8,0.8,1,0,NA,NA
"gbdt",0.01,511,50,-1,0.8,0.8,1,0,NA,NA
"dart",0.01,511,50,-1,0.8,0.8,1,0,NA,NA
"gbdt",0.1,1023,50,-1,0.8,0.8,1,0,NA,NA
"dart",0.1,1023,50,-1,0.8,0.8,1,0,NA,NA
"gbdt",0.01,1023,50,-1,0.8,0.8,1,0,NA,NA
"dart",0.01,1023,50,-1,0.8,0.8,1,0,NA,NA
"gbdt",0.1,255,100,-1,0.8,0.8,1,0,NA,NA
"dart",0.1,255,100,-1,0.8,0.8,1,0,NA,NA
"gbdt",0.01,255,100,-1,0.8,0.8,1,0,NA,NA
"dart",0.01,255,100,-1,0.8,0.8,1,0,NA,NA
"gbdt",0.1,511,100,-1,0.8,0.8,1,0,NA,NA
"dart",0.1,511,100,-1,0.8,0.8,1,0,NA,NA
"gbdt",0.01,511,100,-1,0.8,0.8,1,0,NA,NA
"dart",0.01,511,100,-1,0.8,0.8,1,0,NA,NA
"gbdt",0.1,1023,100,-1,0.8,0.8,1,0,NA,NA
"dart",0.1,1023,100,-1,0.8,0.8,1,0,NA,NA
"gbdt",0.01,1023,100,-1,0.8,0.8,1,0,NA,NA
"dart",0.01,1023,100,-1,0.8,0.8,1,0,NA,NA
"gbdt",0.1,255,20,5,0.8,0.8,1,0,NA,NA
"dart",0.1,255,20,5,0.8,0.8,1,0,NA,NA
"gbdt",0.01,255,20,5,0.8,0.8,1,0,NA,NA
"dart",0.01,255,20,5,0.8,0.8,1,0,NA,NA
"gbdt",0.1,511,20,5,0.8,0.8,1,0,NA,NA
