"boostings","learning_rates","max_bins","min_data_in_leaf","max_depth","feature_fractions","bagging_fractions","bagging_freqs","lambda_l2s","val_score","test_score"
"gbdt",0.1,255,20,-1,0.8,0.8,1,0,0.396049183919685,0.514772078561768
"gbdt",0.01,255,20,-1,0.8,0.8,1,0,0.390142833802375,0.513153749125013
"gbdt",0.1,127,20,-1,0.8,0.8,1,0,0.391408272222138,0.517892388964694
"gbdt",0.01,127,20,-1,0.8,0.8,1,0,0.3892320545654,0.510783331504645
"gbdt",0.1,511,20,-1,0.8,0.8,1,0,0.394123587058516,0.519402141197158
"gbdt",0.01,511,20,-1,0.8,0.8,1,0,0.391666005464347,0.512469727986506
"gbdt",0.1,255,10,-1,0.8,0.8,1,0,0.395383690240809,0.516391781501124
"gbdt",0.01,255,10,-1,0.8,0.8,1,0,0.389412516958795,0.512973512996166
"gbdt",0.1,127,10,-1,0.8,0.8,1,0,0.39298501464592,0.515698394826931
"gbdt",0.01,127,10,-1,0.8,0.8,1,0,0.388380669052944,0.511472488127696
"gbdt",0.1,511,10,-1,0.8,0.8,1,0,0.395888175753668,0.520624283159749
"gbdt",0.01,511,10,-1,0.8,0.8,1,0,0.390377356020498,0.512859107616717
"gbdt",0.1,255,40,-1,0.8,0.8,1,0,0.393537519407031,0.51867583625106
"gbdt",0.01,255,40,-1,0.8,0.8,1,0,0.392100671896004,0.515611182971528
"gbdt",0.1,127,40,-1,0.8,0.8,1,0,0.393383927649598,0.515895091994817
"gbdt",0.01,127,40,-1,0.8,0.8,1,0,0.388590708032589,0.513211923695616
"gbdt",0.1,511,40,-1,0.8,0.8,1,0,0.395749034740321,0.517982321338412
"gbdt",0.01,511,40,-1,0.8,0.8,1,0,0.390560632376351,0.514064726392689
"gbdt",0.1,255,20,5,0.8,0.8,1,0,0.397267915176346,0.516398388065105
"gbdt",0.01,255,20,5,0.8,0.8,1,0,0.401812868894146,0.520593548641063
"gbdt",0.1,127,20,5,0.8,0.8,1,0,0.39237013918601,0.519318402255126
"gbdt",0.01,127,20,5,0.8,0.8,1,0,0.399062237380567,0.519566873197124
"gbdt",0.1,511,20,5,0.8,0.8,1,0,0.398138442675547,0.518145758424485
"gbdt",0.01,511,20,5,0.8,0.8,1,0,0.40023221463439,0.521470449167604
"gbdt",0.1,255,10,5,0.8,0.8,1,0,0.396511327002312,0.520810577877836
"gbdt",0.01,255,10,5,0.8,0.8,1,0,0.3991099630533,0.520392162612512
"gbdt",0.1,127,10,5,0.8,0.8,1,0,0.393120095809071,0.51652358578258
"gbdt",0.01,127,10,5,0.8,0.8,1,0,0.397441030378628,0.518499045167888
"gbdt",0.1,511,10,5,0.8,0.8,1,0,0.396801649844161,0.515078191647297
"gbdt",0.01,511,10,5,0.8,0.8,1,0,0.399131255175779,0.520351991048648
"gbdt",0.1,255,40,5,0.8,0.8,1,0,0.393417469037874,0.517670035130756
"gbdt",0.01,255,40,5,0.8,0.8,1,0,0.401053195296809,0.52166109876063
"gbdt",0.1,127,40,5,0.8,0.8,1,0,0.391974740130265,0.517039048751492
"gbdt",0.01,127,40,5,0.8,0.8,1,0,0.400502024485436,0.521157198278012
"gbdt",0.1,511,40,5,0.8,0.8,1,0,0.396409512657463,0.517023999248833
"gbdt",0.01,511,40,5,0.8,0.8,1,0,0.401450132215253,0.521455549980146
"gbdt",0.1,255,20,10,0.8,0.8,1,0,0.39185434955221,0.523118937774164
"gbdt",0.01,255,20,10,0.8,0.8,1,0,0.391949483746323,0.512810009956991
"gbdt",0.1,127,20,10,0.8,0.8,1,0,0.39287811441327,0.516224696703789
"gbdt",0.01,127,20,10,0.8,0.8,1,0,0.389579827820025,0.511368640491328
"gbdt",0.1,511,20,10,0.8,0.8,1,0,0.395961962345046,0.518169920664599
"gbdt",0.01,511,20,10,0.8,0.8,1,0,0.389042490905685,0.512933163069333
"gbdt",0.1,255,10,10,0.8,0.8,1,0,0.394232979453177,0.518119439671706
"gbdt",0.01,255,10,10,0.8,0.8,1,0,0.391323073239391,0.513263917964065
"gbdt",0.1,127,10,10,0.8,0.8,1,0,0.39143097532711,0.513642578465871
"gbdt",0.01,127,10,10,0.8,0.8,1,0,0.388462221145119,0.511949301225486
"gbdt",0.1,511,10,10,0.8,0.8,1,0,0.396165843780518,0.516039178386679
"gbdt",0.01,511,10,10,0.8,0.8,1,0,0.390345131374335,0.513431612601307
"gbdt",0.1,255,40,10,0.8,0.8,1,0,0.394640982844694,0.518241954080213
"gbdt",0.01,255,40,10,0.8,0.8,1,0,0.392534588284476,0.515141226120235
"gbdt",0.1,127,40,10,0.8,0.8,1,0,0.393626336828879,0.513946899866129
"gbdt",0.01,127,40,10,0.8,0.8,1,0,0.388837709612102,0.512499511037451
"gbdt",0.1,511,40,10,0.8,0.8,1,0,0.395838614735997,0.519281949918612
"gbdt",0.01,511,40,10,0.8,0.8,1,0,0.390019468551042,0.514884791229681
"gbdt",0.1,255,20,-1,0.9,0.8,1,0,0.394859113895521,0.514772078561768
"gbdt",0.01,255,20,-1,0.9,0.8,1,0,0.390181104069257,0.513153749125013
"gbdt",0.1,127,20,-1,0.9,0.8,1,0,0.391856848606542,0.517892388964694
"gbdt",0.01,127,20,-1,0.9,0.8,1,0,0.388085193881157,0.510783331504645
"gbdt",0.1,511,20,-1,0.9,0.8,1,0,0.394013260211279,0.519402141197158
"gbdt",0.01,511,20,-1,0.9,0.8,1,0,0.390922727211923,0.512469727986506
"gbdt",0.1,255,10,-1,0.9,0.8,1,0,0.395127349635288,0.516391781501124
"gbdt",0.01,255,10,-1,0.9,0.8,1,0,0.39139700948945,0.512973512996166
"gbdt",0.1,127,10,-1,0.9,0.8,1,0,0.393391441861801,0.515698394826931
"gbdt",0.01,127,10,-1,0.9,0.8,1,0,0.390032293576229,0.511472488127696
"gbdt",0.1,511,10,-1,0.9,0.8,1,0,0.394820787549173,0.520624283159748
"gbdt",0.01,511,10,-1,0.9,0.8,1,0,0.390440370377657,0.512859107616717
"gbdt",0.1,255,40,-1,0.9,0.8,1,0,0.394508544918012,0.51867583625106
"gbdt",0.01,255,40,-1,0.9,0.8,1,0,0.391036663154738,0.515611182971528
"gbdt",0.1,127,40,-1,0.9,0.8,1,0,0.39177086290166,0.515895091994817
"gbdt",0.01,127,40,-1,0.9,0.8,1,0,0.389949096847444,0.513211923695616
"gbdt",0.1,511,40,-1,0.9,0.8,1,0,0.393315399733616,0.517982321338412
"gbdt",0.01,511,40,-1,0.9,0.8,1,0,0.390653204577402,0.514064726392689
"gbdt",0.1,255,20,5,0.9,0.8,1,0,0.394207531707459,0.516398388065105
"gbdt",0.01,255,20,5,0.9,0.8,1,0,0.400272342075857,0.520593548641062
"gbdt",0.1,127,20,5,0.9,0.8,1,0,0.393697417201293,0.519318402255126
"gbdt",0.01,127,20,5,0.9,0.8,1,0,0.398649941689666,0.519566873197124
"gbdt",0.1,511,20,5,0.9,0.8,1,0,0.396884410147541,0.518145758424485
"gbdt",0.01,511,20,5,0.9,0.8,1,0,0.400038823133563,0.521470449167604
"gbdt",0.1,255,10,5,0.9,0.8,1,0,0.398770690351743,0.520810577877836
"gbdt",0.01,255,10,5,0.9,0.8,1,0,0.401102248239499,0.520392162612512
"gbdt",0.1,127,10,5,0.9,0.8,1,0,0.398743177335909,0.51652358578258
"gbdt",0.01,127,10,5,0.9,0.8,1,0,0.399987865334326,0.518499045167889
"gbdt",0.1,511,10,5,0.9,0.8,1,0,0.397360269491886,0.515078191647296
"gbdt",0.01,511,10,5,0.9,0.8,1,0,0.400694051215736,0.520351991048648
"gbdt",0.1,255,40,5,0.9,0.8,1,0,0.397254953631709,0.517670035130756
"gbdt",0.01,255,40,5,0.9,0.8,1,0,0.400877774110291,0.521661098760629
"gbdt",0.1,127,40,5,0.9,0.8,1,0,0.393679214584212,0.517039048751492
"gbdt",0.01,127,40,5,0.9,0.8,1,0,0.399200710525957,0.521157198278012
"gbdt",0.1,511,40,5,0.9,0.8,1,0,0.395028547027745,0.517023999248833
"gbdt",0.01,511,40,5,0.9,0.8,1,0,0.401731808734121,0.521455549980146
"gbdt",0.1,255,20,10,0.9,0.8,1,0,0.394075338251373,0.523118937774164
"gbdt",0.01,255,20,10,0.9,0.8,1,0,0.389188104229478,0.512810009956991
"gbdt",0.1,127,20,10,0.9,0.8,1,0,0.394241774563316,0.516224696703789
"gbdt",0.01,127,20,10,0.9,0.8,1,0,0.389031830024377,0.511368640491328
"gbdt",0.1,511,20,10,0.9,0.8,1,0,0.394103876510751,0.518169920664599
"gbdt",0.01,511,20,10,0.9,0.8,1,0,0.39160951128917,0.512933163069333
"gbdt",0.1,255,10,10,0.9,0.8,1,0,0.394839005787307,0.518119439671706
"gbdt",0.01,255,10,10,0.9,0.8,1,0,0.392143511140465,0.513263917964065
"gbdt",0.1,127,10,10,0.9,0.8,1,0,0.392313803432264,0.513642578465871
"gbdt",0.01,127,10,10,0.9,0.8,1,0,0.390073107566432,0.511949301225486
"gbdt",0.1,511,10,10,0.9,0.8,1,0,0.393344973168242,0.516039178386679
"gbdt",0.01,511,10,10,0.9,0.8,1,0,0.389066528171929,0.513431612601307
"gbdt",0.1,255,40,10,0.9,0.8,1,0,0.39593375292919,0.518241954080213
"gbdt",0.01,255,40,10,0.9,0.8,1,0,0.39147838804268,0.515141226120235
"gbdt",0.1,127,40,10,0.9,0.8,1,0,0.391426727444848,0.513946899866129
"gbdt",0.01,127,40,10,0.9,0.8,1,0,0.388904641092391,0.512499511037451
"gbdt",0.1,511,40,10,0.9,0.8,1,0,0.395757418807022,0.519281949918612
"gbdt",0.01,511,40,10,0.9,0.8,1,0,0.390878705061504,0.514884791229681
"gbdt",0.1,255,20,-1,1,0.8,1,0,0.391347042533707,0.511467474003833
"gbdt",0.01,255,20,-1,1,0.8,1,0,0.389917213754568,0.516239697162045
"gbdt",0.1,127,20,-1,1,0.8,1,0,0.393162955092689,0.516661487225951
"gbdt",0.01,127,20,-1,1,0.8,1,0,0.388714074618718,0.513177270842232
"gbdt",0.1,511,20,-1,1,0.8,1,0,0.394463741242099,0.519788964386969
"gbdt",0.01,511,20,-1,1,0.8,1,0,0.391586527691052,0.515824809790066
"gbdt",0.1,255,10,-1,1,0.8,1,0,0.392114163465131,0.513002778081903
"gbdt",0.01,255,10,-1,1,0.8,1,0,0.390015889608353,0.516044933404052
"gbdt",0.1,127,10,-1,1,0.8,1,0,0.393575160502416,0.515761488150461
"gbdt",0.01,127,10,-1,1,0.8,1,0,0.388383353161686,0.513072174560093
"gbdt",0.1,511,10,-1,1,0.8,1,0,0.394193094842542,0.51628570415518
"gbdt",0.01,511,10,-1,1,0.8,1,0,0.391906608870494,0.515462016220459
"gbdt",0.1,255,40,-1,1,0.8,1,0,0.392157148048123,0.516869712768603
"gbdt",0.01,255,40,-1,1,0.8,1,0,0.390548908278809,0.519665269505312
"gbdt",0.1,127,40,-1,1,0.8,1,0,0.393134712085443,0.514639463216817
"gbdt",0.01,127,40,-1,1,0.8,1,0,0.388175121334469,0.516338903882754
"gbdt",0.1,511,40,-1,1,0.8,1,0,0.392233580694216,0.517740007467994
"gbdt",0.01,511,40,-1,1,0.8,1,0,0.389118384165711,0.517769457683311
"gbdt",0.1,255,20,5,1,0.8,1,0,0.39518961990439,0.517936889768634
"gbdt",0.01,255,20,5,1,0.8,1,0,0.399707660289947,0.517910930697383
"gbdt",0.1,127,20,5,1,0.8,1,0,0.395126844115736,0.517639595033573
"gbdt",0.01,127,20,5,1,0.8,1,0,0.396686686105919,0.516854570846139
"gbdt",0.1,511,20,5,1,0.8,1,0,0.392878353110829,0.522053868437242
"gbdt",0.01,511,20,5,1,0.8,1,0,0.397789241466175,0.51930402041573
"gbdt",0.1,255,10,5,1,0.8,1,0,0.394248784364415,0.516722878926424
"gbdt",0.01,255,10,5,1,0.8,1,0,0.398856932149551,0.516890582240429
"gbdt",0.1,127,10,5,1,0.8,1,0,0.392295823008487,0.517421622520028
"gbdt",0.01,127,10,5,1,0.8,1,0,0.396493882707957,0.515471311978395
"gbdt",0.1,511,10,5,1,0.8,1,0,0.39639311426642,0.517453794943726
"gbdt",0.01,511,10,5,1,0.8,1,0,0.397867547546486,0.519243398739005
"gbdt",0.1,255,40,5,1,0.8,1,0,0.394520150056018,0.516444259217271
"gbdt",0.01,255,40,5,1,0.8,1,0,0.399794740553512,0.519934265652339
"gbdt",0.1,127,40,5,1,0.8,1,0,0.393932633221469,0.519027208438658
