"station","latitude","longitude","elevation","state","gsn_flag","wmo_id","element","first_year","last_year","city"
"JA000047616",36.05,136.217,17,NA,NA,47616,"TMAX",1951,2023,"Fukui"
"JA000047632",35.4,136.767,17,NA,NA,47632,"TMAX",1951,2023,"Gifu"
"JA000047636",35.167,136.967,56,NA,NA,47636,"TMAX",1951,2022,"Nagoya"
"JA000047651",34.733,136.517,18,NA,NA,47651,"TMAX",1951,2022,"Tsu"
"JA000047746",35.483,134.233,16,NA,NA,47746,"TMAX",1951,2022,"Tottori"
"JA000047759",35.017,135.733,46,NA,NA,47759,"TMAX",1951,2023,"Kyoto"
"JA000047768",34.667,133.917,18,NA,NA,47768,"TMAX",1951,2023,"Okayama"
"JA000047770",34.7,135.217,30,NA,NA,47770,"TMAX",1951,2023,"Kobe"
"JA000047777",34.233,135.167,18,NA,NA,47777,"TMAX",1951,2023,"Wakayama"
"JA000047891",34.317,134.05,10,NA,NA,47891,"TMAX",1951,2022,"Takamatsu"
"JAM00047772",34.683,135.517,83,NA,NA,47772,"TMAX",1953,2022,"Osaka"
