"boostings","learning_rates","max_bins","min_data_in_leaf","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"dart",0.1,255,20,31,-1,27,0.361,0.925,0.139
"gbdt",0.1,255,20,31,-1,41,0.305,0.931,0.128
"dart",0.01,255,20,31,-1,11,0.631,0.898,0.407
"gbdt",0.01,255,20,31,-1,11,0.621,0.91,0.407
"dart",0.1,1800,20,31,-1,97,0.304,0.929,0.125
"gbdt",0.1,1800,20,31,-1,32,0.316,0.926,0.134
"dart",0.01,1800,20,31,-1,11,0.63,0.908,0.407
"gbdt",0.01,1800,20,31,-1,11,0.621,0.903,0.407
"dart",0.1,500,20,31,-1,31,0.357,0.919,0.139
"gbdt",0.1,500,20,31,-1,44,0.306,0.93,0.13
"dart",0.01,500,20,31,-1,11,0.63,0.904,0.407
"gbdt",0.01,500,20,31,-1,11,0.62,0.907,0.407
"dart",0.1,125,20,31,-1,50,0.323,0.925,0.133
"gbdt",0.1,125,20,31,-1,44,0.299,0.932,0.125
"dart",0.01,125,20,31,-1,11,0.63,0.909,0.407
"gbdt",0.01,125,20,31,-1,11,0.62,0.912,0.407
"dart",0.1,255,40,31,-1,27,0.37,0.922,0.137
"gbdt",0.1,255,40,31,-1,27,0.32,0.926,0.133
"dart",0.01,255,40,31,-1,11,0.633,0.899,0.407
"gbdt",0.01,255,40,31,-1,11,0.623,0.909,0.407
"dart",0.1,1800,40,31,-1,39,0.341,0.924,0.13
"gbdt",0.1,1800,40,31,-1,47,0.302,0.929,0.124
"dart",0.01,1800,40,31,-1,11,0.633,0.902,0.407
"gbdt",0.01,1800,40,31,-1,11,0.624,0.901,0.407
"dart",0.1,500,40,31,-1,33,0.356,0.925,0.137
"gbdt",0.1,500,40,31,-1,22,0.33,0.923,0.132
"dart",0.01,500,40,31,-1,11,0.633,0.903,0.407
"gbdt",0.01,500,40,31,-1,11,0.624,0.912,0.407
"dart",0.1,125,40,31,-1,34,0.351,0.926,0.14
"gbdt",0.1,125,40,31,-1,44,0.304,0.929,0.129
"dart",0.01,125,40,31,-1,11,0.633,0.904,0.407
"gbdt",0.01,125,40,31,-1,11,0.624,0.9,0.407
"dart",0.1,255,10,31,-1,30,0.345,0.931,0.131
"gbdt",0.1,255,10,31,-1,36,0.303,0.932,0.13
"dart",0.01,255,10,31,-1,11,0.629,0.902,0.407
"gbdt",0.01,255,10,31,-1,11,0.618,0.911,0.407
