"boostings","learning_rates","max_bins","min_data_in_leaf","max_depth","feature_fractions","bagging_fractions","bagging_freqs","lambda_l2s","val_score","test_score"
"gbdt",0.1,255,20,-1,1,1,1,0,0.937519248052883,0.92238698875867
"gbdt",0.1,511,20,-1,1,1,1,0,0.940060992645995,0.917962209997608
"gbdt",0.1,1023,20,-1,1,1,1,0,0.940060992645995,0.917962209997608
"gbdt",0.1,255,12,-1,1,1,1,0,0.935470724619038,0.92519732121502
"gbdt",0.1,511,12,-1,1,1,1,0,0.937769199897086,0.925376704137766
"gbdt",0.1,1023,12,-1,1,1,1,0,0.937769199897086,0.925376704137766
"gbdt",0.1,255,40,-1,1,1,1,0,0.937738282407921,0.91365701985171
"gbdt",0.1,511,40,-1,1,1,1,0,0.934307380754915,0.909949772781631
"gbdt",0.1,1023,40,-1,1,1,1,0,0.934307380754915,0.909949772781631
"gbdt",0.1,255,20,10,1,1,1,0,0.935826664836579,0.919636450609902
"gbdt",0.1,511,20,10,1,1,1,0,0.937451001461914,0.922267400143506
"gbdt",0.1,1023,20,10,1,1,1,0,0.937451001461914,0.922267400143506
"gbdt",0.1,255,12,10,1,1,1,0,0.935696115780619,0.924180817986128
"gbdt",0.1,511,12,10,1,1,1,0,0.940847772851898,0.926931356134896
"gbdt",0.1,1023,12,10,1,1,1,0,0.940847772851898,0.926931356134896
"gbdt",0.1,255,40,10,1,1,1,0,0.936108453962603,0.919995216455393
"gbdt",0.1,511,40,10,1,1,1,0,0.936905337485549,0.907558000478354
"gbdt",0.1,1023,40,10,1,1,1,0,0.936905337485549,0.907558000478354
"gbdt",0.1,255,20,20,1,1,1,0,0.937631514916098,0.92238698875867
"gbdt",0.1,511,20,20,1,1,1,0,0.941175504589571,0.917962209997608
"gbdt",0.1,1023,20,20,1,1,1,0,0.941175504589571,0.917962209997608
"gbdt",0.1,255,12,20,1,1,1,0,0.935848349522579,0.92519732121502
"gbdt",0.1,511,12,20,1,1,1,0,0.937769199897086,0.925376704137766
"gbdt",0.1,1023,12,20,1,1,1,0,0.937769199897086,0.925376704137766
"gbdt",0.1,255,40,20,1,1,1,0,0.938033814941127,0.91365701985171
"gbdt",0.1,511,40,20,1,1,1,0,0.935325326147071,0.909949772781631
"gbdt",0.1,1023,40,20,1,1,1,0,0.935325326147071,0.909949772781631
