"id","date","year","month","day","tmin","tmax","daily_GDD","AGDD","lat","long","alt"
"GME00127786",2022-01-01,2022,1,1,1.3,11.8,12.45,12.45,47.481403,7.730519,350
"GME00127786",2022-01-02,2022,1,2,2,12.4,13.4,25.85,47.481403,7.730519,350
"GME00127786",2022-01-03,2022,1,3,7.8,12.9,16.8,42.65,47.481403,7.730519,350
"GME00127786",2022-01-04,2022,1,4,4.4,18.2,20.4,63.05,47.481403,7.730519,350
"GME00127786",2022-01-05,2022,1,5,-0.3,5.5,5.35,68.4,47.481403,7.730519,350
"GME00127786",2022-01-06,2022,1,6,-1.6,4.7,3.9,72.3,47.481403,7.730519,350
"GME00127786",2022-01-07,2022,1,7,-1.5,2.2,1.45,73.75,47.481403,7.730519,350
"GME00127786",2022-01-08,2022,1,8,0.9,6.8,7.25,81,47.481403,7.730519,350
"GME00127786",2022-01-09,2022,1,9,1.9,8.7,9.65,90.65,47.481403,7.730519,350
"GME00127786",2022-01-10,2022,1,10,-2.5,5.3,4.05,94.7,47.481403,7.730519,350
"GME00127786",2022-01-11,2022,1,11,-2.9,0.5,0,94.7,47.481403,7.730519,350
"GME00127786",2022-01-12,2022,1,12,-4.7,3.3,0.95,95.65,47.481403,7.730519,350
"GME00127786",2022-01-13,2022,1,13,-5.7,4.2,1.35,97,47.481403,7.730519,350
"GME00127786",2022-01-14,2022,1,14,-4.1,5.4,3.35,100.35,47.481403,7.730519,350
"GME00127786",2022-01-15,2022,1,15,-2.7,2.6,1.25,101.6,47.481403,7.730519,350
"GME00127786",2022-01-16,2022,1,16,-3.7,5.1,3.25,104.85,47.481403,7.730519,350
"GME00127786",2022-01-17,2022,1,17,-0.9,6.5,6.05,110.9,47.481403,7.730519,350
"GME00127786",2022-01-18,2022,1,18,-2.2,6.1,5,115.9,47.481403,7.730519,350
"GME00127786",2022-01-19,2022,1,19,-1.5,4.1,3.35,119.25,47.481403,7.730519,350
