"id","city","lat","long","alt","date","tmax","tmin","year","month","day","daily_GDD","AGDD"
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-01,7,-1,2023,3,1,6.5,6.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-02,8,-1,2023,3,2,7.5,14
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-03,9,0,2023,3,3,9,23
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-04,1,-1,2023,3,4,0.5,23.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-05,3,2,2023,3,5,4,27.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-06,6,5,2023,3,6,8.5,36
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-07,6,2,2023,3,7,7,43
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-08,5,-2,2023,3,8,4,47
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-09,4,-2,2023,3,9,3,50
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-10,4,-3,2023,3,10,2.5,52.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-11,5,-3,2023,3,11,3.5,56
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-12,5,-2,2023,3,12,4,60
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-13,9,-1,2023,3,13,8.5,68.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-14,10,-1,2023,3,14,9.5,78
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-15,11,2,2023,3,15,12,90
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-16,11,2,2023,3,16,12,102
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-17,8,1,2023,3,17,8.5,110.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-18,10,-1,2023,3,18,9.5,120
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-19,8,-1,2023,3,19,7.5,127.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-20,10,-1,2023,3,20,9.5,137
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-21,10,-1,2023,3,21,9.5,146.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-22,12,-1,2023,3,22,11.5,158
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-23,14,3,2023,3,23,15.5,173.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-24,12,4,2023,3,24,14,187.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-25,13,2,2023,3,25,14,201.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-26,13,3,2023,3,26,14.5,216
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-27,13,5,2023,3,27,15.5,231.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-28,15,6,2023,3,28,18,249.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-29,14,6,2023,3,29,17,266.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-30,14,5,2023,3,30,16.5,283
"GME00127786","Liestal",47.481403,"7.730519",350,2023-03-31,14,6,2023,3,31,17,300
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-01,15,0,2023,4,1,15,315
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-02,12,0,2023,4,2,12,327
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-03,10,1,2023,4,3,10.5,337.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-04,10,1,2023,4,4,10.5,348
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-05,11,0,2023,4,5,11,359
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-06,11,0,2023,4,6,11,370
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-07,11,1,2023,4,7,11.5,381.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-08,13,5,2023,4,8,15.5,397
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-09,15,6,2023,4,9,18,415
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-10,15,1,2023,4,10,15.5,430.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-11,12,1,2023,4,11,12.5,443
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-12,12,0,2023,4,12,12,455
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-13,12,1,2023,4,13,12.5,467.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-14,12,2,2023,4,14,13,480.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-15,12,3,2023,4,15,13.5,494
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-16,16,1,2023,4,16,16.5,510.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-17,12,0,2023,4,17,12,522.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-18,13,1,2023,4,18,13.5,536
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-19,13,1,2023,4,19,13.5,549.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-20,13,2,2023,4,20,14,563.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-21,13,4,2023,4,21,15,578.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-22,13,6,2023,4,22,16,594.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-23,14,6,2023,4,23,17,611.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-24,14,5,2023,4,24,16.5,628
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-25,14,4,2023,4,25,16,644
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-26,14,2,2023,4,26,15,659
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-27,14,6,2023,4,27,17,676
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-28,16,3,2023,4,28,17.5,693.5
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-29,16,3,2023,4,29,17.5,711
"GME00127786","Liestal",47.481403,"7.730519",350,2023-04-30,15,5,2023,4,30,17.5,728.5
