"Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE","RMSE"
7,-90,120,1,4.5,5.523
7,-91,120,1,4.5,5.523
7,-92,120,1,4.5,5.523
7,-93,120,1,4.5,5.523
7,-94,120,1,4.5,5.523
7,-95,120,1,4.5,5.523
7,-96,120,1,4.5,5.523
7,-97,120,1,4.5,5.523
7,-98,120,1,4.5,5.523
7,-99,120,1,4.5,5.523
7,-100,120,1,4.5,5.523
7,-101,120,1,4.5,5.523
7,-102,120,1,4.5,5.523
7,-103,120,1,4.5,5.523
7,-104,120,1,4.5,5.523
7,-105,120,1,4.5,5.523
7,-106,120,1,4.5,5.523
7,-107,120,1,4.5,5.523
7,-108,120,1,4.5,5.523
7,-109,120,1,4.5,5.523
7,-110,120,1,4.5,5.523
7,-111,120,1,4.5,5.523
7,-112,120,1,4.5,5.523
7,-113,120,1,4.5,5.523
7,-114,120,1,4.5,5.523
7,-115,120,1,4.5,5.523
7,-116,120,1,4.5,5.523
7,-117,120,1,4.5,5.523
7,-118,120,1,4.5,5.523
7,-119,120,1,4.5,5.523
7,-120,120,1,4.5,5.523
7,-121,120,1,4.5,5.523
7,-122,120,1,4.5,5.523
7,-123,120,1,4.5,5.523
7,-124,120,1,4.5,5.523
7,-125,120,1,4.5,5.523
7,-126,120,1,4.5,5.523
7,-127,120,1,4.5,5.523
7,-128,120,1,4.5,5.523
7,-129,120,1,4.5,5.523
7,-130,120,1,4.5,5.523
7,-131,120,1,4.5,5.523
7,-132,120,1,4.5,5.523
7,-133,120,1,4.5,5.523
7,-134,120,1,4.5,5.523
7,-135,120,1,4.5,5.523
7,-136,120,1,4.5,5.523
7,-137,120,1,4.5,5.523
7,-138,120,1,4.5,5.523
7,-139,120,1,4.5,5.523
7,-140,120,1,4.5,5.523
7,-141,120,1,4.5,5.523
7,-142,120,1,4.5,5.523
7,-143,120,1,4.5,5.523
7,-144,120,1,4.5,5.523
7,-145,120,1,4.5,5.523
7,-146,120,1,4.5,5.523
7,-147,120,1,4.5,5.523
7,-148,120,1,4.5,5.523
7,-149,120,1,4.5,5.523
7,-150,120,1,4.5,5.523
7,-90,121,1,4.25,5.22
7,-91,121,1,4.25,5.22
7,-92,121,1,4.25,5.22
7,-93,121,1,4.25,5.22
7,-94,121,1,4.25,5.22
7,-95,121,1,4.25,5.22
7,-96,121,1,4.25,5.22
7,-97,121,1,4.25,5.22
7,-98,121,1,4.25,5.22
7,-99,121,1,4.25,5.22
7,-100,121,1,4.25,5.22
7,-101,121,1,4.25,5.22
7,-102,121,1,4.25,5.22
7,-103,121,1,4.25,5.22
7,-104,121,1,4.25,5.22
7,-105,121,1,4.25,5.22
7,-106,121,1,4.25,5.22
7,-107,121,1,4.25,5.22
7,-108,121,1,4.25,5.22
7,-109,121,1,4.25,5.22
7,-110,121,1,4.25,5.22
7,-111,121,1,4.25,5.22
7,-112,121,1,4.25,5.22
7,-113,121,1,4.25,5.22
7,-114,121,1,4.25,5.22
7,-115,121,1,4.25,5.22
7,-116,121,1,4.25,5.22
7,-117,121,1,4.25,5.22
7,-118,121,1,4.25,5.22
7,-119,121,1,4.25,5.22
7,-120,121,1,4.25,5.22
7,-121,121,1,4.25,5.22
7,-122,121,1,4.25,5.22
7,-123,121,1,4.25,5.22
7,-124,121,1,4.25,5.22
7,-125,121,1,4.25,5.22
7,-126,121,1,4.25,5.22
7,-127,121,1,4.25,5.22
7,-128,121,1,4.25,5.22
7,-129,121,1,4.25,5.22
7,-130,121,1,4.25,5.22
7,-131,121,1,4.25,5.22
7,-132,121,1,4.25,5.22
7,-133,121,1,4.25,5.22
7,-134,121,1,4.25,5.22
7,-135,121,1,4.25,5.22
7,-136,121,1,4.25,5.22
7,-137,121,1,4.25,5.22
7,-138,121,1,4.25,5.22
7,-139,121,1,4.25,5.22
7,-140,121,1,4.25,5.22
7,-141,121,1,4.25,5.22
7,-142,121,1,4.25,5.22
7,-143,121,1,4.25,5.22
7,-144,121,1,4.25,5.22
7,-145,121,1,4.25,5.22
7,-146,121,1,4.25,5.22
7,-147,121,1,4.25,5.22
7,-148,121,1,4.25,5.22
7,-149,121,1,4.25,5.22
7,-150,121,1,4.25,5.22
7,-90,122,1,4.125,5.012
7,-91,122,1,4.125,5.012
7,-92,122,1,4.125,5.012
7,-93,122,1,4.125,5.012
7,-94,122,1,4.125,5.012
7,-95,122,1,4.125,5.012
7,-96,122,1,4.125,5.012
7,-97,122,1,4.125,5.012
7,-98,122,1,4.125,5.012
7,-99,122,1,4.125,5.012
7,-100,122,1,4.125,5.012
7,-101,122,1,4.125,5.012
7,-102,122,1,4.125,5.012
7,-103,122,1,4.125,5.012
7,-104,122,1,4.125,5.012
7,-105,122,1,4.125,5.012
7,-106,122,1,4.125,5.012
7,-107,122,1,4.125,5.012
7,-108,122,1,4.125,5.012
7,-109,122,1,4.125,5.012
7,-110,122,1,4.125,5.012
7,-111,122,1,4.125,5.012
7,-112,122,1,4.125,5.012
7,-113,122,1,4.125,5.012
7,-114,122,1,4.125,5.012
7,-115,122,1,4.125,5.012
7,-116,122,1,4.125,5.012
7,-117,122,1,4.125,5.012
7,-118,122,1,4.125,5.012
7,-119,122,1,4.125,5.012
7,-120,122,1,4.125,5.012
7,-121,122,1,4.125,5.012
7,-122,122,1,4.125,5.012
7,-123,122,1,4.125,5.012
7,-124,122,1,4.125,5.012
7,-125,122,1,4.125,5.012
7,-126,122,1,4.125,5.012
7,-127,122,1,4.125,5.012
7,-128,122,1,4.125,5.012
7,-129,122,1,4.125,5.012
7,-130,122,1,4.125,5.012
7,-131,122,1,4.125,5.012
7,-132,122,1,4.125,5.012
7,-133,122,1,4.125,5.012
7,-134,122,1,4.125,5.012
7,-135,122,1,4.125,5.012
7,-136,122,1,4.125,5.012
7,-137,122,1,4.125,5.012
7,-138,122,1,4.125,5.012
7,-139,122,1,4.125,5.012
7,-140,122,1,4.125,5.012
7,-141,122,1,4.125,5.012
7,-142,122,1,4.125,5.012
7,-143,122,1,4.125,5.012
7,-144,122,1,4.125,5.012
7,-145,122,1,4.125,5.012
7,-146,122,1,4.125,5.012
7,-147,122,1,4.125,5.012
7,-148,122,1,4.125,5.012
7,-149,122,1,4.125,5.012
7,-150,122,1,4.125,5.012
7,-90,123,1,4,4.95
7,-91,123,1,4,4.95
7,-92,123,1,4,4.95
7,-93,123,1,4,4.95
7,-94,123,1,4,4.95
7,-95,123,1,4,4.95
7,-96,123,1,4,4.95
7,-97,123,1,4,4.95
7,-98,123,1,4,4.95
7,-99,123,1,4,4.95
7,-100,123,1,4,4.95
7,-101,123,1,4,4.95
7,-102,123,1,4,4.95
7,-103,123,1,4,4.95
7,-104,123,1,4,4.95
7,-105,123,1,4,4.95
7,-106,123,1,4,4.95
7,-107,123,1,4,4.95
7,-108,123,1,4,4.95
7,-109,123,1,4,4.95
7,-110,123,1,4,4.95
7,-111,123,1,4,4.95
7,-112,123,1,4,4.95
7,-113,123,1,4,4.95
7,-114,123,1,4,4.95
7,-115,123,1,4,4.95
7,-116,123,1,4,4.95
7,-117,123,1,4,4.95
7,-118,123,1,4,4.95
7,-119,123,1,4,4.95
7,-120,123,1,4,4.95
7,-121,123,1,4,4.95
7,-122,123,1,4,4.95
7,-123,123,1,4,4.95
7,-124,123,1,4,4.95
7,-125,123,1,4,4.95
7,-126,123,1,4,4.95
7,-127,123,1,4,4.95
7,-128,123,1,4,4.95
7,-129,123,1,4,4.95
7,-130,123,1,4,4.95
7,-131,123,1,4,4.95
7,-132,123,1,4,4.95
7,-133,123,1,4,4.95
7,-134,123,1,4,4.95
7,-135,123,1,4,4.95
7,-136,123,1,4,4.95
7,-137,123,1,4,4.95
7,-138,123,1,4,4.95
7,-139,123,1,4,4.95
7,-140,123,1,4,4.95
7,-141,123,1,4,4.95
7,-142,123,1,4,4.95
7,-143,123,1,4,4.95
7,-144,123,1,4,4.95
7,-145,123,1,4,4.95
7,-146,123,1,4,4.95
7,-147,123,1,4,4.95
7,-148,123,1,4,4.95
7,-149,123,1,4,4.95
7,-150,123,1,4,4.95
7,-90,124,1,3.875,4.835
7,-91,124,1,3.875,4.835
7,-92,124,1,3.875,4.835
7,-93,124,1,3.875,4.835
7,-94,124,1,3.875,4.835
7,-95,124,1,3.875,4.835
7,-96,124,1,3.875,4.835
7,-97,124,1,3.875,4.835
7,-98,124,1,3.875,4.835
7,-99,124,1,3.875,4.835
7,-100,124,1,3.875,4.835
7,-101,124,1,3.875,4.835
7,-102,124,1,3.875,4.835
7,-103,124,1,3.875,4.835
7,-104,124,1,3.875,4.835
7,-105,124,1,3.875,4.835
7,-106,124,1,3.875,4.835
7,-107,124,1,3.875,4.835
7,-108,124,1,3.875,4.835
7,-109,124,1,3.875,4.835
7,-110,124,1,3.875,4.835
7,-111,124,1,3.875,4.835
7,-112,124,1,3.875,4.835
7,-113,124,1,3.875,4.835
7,-114,124,1,3.875,4.835
7,-115,124,1,3.875,4.835
7,-116,124,1,3.875,4.835
7,-117,124,1,3.875,4.835
7,-118,124,1,3.875,4.835
7,-119,124,1,3.875,4.835
7,-120,124,1,3.875,4.835
7,-121,124,1,3.875,4.835
7,-122,124,1,3.875,4.835
7,-123,124,1,3.875,4.835
7,-124,124,1,3.875,4.835
7,-125,124,1,3.875,4.835
7,-126,124,1,3.875,4.835
7,-127,124,1,3.875,4.835
7,-128,124,1,3.875,4.835
7,-129,124,1,3.875,4.835
7,-130,124,1,3.875,4.835
7,-131,124,1,3.875,4.835
7,-132,124,1,3.875,4.835
7,-133,124,1,3.875,4.835
7,-134,124,1,3.875,4.835
7,-135,124,1,3.875,4.835
7,-136,124,1,3.875,4.835
7,-137,124,1,3.875,4.835
7,-138,124,1,3.875,4.835
7,-139,124,1,3.875,4.835
7,-140,124,1,3.875,4.835
7,-141,124,1,3.875,4.835
7,-142,124,1,3.875,4.835
7,-143,124,1,3.875,4.835
7,-144,124,1,3.875,4.835
7,-145,124,1,3.875,4.835
7,-146,124,1,3.875,4.835
7,-147,124,1,3.875,4.835
7,-148,124,1,3.875,4.835
7,-149,124,1,3.875,4.835
7,-150,124,1,3.875,4.835
7,-90,125,1,3.625,4.623
7,-91,125,1,3.625,4.623
7,-92,125,1,3.625,4.623
7,-93,125,1,3.625,4.623
7,-94,125,1,3.625,4.623
7,-95,125,1,3.625,4.623
7,-96,125,1,3.625,4.623
7,-97,125,1,3.625,4.623
7,-98,125,1,3.625,4.623
7,-99,125,1,3.625,4.623
7,-100,125,1,3.625,4.623
7,-101,125,1,3.625,4.623
7,-102,125,1,3.625,4.623
7,-103,125,1,3.625,4.623
7,-104,125,1,3.625,4.623
7,-105,125,1,3.625,4.623
7,-106,125,1,3.625,4.623
7,-107,125,1,3.625,4.623
7,-108,125,1,3.625,4.623
7,-109,125,1,3.625,4.623
7,-110,125,1,3.625,4.623
7,-111,125,1,3.625,4.623
7,-112,125,1,3.625,4.623
7,-113,125,1,3.625,4.623
7,-114,125,1,3.625,4.623
7,-115,125,1,3.625,4.623
7,-116,125,1,3.625,4.623
7,-117,125,1,3.625,4.623
7,-118,125,1,3.625,4.623
7,-119,125,1,3.625,4.623
7,-120,125,1,3.625,4.623
7,-121,125,1,3.625,4.623
7,-122,125,1,3.625,4.623
7,-123,125,1,3.625,4.623
7,-124,125,1,3.625,4.623
7,-125,125,1,3.625,4.623
7,-126,125,1,3.625,4.623
7,-127,125,1,3.625,4.623
7,-128,125,1,3.625,4.623
7,-129,125,1,3.625,4.623
7,-130,125,1,3.625,4.623
7,-131,125,1,3.625,4.623
7,-132,125,1,3.625,4.623
7,-133,125,1,3.625,4.623
7,-134,125,1,3.625,4.623
7,-135,125,1,3.625,4.623
7,-136,125,1,3.625,4.623
7,-137,125,1,3.625,4.623
7,-138,125,1,3.625,4.623
7,-139,125,1,3.625,4.623
7,-140,125,1,3.625,4.623
7,-141,125,1,3.625,4.623
7,-142,125,1,3.625,4.623
7,-143,125,1,3.625,4.623
7,-144,125,1,3.625,4.623
7,-145,125,1,3.625,4.623
7,-146,125,1,3.625,4.623
7,-147,125,1,3.625,4.623
7,-148,125,1,3.625,4.623
7,-149,125,1,3.625,4.623
7,-150,125,1,3.625,4.623
7,-90,126,1,3.5,4.444
7,-91,126,1,3.5,4.444
7,-92,126,1,3.5,4.444
7,-93,126,1,3.5,4.444
7,-94,126,1,3.5,4.444
7,-95,126,1,3.5,4.444
7,-96,126,1,3.5,4.444
