"Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE","RMSE"
7,-90,160,1,3.029,3.942
7,-91,160,1,3.029,3.942
7,-92,160,1,3.029,3.942
7,-93,160,1,3.029,3.942
7,-94,160,1,3.029,3.942
7,-95,160,1,3.029,3.942
7,-96,160,1,3.029,3.942
7,-97,160,1,3.029,3.942
7,-98,160,1,3.029,3.942
7,-99,160,1,3.029,3.942
7,-100,160,1,3.029,3.942
7,-101,160,1,3.029,3.942
7,-102,160,1,3.029,3.942
7,-103,160,1,3.029,3.942
7,-104,160,1,3.029,3.942
7,-105,160,1,3.029,3.942
7,-106,160,1,3.029,3.942
7,-107,160,1,3.029,3.942
7,-108,160,1,3.029,3.942
7,-109,160,1,3.029,3.942
7,-110,160,1,3.029,3.942
7,-111,160,1,3.029,3.942
7,-112,160,1,3.029,3.942
7,-113,160,1,3.029,3.942
7,-114,160,1,3.029,3.942
7,-115,160,1,3.029,3.942
7,-116,160,1,3.029,3.942
7,-117,160,1,3.029,3.942
7,-118,160,1,3.029,3.942
7,-119,160,1,3.029,3.942
7,-120,160,1,3.029,3.942
7,-121,160,1,3.029,3.942
7,-122,160,1,3.029,3.942
7,-123,160,1,3.029,3.942
7,-124,160,1,3.029,3.942
7,-125,160,1,3.029,3.942
7,-126,160,1,3.029,3.942
7,-127,160,1,3.029,3.942
7,-128,160,1,3.029,3.942
7,-129,160,1,3.029,3.942
7,-130,160,1,3.029,3.942
7,-131,160,1,3.029,3.942
7,-132,160,1,3.029,3.942
7,-133,160,1,3.029,3.942
7,-134,160,1,3.029,3.942
7,-135,160,1,3.029,3.942
7,-136,160,1,3.029,3.942
7,-137,160,1,3.029,3.942
7,-138,160,1,3.029,3.942
7,-139,160,1,3.029,3.942
7,-140,160,1,3.029,3.942
7,-141,160,1,3.029,3.942
7,-142,160,1,3.029,3.942
7,-143,160,1,3.029,3.942
7,-144,160,1,3.029,3.942
7,-145,160,1,3.029,3.942
7,-146,160,1,3.029,3.942
7,-147,160,1,3.029,3.942
7,-148,160,1,3.029,3.942
7,-149,160,1,3.029,3.942
7,-150,160,1,3.029,3.942
