"boostings","learning_rates","max_bins","min_data_in_leaf","max_depth","feature_fractions","bagging_fractions","bagging_freqs","lambda_l2s","val_score","test_score"
"gbdt",0.1,255,20,-1,0.8,0.8,1,0,0.281193944696426,0.31944375443868
"gbdt",0.01,255,20,-1,0.8,0.8,1,0,0.28132028559186,0.31116537398501
"gbdt",0.1,511,20,-1,0.8,0.8,1,0,0.279385801024861,0.30497054503454
"gbdt",0.01,511,20,-1,0.8,0.8,1,0,0.278684608100373,0.313723956087943
"gbdt",0.1,1023,20,-1,0.8,0.8,1,0,0.28498817783336,0.31277501972977
"gbdt",0.01,1023,20,-1,0.8,0.8,1,0,0.27987581391432,0.315149559597491
"gbdt",0.1,255,50,-1,0.8,0.8,1,0,0.27563899519127,0.316333111225523
"gbdt",0.01,255,50,-1,0.8,0.8,1,0,0.276289924455733,0.314428662368801
"gbdt",0.1,511,50,-1,0.8,0.8,1,0,0.278464991799855,0.319530625373114
"gbdt",0.01,511,50,-1,0.8,0.8,1,0,0.282574768805552,0.312593902853412
"gbdt",0.1,1023,50,-1,0.8,0.8,1,0,0.281608797005704,0.315653565977318
"gbdt",0.01,1023,50,-1,0.8,0.8,1,0,0.276373993144799,0.314472995878512
"gbdt",0.1,255,100,-1,0.8,0.8,1,0,0.278539258514407,0.318906056801532
"gbdt",0.01,255,100,-1,0.8,0.8,1,0,0.275268464700838,0.319613094473713
"gbdt",0.1,511,100,-1,0.8,0.8,1,0,0.282726388584646,0.322673834805857
"gbdt",0.01,511,100,-1,0.8,0.8,1,0,0.275833797519751,0.317953135952495
"gbdt",0.1,1023,100,-1,0.8,0.8,1,0,0.283497537342935,0.312355473077639
"gbdt",0.01,1023,100,-1,0.8,0.8,1,0,0.275795891603259,0.316872355291384
"gbdt",0.1,255,20,5,0.8,0.8,1,0,0.279099879275266,0.312808145561182
"gbdt",0.01,255,20,5,0.8,0.8,1,0,0.273261230849314,0.310072174567343
"gbdt",0.1,511,20,5,0.8,0.8,1,0,0.274877421541832,0.311587629041286
"gbdt",0.01,511,20,5,0.8,0.8,1,0,0.270050712973155,0.310276253173504
"gbdt",0.1,1023,20,5,0.8,0.8,1,0,0.275930546079756,0.307487614707302
"gbdt",0.01,1023,20,5,0.8,0.8,1,0,0.274687056575071,0.309250924111806
"gbdt",0.1,255,50,5,0.8,0.8,1,0,0.277515745265052,0.316239128342684
"gbdt",0.01,255,50,5,0.8,0.8,1,0,0.271798430502707,0.311668314180026
"gbdt",0.1,511,50,5,0.8,0.8,1,0,0.277231402776977,0.316542607732308
"gbdt",0.01,511,50,5,0.8,0.8,1,0,0.273868379992123,0.310884067115739
"gbdt",0.1,1023,50,5,0.8,0.8,1,0,0.278844092357724,0.316916868755412
"gbdt",0.01,1023,50,5,0.8,0.8,1,0,0.274915095712593,0.311059633274995
"gbdt",0.1,255,100,5,0.8,0.8,1,0,0.274690468036192,0.316676721718615
"gbdt",0.01,255,100,5,0.8,0.8,1,0,0.274756909923447,0.319038324696667
"gbdt",0.1,511,100,5,0.8,0.8,1,0,0.280172605050213,0.320294479034316
