"city","station","lat","long","alt"
"Azmoos","GME00128830",47.076869,9.479753,480
"Birmensdorf","GME00129514",47.342472,8.444342,500
"Boudry","SZE00116090",46.949492,6.834386,450
"Cevio-Cavergno","SZ000006717",46.315447,8.598925,430
"Chur","GME00131314",46.868244,9.5419,640
"Diessenhofen","GME00131362",47.690281,8.744,410
"Domat ","GME00132694",46.834311,9.457442,580
"Edlibach","GME00129094",47.179358,8.573208,750
"Eschen-Boja","SZ000002220",47.218989,9.520044,580
"Herzogenbuchsee","SZ000001940",47.18465,7.702511,450
"Hochdorf","GME00129634",47.166514,8.28935,490
"Jegenstorf II","FRM00007299",47.049108,7.507072,525
"Laufenburg","GME00128542",47.561031,8.063136,330
"Liestal","GME00127786",47.481403,7.730519,350
"Locarno","SZ000009480",46.169278,8.798214,200
"Merishausen","GME00122710",47.763636,8.612414,540
"Murg","GME00102404",47.108222,9.217372,500
"Muri, AG","GME00132346",47.265317,8.332283,550
"Orbe ","SZ000008440",46.722633,6.536061,485
"Rafz","GME00130618",47.620414,8.542733,515
"Sarnen","GME00124522",46.894217,8.252236,500
"Silenen","GME00126514",46.782531,8.669625,510
"Thusis","SZM00006796",46.709511,9.44165,700
"Unterseen","SZE00105086",46.684958,7.854311,565
"Villnachern","GME00120934",47.470556,8.154928,415
"Zürich-MeteoSchweiz","SZ000003700",47.378142,8.565853,555
"Zürich-Witikon","GME00127546",47.3591,8.590272,620
