"city","date","id","tmax","tmin","prcp","year","month","day","daily_Cd","daily_Ca","Cd_cumsum","prcp_cumsum","Ca_cumsum","diff_Ca_Cd","diff_Ca_Cd_cumsum","lat","long","alt","bloom_doy","is_bloom","doy"
"Sarnen",1988-03-28,"GME00124522",8.5,3.2,1.2,"1988",3,28,-2.4,0.25,-249.498374725359,508.6,29.45,-2.15,-11.3483747253586,46.894217,8.252236,500,NA,0,88
"Herzogenbuchsee",1993-03-16,"SZ000001940",17.5,4.5,0,"1993",3,16,-1.75,4.75,-262.124069362345,337.7,45.95,3,-60.3740693623454,47.18465,7.702511,450,NA,0,75
"Laufenburg",1991-04-08,"GME00128542",13.2,5.5,0,"1991",4,8,-1.25,2.6,-254.299196242346,657,107,1.35,27.2508037576542,47.561031,8.063136,330,NA,0,98
"Herzogenbuchsee",1968-04-08,"SZ000001940",5.8,-0.3,1.8,"1968",4,8,-2.75737704918033,0,-307.990964239596,367.2,92.8,-2.75737704918033,12.8090357604043,47.18465,7.702511,450,NA,0,99
"Unterseen",1977-04-11,"SZE00105086",7.5,-0.5,0,"1977",4,11,-3.515625,0,-324.134885485719,466.4,145.75,-3.515625,6.86511451428118,46.684958,7.854311,565,NA,0,101
"Herzogenbuchsee",1998-04-23,"SZ000001940",22.9,8.9,0,"1998",4,23,0,7.9,-344.274959739941,397.4,199.3,7.9,39.9250402600588,47.18465,7.702511,450,NA,0,113
"Sarnen",1981-03-26,"GME00124522",20.4,9.5,9.9,"1981",3,26,0,6.95,-189.09962693619,441.1,72.15,6.95,31.1503730638097,46.894217,8.252236,500,NA,0,85
"Zürich-Witikon",1970-04-27,"GME00127546",10.4,4.6,1.2,"1970",4,27,-1.7,1.2,-265.071325238193,444.4,74.7,-0.5,-47.9713252381929,47.3591,8.590272,620,NA,0,117
"Jegenstorf II",1988-03-26,"FRM00007299",11.2,0,7.4,"1988",3,26,-4,1.6,-303.892066002743,372.7,111.7,-2.4,158.507933997257,47.049108,7.507072,525,NA,0,86
"Villnachern",1996-03-20,"GME00120934",3.6,-2.2,2,"1996",3,20,-1.11724137931034,0,-136.579836721595,395.9,0,-1.11724137931034,-58.0298367215952,47.470556,8.154928,415,NA,0,80
"Orbe ",1991-04-30,"SZ000008440",12.1,5.3,11.1,"1991",4,30,-1.35,2.05,-307.885567293426,427.8,169.05,0.7,46.4644327065738,46.722633,6.536061,485,NA,0,120
"Zürich-MeteoSchweiz",1970-04-20,"SZ000003700",9.4,3.2,22.4,"1970",4,20,-2.4,0.7,-268.131892344026,745.1,53.75,-1.7,-43.7318923440261,47.378142,8.565853,555,NA,0,110
"Villnachern",2007-03-31,"GME00120934",2.3,-4.9,0.2,"2007",3,31,-0.367361111111111,0,-207.916245823895,804,3.75,-0.367361111111111,-121.116245823895,47.470556,8.154928,415,NA,0,90
"Locarno",2007-04-15,"SZ000009480",22.7,13,0,"2007",4,15,0,9.85,-240.82844195578,403.5,240.35,9.85,347.77155804422,46.169278,8.798214,200,NA,0,105
"Hochdorf",1977-04-02,"GME00129634",10,5.8,2.4,"1977",4,2,-1.1,1,-294.808362639638,410.4,72.35,-0.100000000000001,-108.658362639638,47.166514,8.28935,490,NA,0,92
