"Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE"
5,-90,120,0,18.38
6,-90,120,0,16.38
7,-90,120,0,9.38
8,-90,120,0,4.75
9,-90,120,0,1.62
5,-95,120,0,15.62
6,-95,120,0,16.38
7,-95,120,0,9.12
8,-95,120,0,4.38
9,-95,120,0,1.88
5,-100,120,0,13.5
6,-100,120,0,15.62
7,-100,120,0,8.62
8,-100,120,0,4.25
9,-100,120,0,1.88
5,-105,120,0,11.88
6,-105,120,0,14.12
7,-105,120,0,8.38
8,-105,120,0,3.5
9,-105,120,0,1.88
5,-110,120,0,10.88
6,-110,120,0,13.38
7,-110,120,0,8.38
8,-110,120,0,2.88
9,-110,120,0,1.62
5,-115,120,0,9.75
6,-115,120,0,12.88
7,-115,120,0,8.38
8,-115,120,0,3.12
9,-115,120,0,1.75
5,-120,120,0,9
6,-120,120,0,10.12
7,-120,120,0,8.12
8,-120,120,0,3.12
9,-120,120,0,2
5,-125,120,0,7.88
6,-125,120,0,9.75
7,-125,120,0,7.88
8,-125,120,0,3
9,-125,120,0,2.12
5,-130,120,0,7.38
6,-130,120,0,8.88
7,-130,120,0,7.12
8,-130,120,0,3
9,-130,120,0,2.5
5,-135,120,0,6.62
6,-135,120,0,8.12
7,-135,120,0,6.5
8,-135,120,0,3
9,-135,120,0,2.75
5,-140,120,0,6.12
6,-140,120,0,7.5
7,-140,120,0,6
8,-140,120,0,2.88
9,-140,120,0,2.75
5,-145,120,0,7.25
6,-145,120,0,6.62
7,-145,120,0,5.5
8,-145,120,0,2.88
9,-145,120,0,2.75
5,-150,120,0,8.12
6,-150,120,0,6.25
7,-150,120,0,4.88
8,-150,120,0,2.75
9,-150,120,0,2.75
5,-90,125,0,17.25
6,-90,125,0,15.25
7,-90,125,0,8.38
8,-90,125,0,3.75
9,-90,125,0,2.12
5,-95,125,0,14.62
6,-95,125,0,14.88
7,-95,125,0,8.12
8,-95,125,0,3.5
9,-95,125,0,2.12
5,-100,125,0,11.75
6,-100,125,0,14.12
7,-100,125,0,7.5
8,-100,125,0,3.75
9,-100,125,0,2.25
5,-105,125,0,11.12
6,-105,125,0,12.88
7,-105,125,0,7.25
8,-105,125,0,3.12
9,-105,125,0,2.25
5,-110,125,0,9.88
6,-110,125,0,12.25
7,-110,125,0,7.25
8,-110,125,0,2.75
9,-110,125,0,2.38
5,-115,125,0,9
6,-115,125,0,11.5
7,-115,125,0,7.25
8,-115,125,0,2.88
9,-115,125,0,2.38
5,-120,125,0,8.25
6,-120,125,0,9.12
7,-120,125,0,7
8,-120,125,0,2.88
