"boostings","learning_rates","max_bins","min_data_in_leaf","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"gbdt",0.1,255,24,31,-1,35,0.513,0.804,0.277
"gbdt",0.01,255,24,31,-1,21,0.626,0.754,0.379
"gbdt",0.1,500,24,31,-1,33,0.505,0.809,0.276
"gbdt",0.01,500,24,31,-1,21,0.625,0.76,0.379
"gbdt",0.1,125,24,31,-1,37,0.501,0.811,0.273
"gbdt",0.01,125,24,31,-1,21,0.624,0.769,0.379
"gbdt",0.1,255,48,31,-1,49,0.511,0.798,0.274
"gbdt",0.01,255,48,31,-1,21,0.632,0.738,0.379
"gbdt",0.1,500,48,31,-1,43,0.507,0.807,0.281
"gbdt",0.01,500,48,31,-1,21,0.631,0.74,0.379
"gbdt",0.1,125,48,31,-1,63,0.513,0.802,0.276
"gbdt",0.01,125,48,31,-1,21,0.631,0.742,0.379
"gbdt",0.1,255,60,31,-1,54,0.51,0.803,0.283
"gbdt",0.01,255,60,31,-1,21,0.632,0.75,0.379
"gbdt",0.1,500,60,31,-1,49,0.505,0.808,0.276
"gbdt",0.01,500,60,31,-1,21,0.635,0.724,0.379
"gbdt",0.1,125,60,31,-1,55,0.508,0.803,0.283
"gbdt",0.01,125,60,31,-1,21,0.633,0.729,0.379
"gbdt",0.1,255,24,64,-1,35,0.503,0.813,0.269
"gbdt",0.01,255,24,64,-1,21,0.621,0.769,0.379
"gbdt",0.1,500,24,64,-1,33,0.51,0.801,0.283
"gbdt",0.01,500,24,64,-1,21,0.622,0.766,0.379
"gbdt",0.1,125,24,64,-1,35,0.514,0.805,0.275
"gbdt",0.01,125,24,64,-1,21,0.624,0.767,0.379
"gbdt",0.1,255,48,64,-1,46,0.51,0.804,0.28
"gbdt",0.01,255,48,64,-1,21,0.628,0.762,0.379
"gbdt",0.1,500,48,64,-1,42,0.514,0.799,0.279
"gbdt",0.01,500,48,64,-1,21,0.631,0.739,0.379
"gbdt",0.1,125,48,64,-1,49,0.506,0.806,0.277
"gbdt",0.01,125,48,64,-1,21,0.632,0.741,0.379
"gbdt",0.1,255,60,64,-1,46,0.516,0.795,0.29
"gbdt",0.01,255,60,64,-1,21,0.634,0.727,0.379
"gbdt",0.1,500,60,64,-1,55,0.509,0.802,0.279
"gbdt",0.01,500,60,64,-1,21,0.634,0.734,0.379
"gbdt",0.1,125,60,64,-1,74,0.507,0.807,0.272
"gbdt",0.01,125,60,64,-1,21,0.632,0.743,0.379
"gbdt",0.1,255,24,128,-1,32,0.515,0.801,0.274
"gbdt",0.01,255,24,128,-1,21,0.624,0.761,0.379
"gbdt",0.1,500,24,128,-1,32,0.508,0.805,0.283
"gbdt",0.01,500,24,128,-1,21,0.624,0.753,0.379
"gbdt",0.1,125,24,128,-1,35,0.514,0.803,0.275
"gbdt",0.01,125,24,128,-1,21,0.623,0.769,0.379
"gbdt",0.1,255,48,128,-1,54,0.511,0.805,0.28
"gbdt",0.01,255,48,128,-1,21,0.63,0.753,0.379
"gbdt",0.1,500,48,128,-1,47,0.506,0.808,0.28
"gbdt",0.01,500,48,128,-1,21,0.631,0.748,0.379
"gbdt",0.1,125,48,128,-1,46,0.51,0.8,0.283
"gbdt",0.01,125,48,128,-1,21,0.631,0.743,0.379
"gbdt",0.1,255,60,128,-1,50,0.512,0.8,0.288
"gbdt",0.01,255,60,128,-1,21,0.633,0.736,0.379
"gbdt",0.1,500,60,128,-1,64,0.514,0.8,0.284
"gbdt",0.01,500,60,128,-1,21,0.631,0.745,0.379
"gbdt",0.1,125,60,128,-1,63,0.505,0.808,0.273
"gbdt",0.01,125,60,128,-1,21,0.632,0.742,0.379
"gbdt",0.1,255,24,31,10,38,0.51,0.804,0.278
"gbdt",0.01,255,24,31,10,21,0.623,0.767,0.379
"gbdt",0.1,500,24,31,10,34,0.509,0.806,0.279
"gbdt",0.01,500,24,31,10,21,0.624,0.766,0.379
"gbdt",0.1,125,24,31,10,47,0.497,0.816,0.263
"gbdt",0.01,125,24,31,10,21,0.626,0.751,0.379
"gbdt",0.1,255,48,31,10,48,0.512,0.805,0.273
"gbdt",0.01,255,48,31,10,21,0.631,0.74,0.379
"gbdt",0.1,500,48,31,10,52,0.505,0.805,0.277
"gbdt",0.01,500,48,31,10,21,0.63,0.746,0.379
"gbdt",0.1,125,48,31,10,46,0.501,0.811,0.264
"gbdt",0.01,125,48,31,10,21,0.629,0.747,0.379
"gbdt",0.1,255,60,31,10,59,0.505,0.809,0.272
"gbdt",0.01,255,60,31,10,21,0.635,0.73,0.379
"gbdt",0.1,500,60,31,10,78,0.51,0.805,0.28
"gbdt",0.01,500,60,31,10,21,0.633,0.732,0.379
"gbdt",0.1,125,60,31,10,54,0.511,0.803,0.279
"gbdt",0.01,125,60,31,10,21,0.635,0.722,0.379
"gbdt",0.1,255,24,64,10,39,0.507,0.807,0.277
"gbdt",0.01,255,24,64,10,21,0.624,0.76,0.379
"gbdt",0.1,500,24,64,10,34,0.51,0.806,0.278
"gbdt",0.01,500,24,64,10,21,0.623,0.768,0.379
"gbdt",0.1,125,24,64,10,38,0.499,0.817,0.267
"gbdt",0.01,125,24,64,10,21,0.624,0.758,0.379
"gbdt",0.1,255,48,64,10,47,0.509,0.806,0.27
"gbdt",0.01,255,48,64,10,21,0.631,0.744,0.379
"gbdt",0.1,500,48,64,10,48,0.511,0.802,0.281
"gbdt",0.01,500,48,64,10,21,0.63,0.746,0.379
"gbdt",0.1,125,48,64,10,45,0.509,0.805,0.283
"gbdt",0.01,125,48,64,10,21,0.632,0.73,0.379
"gbdt",0.1,255,60,64,10,54,0.51,0.802,0.285
"gbdt",0.01,255,60,64,10,21,0.633,0.738,0.379
"gbdt",0.1,500,60,64,10,60,0.504,0.806,0.269
