"boostings","learning_rates","max_bins","min_data_in_leaf","num_leaves","max_depth","val_score","test_score"
1,0.1,255,20,31,-1,0.529180996890468,0.554495208647363
2,0.1,255,20,31,-1,0.518726287874712,0.54118116492279
1,0.01,255,20,31,-1,0.528451992033667,0.569769940315268
2,0.01,255,20,31,-1,0.582437183067585,0.62567612959497
1,0.1,32,20,31,-1,0.51939409797583,0.552752067379702
2,0.1,32,20,31,-1,0.519052226998442,0.534727299080106
1,0.01,32,20,31,-1,0.530563223506783,0.563448602032504
2,0.01,32,20,31,-1,0.572235665976932,0.620994995149749
1,0.1,64,20,31,-1,0.529147465843058,0.552515516955081
2,0.1,64,20,31,-1,0.520939021503183,0.540139813917901
1,0.01,64,20,31,-1,0.530379134687171,0.565109278044097
2,0.01,64,20,31,-1,0.588248088385039,0.598273714435188
1,0.1,255,12,31,-1,0.533575921955336,0.560654663726546
2,0.1,255,12,31,-1,0.533921537707885,0.537586763479574
1,0.01,255,12,31,-1,0.538088995697546,0.580442194216397
2,0.01,255,12,31,-1,0.57914339000976,0.617897123143927
1,0.1,32,12,31,-1,0.524763694284812,0.552907149847453
2,0.1,32,12,31,-1,0.520517648295644,0.534290955136211
1,0.01,32,12,31,-1,0.533683331655883,0.553522160730504
2,0.01,32,12,31,-1,0.562676025786054,0.612831016614686
1,0.1,64,12,31,-1,0.531617579244143,0.543529299582157
2,0.1,64,12,31,-1,0.529363980194905,0.531733710112365
1,0.01,64,12,31,-1,0.539631745507693,0.564335792160769
2,0.01,64,12,31,-1,0.592643821703622,0.603858766816194
1,0.1,255,48,31,-1,0.526606657881615,0.560142108067831
2,0.1,255,48,31,-1,0.535226311558324,0.542234020446921
1,0.01,255,48,31,-1,0.526974612396618,0.57438992056937
2,0.01,255,48,31,-1,0.593995464471196,0.6129832518229
1,0.1,32,48,31,-1,0.524208623887671,0.554371320683764
2,0.1,32,48,31,-1,0.527076067003133,0.539140635322302
1,0.01,32,48,31,-1,0.527475516857904,0.562775575792442
2,0.01,32,48,31,-1,0.595924647114266,0.602920285254838
