"boostings","learning_rates","max_bins","min_data_in_leaf","max_depth","feature_fractions","bagging_fractions","bagging_freqs","lambda_l2s","val_score","test_score"
"gbdt",0.1,255,20,-1,0.8,0.8,1,0,0.490158630023538,0.474226701465309
"gbdt",0.01,255,20,-1,0.8,0.8,1,0,0.491104072120137,0.475081790536888
"gbdt",0.1,255,12,-1,0.8,0.8,1,0,0.493283917615285,0.480838441302827
"gbdt",0.01,255,12,-1,0.8,0.8,1,0,0.490820166236999,0.473184818314281
"gbdt",0.1,255,40,-1,0.8,0.8,1,0,0.494371180615303,0.466444673453096
"gbdt",0.01,255,40,-1,0.8,0.8,1,0,0.491603964606592,0.468876933452983
"gbdt",0.1,255,20,10,0.8,0.8,1,0,0.493455772538179,0.472408150999551
"gbdt",0.01,255,20,10,0.8,0.8,1,0,0.489904872938931,0.471692753717479
"gbdt",0.1,255,12,10,0.8,0.8,1,0,0.498366497816537,0.487477634302695
"gbdt",0.01,255,12,10,0.8,0.8,1,0,0.489558992243745,0.47028255467314
"gbdt",0.1,255,40,10,0.8,0.8,1,0,0.491279001789417,0.459781630693236
"gbdt",0.01,255,40,10,0.8,0.8,1,0,0.492017961728079,0.469154969328334
"gbdt",0.1,255,20,20,0.8,0.8,1,0,0.490158630023538,0.474226701465309
"gbdt",0.01,255,20,20,0.8,0.8,1,0,0.491104072120137,0.475081790536888
"gbdt",0.1,255,12,20,0.8,0.8,1,0,0.493283917615285,0.480838441302827
"gbdt",0.01,255,12,20,0.8,0.8,1,0,0.490820166236999,0.473184818314281
"gbdt",0.1,255,40,20,0.8,0.8,1,0,0.494371180615303,0.466444673453096
"gbdt",0.01,255,40,20,0.8,0.8,1,0,0.491603964606592,0.468876933452983
"gbdt",0.1,255,20,-1,0.9,0.8,1,0,0.501644630487962,0.472791673580542
"gbdt",0.01,255,20,-1,0.9,0.8,1,0,0.486496852090699,0.473185504852593
"gbdt",0.1,255,12,-1,0.9,0.8,1,0,0.502224063080516,0.484059217592779
"gbdt",0.01,255,12,-1,0.9,0.8,1,0,0.487514635521006,0.481816399664947
"gbdt",0.1,255,40,-1,0.9,0.8,1,0,0.489766374566759,0.448003004488986
"gbdt",0.01,255,40,-1,0.9,0.8,1,0,0.490452914858697,0.470870154363161
"gbdt",0.1,255,20,10,0.9,0.8,1,0,0.494270380549948,0.471151256016457
"gbdt",0.01,255,20,10,0.9,0.8,1,0,0.486786763046657,0.473327621126893
"gbdt",0.1,255,12,10,0.9,0.8,1,0,0.497948773838045,0.484537977079754
"gbdt",0.01,255,12,10,0.9,0.8,1,0,0.488940926217905,0.476242252517595
"gbdt",0.1,255,40,10,0.9,0.8,1,0,0.491859560876462,0.450855766488761
"gbdt",0.01,255,40,10,0.9,0.8,1,0,0.491104738328963,0.471389207628338
"gbdt",0.1,255,20,20,0.9,0.8,1,0,0.501644630487962,0.472791673580542
"gbdt",0.01,255,20,20,0.9,0.8,1,0,0.486496852090699,0.473493362423877
"gbdt",0.1,255,12,20,0.9,0.8,1,0,0.502224063080516,0.484059217592779
"gbdt",0.01,255,12,20,0.9,0.8,1,0,0.487514635521006,0.481816399664947
"gbdt",0.1,255,40,20,0.9,0.8,1,0,0.489766374566759,0.448003004488986
"gbdt",0.01,255,40,20,0.9,0.8,1,0,0.490452914858697,0.470870154363161
"gbdt",0.1,255,20,-1,1,0.8,1,0,0.493621904790109,0.469006718366012
"gbdt",0.01,255,20,-1,1,0.8,1,0,0.486492201454625,0.476487050090071
"gbdt",0.1,255,12,-1,1,0.8,1,0,0.500028992836145,0.485404376931987
"gbdt",0.01,255,12,-1,1,0.8,1,0,0.488462450053906,0.478598429025046
"gbdt",0.1,255,40,-1,1,0.8,1,0,0.488484089305789,0.456641305951761
"gbdt",0.01,255,40,-1,1,0.8,1,0,0.488423820896867,0.467698915588886
"gbdt",0.1,255,20,10,1,0.8,1,0,0.494389546325666,0.477383216689007
"gbdt",0.01,255,20,10,1,0.8,1,0,0.484887586844962,0.476365053130827
"gbdt",0.1,255,12,10,1,0.8,1,0,0.497071979985366,0.483063552636664
"gbdt",0.01,255,12,10,1,0.8,1,0,0.488981024052008,0.475765130757174
"gbdt",0.1,255,40,10,1,0.8,1,0,0.490737161164446,0.467943403536941
"gbdt",0.01,255,40,10,1,0.8,1,0,0.48872241218781,0.467513308334629
"gbdt",0.1,255,20,20,1,0.8,1,0,0.493621904790109,0.469006718366012
"gbdt",0.01,255,20,20,1,0.8,1,0,0.486492201454625,0.476487050090071
"gbdt",0.1,255,12,20,1,0.8,1,0,0.500028992836145,0.485404376931987
"gbdt",0.01,255,12,20,1,0.8,1,0,0.488467160645957,0.478598429025046
"gbdt",0.1,255,40,20,1,0.8,1,0,0.488484089305789,0.456641305951761
"gbdt",0.01,255,40,20,1,0.8,1,0,0.488423820896867,0.467698915588886
"gbdt",0.1,255,20,-1,0.8,0.9,1,0,0.488544777394222,0.472810270842291
"gbdt",0.01,255,20,-1,0.8,0.9,1,0,0.490603292059204,0.471909514979804
"gbdt",0.1,255,12,-1,0.8,0.9,1,0,0.488821941743248,0.469736961145686
"gbdt",0.01,255,12,-1,0.8,0.9,1,0,NA,NA
"gbdt",0.1,255,40,-1,0.8,0.9,1,0,NA,NA
"gbdt",0.01,255,40,-1,0.8,0.9,1,0,NA,NA
"gbdt",0.1,255,20,10,0.8,0.9,1,0,NA,NA
"gbdt",0.01,255,20,10,0.8,0.9,1,0,NA,NA
"gbdt",0.1,255,12,10,0.8,0.9,1,0,NA,NA
"gbdt",0.01,255,12,10,0.8,0.9,1,0,NA,NA
"gbdt",0.1,255,40,10,0.8,0.9,1,0,NA,NA
"gbdt",0.01,255,40,10,0.8,0.9,1,0,NA,NA
"gbdt",0.1,255,20,20,0.8,0.9,1,0,NA,NA
"gbdt",0.01,255,20,20,0.8,0.9,1,0,NA,NA
"gbdt",0.1,255,12,20,0.8,0.9,1,0,NA,NA
"gbdt",0.01,255,12,20,0.8,0.9,1,0,NA,NA
"gbdt",0.1,255,40,20,0.8,0.9,1,0,NA,NA
"gbdt",0.01,255,40,20,0.8,0.9,1,0,NA,NA
"gbdt",0.1,255,20,-1,0.9,0.9,1,0,NA,NA
"gbdt",0.01,255,20,-1,0.9,0.9,1,0,NA,NA
"gbdt",0.1,255,12,-1,0.9,0.9,1,0,NA,NA
"gbdt",0.01,255,12,-1,0.9,0.9,1,0,NA,NA
"gbdt",0.1,255,40,-1,0.9,0.9,1,0,NA,NA
"gbdt",0.01,255,40,-1,0.9,0.9,1,0,NA,NA
"gbdt",0.1,255,20,10,0.9,0.9,1,0,NA,NA
"gbdt",0.01,255,20,10,0.9,0.9,1,0,NA,NA
"gbdt",0.1,255,12,10,0.9,0.9,1,0,NA,NA
"gbdt",0.01,255,12,10,0.9,0.9,1,0,NA,NA
"gbdt",0.1,255,40,10,0.9,0.9,1,0,NA,NA
"gbdt",0.01,255,40,10,0.9,0.9,1,0,NA,NA
"gbdt",0.1,255,20,20,0.9,0.9,1,0,NA,NA
"gbdt",0.01,255,20,20,0.9,0.9,1,0,NA,NA
"gbdt",0.1,255,12,20,0.9,0.9,1,0,NA,NA
"gbdt",0.01,255,12,20,0.9,0.9,1,0,NA,NA
"gbdt",0.1,255,40,20,0.9,0.9,1,0,NA,NA
"gbdt",0.01,255,40,20,0.9,0.9,1,0,NA,NA
"gbdt",0.1,255,20,-1,1,0.9,1,0,NA,NA
"gbdt",0.01,255,20,-1,1,0.9,1,0,NA,NA
"gbdt",0.1,255,12,-1,1,0.9,1,0,NA,NA
"gbdt",0.01,255,12,-1,1,0.9,1,0,NA,NA
"gbdt",0.1,255,40,-1,1,0.9,1,0,NA,NA
"gbdt",0.01,255,40,-1,1,0.9,1,0,NA,NA
"gbdt",0.1,255,20,10,1,0.9,1,0,NA,NA
"gbdt",0.01,255,20,10,1,0.9,1,0,NA,NA
"gbdt",0.1,255,12,10,1,0.9,1,0,NA,NA
"gbdt",0.01,255,12,10,1,0.9,1,0,NA,NA
"gbdt",0.1,255,40,10,1,0.9,1,0,NA,NA
"gbdt",0.01,255,40,10,1,0.9,1,0,NA,NA
"gbdt",0.1,255,20,20,1,0.9,1,0,NA,NA
"gbdt",0.01,255,20,20,1,0.9,1,0,NA,NA
"gbdt",0.1,255,12,20,1,0.9,1,0,NA,NA
"gbdt",0.01,255,12,20,1,0.9,1,0,NA,NA
"gbdt",0.1,255,40,20,1,0.9,1,0,NA,NA
"gbdt",0.01,255,40,20,1,0.9,1,0,NA,NA
"gbdt",0.1,255,20,-1,0.8,1,1,0,NA,NA
"gbdt",0.01,255,20,-1,0.8,1,1,0,NA,NA
"gbdt",0.1,255,12,-1,0.8,1,1,0,NA,NA
"gbdt",0.01,255,12,-1,0.8,1,1,0,NA,NA
"gbdt",0.1,255,40,-1,0.8,1,1,0,NA,NA
"gbdt",0.01,255,40,-1,0.8,1,1,0,NA,NA
"gbdt",0.1,255,20,10,0.8,1,1,0,NA,NA
"gbdt",0.01,255,20,10,0.8,1,1,0,NA,NA
"gbdt",0.1,255,12,10,0.8,1,1,0,NA,NA
"gbdt",0.01,255,12,10,0.8,1,1,0,NA,NA
"gbdt",0.1,255,40,10,0.8,1,1,0,NA,NA
"gbdt",0.01,255,40,10,0.8,1,1,0,NA,NA
"gbdt",0.1,255,20,20,0.8,1,1,0,NA,NA
"gbdt",0.01,255,20,20,0.8,1,1,0,NA,NA
"gbdt",0.1,255,12,20,0.8,1,1,0,NA,NA
"gbdt",0.01,255,12,20,0.8,1,1,0,NA,NA
"gbdt",0.1,255,40,20,0.8,1,1,0,NA,NA
"gbdt",0.01,255,40,20,0.8,1,1,0,NA,NA
"gbdt",0.1,255,20,-1,0.9,1,1,0,NA,NA
"gbdt",0.01,255,20,-1,0.9,1,1,0,NA,NA
"gbdt",0.1,255,12,-1,0.9,1,1,0,NA,NA
"gbdt",0.01,255,12,-1,0.9,1,1,0,NA,NA
"gbdt",0.1,255,40,-1,0.9,1,1,0,NA,NA
"gbdt",0.01,255,40,-1,0.9,1,1,0,NA,NA
"gbdt",0.1,255,20,10,0.9,1,1,0,NA,NA
"gbdt",0.01,255,20,10,0.9,1,1,0,NA,NA
"gbdt",0.1,255,12,10,0.9,1,1,0,NA,NA
"gbdt",0.01,255,12,10,0.9,1,1,0,NA,NA
"gbdt",0.1,255,40,10,0.9,1,1,0,NA,NA
"gbdt",0.01,255,40,10,0.9,1,1,0,NA,NA
"gbdt",0.1,255,20,20,0.9,1,1,0,NA,NA
"gbdt",0.01,255,20,20,0.9,1,1,0,NA,NA
"gbdt",0.1,255,12,20,0.9,1,1,0,NA,NA
"gbdt",0.01,255,12,20,0.9,1,1,0,NA,NA
"gbdt",0.1,255,40,20,0.9,1,1,0,NA,NA
"gbdt",0.01,255,40,20,0.9,1,1,0,NA,NA
"gbdt",0.1,255,20,-1,1,1,1,0,NA,NA
"gbdt",0.01,255,20,-1,1,1,1,0,NA,NA
"gbdt",0.1,255,12,-1,1,1,1,0,NA,NA
"gbdt",0.01,255,12,-1,1,1,1,0,NA,NA
"gbdt",0.1,255,40,-1,1,1,1,0,NA,NA
"gbdt",0.01,255,40,-1,1,1,1,0,NA,NA
"gbdt",0.1,255,20,10,1,1,1,0,NA,NA
"gbdt",0.01,255,20,10,1,1,1,0,NA,NA
