"boostings","learning_rates","max_bins","min_data_in_leaf","num_leaves","max_depth","val_auc","test_auc"
1,0.1,255,24,31,-1,0.809337307152875,0.791949263210292
1,0.1,500,24,31,-1,0.804380227001195,0.788602928034203
1,0.1,125,24,31,-1,0.79947639083684,0.793699216962652
1,0.1,255,48,31,-1,0.80597527401174,0.780385984596631
1,0.1,500,48,31,-1,0.798932263259051,0.779022433233599
1,0.1,125,48,31,-1,0.807273128668641,0.779799901874571
1,0.1,255,60,31,-1,0.809510674770142,0.782272726358742
1,0.1,500,60,31,-1,0.804181536024103,0.789167730138984
1,0.1,125,60,31,-1,0.812902901147992,0.779866229257821
1,0.1,255,24,64,-1,0.799961885096878,0.793130225759981
1,0.1,500,24,64,-1,0.80535673471508,0.785799081034803
1,0.1,125,24,64,-1,0.803215417380915,0.803987725161219
1,0.1,255,48,64,-1,0.80597527401174,0.780385984596631
1,0.1,500,48,64,-1,0.798932263259051,0.779022433233599
1,0.1,125,48,64,-1,0.807273128668641,0.779799901874571
1,0.1,255,60,64,-1,0.809510674770142,0.782272726358742
1,0.1,500,60,64,-1,0.804181536024103,0.789167730138984
1,0.1,125,60,64,-1,0.812902901147992,0.779866229257821
1,0.1,255,24,128,-1,0.799961885096878,0.793130225759981
1,0.1,500,24,128,-1,0.80535673471508,0.785799081034803
1,0.1,125,24,128,-1,0.803215417380915,0.803987725161219
1,0.1,255,48,128,-1,0.80597527401174,0.780385984596631
1,0.1,500,48,128,-1,0.798932263259051,0.779022433233599
1,0.1,125,48,128,-1,0.807273128668641,0.779799901874571
1,0.1,255,60,128,-1,0.809510674770142,0.782272726358742
1,0.1,500,60,128,-1,0.804181536024103,0.789167730138984
1,0.1,125,60,128,-1,0.812902901147992,0.779866229257821
1,0.1,255,24,31,10,0.799016219936627,0.783172712149322
1,0.1,500,24,31,10,0.801784322892317,0.784574300521191
1,0.1,125,24,31,10,0.808025232455457,0.783418193285647
1,0.1,255,48,31,10,0.808973235156615,0.773064949561027
1,0.1,500,48,31,10,0.804020505428289,0.773118151104224
1,0.1,125,48,31,10,0.810882681419147,0.777201069325884
1,0.1,255,60,31,10,0.805354916627708,0.782858920790079
1,0.1,500,60,31,10,0.808066139421329,0.785033984196265
1,0.1,125,60,31,10,0.81329482884006,0.783339186899451
1,0.1,255,24,64,10,0.797015674510415,0.78941390945829
1,0.1,500,24,64,10,0.805581398368916,0.793004217695464
1,0.1,125,24,64,10,0.800805802295985,0.793906465598905
1,0.1,255,48,64,10,0.808973235156615,0.773064949561027
1,0.1,500,48,64,10,0.804020505428289,0.773118151104224
1,0.1,125,48,64,10,0.810882681419147,0.777201069325884
1,0.1,255,60,64,10,0.805354916627708,0.782858920790079
1,0.1,500,60,64,10,0.808066139421329,0.785033984196265
1,0.1,125,60,64,10,0.81329482884006,0.783339186899451
1,0.1,255,24,128,10,0.797015674510415,0.78941390945829
1,0.1,500,24,128,10,0.805581398368916,0.793004217695464
1,0.1,125,24,128,10,0.800805802295985,0.793906465598905
1,0.1,255,48,128,10,0.808973235156615,0.773064949561027
1,0.1,500,48,128,10,0.804020505428289,0.773118151104224
1,0.1,125,48,128,10,0.810882681419147,0.777201069325884
1,0.1,255,60,128,10,0.805354916627708,0.782858920790079
1,0.1,500,60,128,10,0.808066139421329,0.785033984196265
1,0.1,125,60,128,10,0.81329482884006,0.783339186899451
1,0.1,255,24,31,20,0.808899018232819,0.792863491933697
1,0.1,500,24,31,20,0.804380227001195,0.792514540079501
1,0.1,125,24,31,20,0.79947639083684,0.795183274708305
1,0.1,255,48,31,20,0.80597527401174,0.780385984596631
1,0.1,500,48,31,20,0.798932263259051,0.778778292608599
1,0.1,125,48,31,20,0.807273128668641,0.779799901874571
1,0.1,255,60,31,20,0.809510674770142,0.782272726358742
1,0.1,500,60,31,20,0.804181536024103,0.789167730138984
1,0.1,125,60,31,20,0.812902901147992,0.779866229257821
1,0.1,255,24,64,20,0.802210339722612,0.798494225970888
1,0.1,500,24,64,20,0.805303166069295,0.792907198188344
1,0.1,125,24,64,20,0.804530284141084,0.800022716081489
1,0.1,255,48,64,20,0.80597527401174,0.780385984596631
1,0.1,500,48,64,20,0.798932263259051,0.778778292608599
1,0.1,125,48,64,20,0.807273128668641,0.779799901874571
1,0.1,255,60,64,20,0.809510674770142,0.782272726358742
1,0.1,500,60,64,20,0.804181536024103,0.789167730138984
1,0.1,125,60,64,20,0.812902901147992,0.779866229257821
1,0.1,255,24,128,20,0.802210339722612,0.798494225970888
1,0.1,500,24,128,20,0.805303166069295,0.792907198188344
1,0.1,125,24,128,20,0.804530284141084,0.800022716081489
1,0.1,255,48,128,20,0.80597527401174,0.780385984596631
1,0.1,500,48,128,20,0.798932263259051,0.778778292608599
1,0.1,125,48,128,20,0.807273128668641,0.779799901874571
1,0.1,255,60,128,20,0.809510674770142,0.782272726358742
1,0.1,500,60,128,20,0.804181536024103,0.789167730138984
1,0.1,125,60,128,20,0.812902901147992,0.779866229257821
