id,latitude,longitude,elevation,state,name,gsn_flag,wmo_id,element,first_year,last_year
AU000005010,48.05,14.1331,383,,KREMSMUENSTER,GSN,11012,TMAX,1876,2023
AU000005901,48.2331,16.35,199,,WIEN,GSN,11035,TMAX,1855,2023
AU000006306,47.8,13,437,,SALZBURG,,11150,TMAX,1874,2023
AU000011801,47.2667,11.4,577,,INNSBRUCK,,11120,TMAX,1877,2023
AU000016402,47.0831,15.45,366,,GRAZ,,11240,TMAX,1894,2022
AUM00011155,47.817,13.717,1620.1,,FEUERKOGEL,,11155,TMAX,1965,2023
AUM00011231,46.65,14.333,452,,KLAGENFURT(CIV/MIL),,11231,TMAX,1952,2022
AUM00011343,47.05,12.95,3113.8,,SONNBLICK - AUTOM.,,11343,TMAX,2001,2023
AUM00011389,48.183,15.617,273,,ST POELTEN LANDHAUS,,11389,TMAX,2007,2023
FR000007130,48.0689,-1.7339,36,,RENNES-ST JACQUES,GSN,07130,TMAX,1945,2023
FR000007190,48.5492,7.6403,150,,STRASBOURG-ENTZHEIM,GSN,07190,TMAX,1924,2023
FR000007255,47.0592,2.3594,161,,BOURGES,GSN,07255,TMAX,1945,2023
FR000007510,44.8306,0.6914,47,,BORDEAUX-MERIGNAC,,07510,TMAX,1906,2023
FR000007560,44.1167,3.5831,1567,,MONT-AIGOUAL,GSN,07560,TMAX,1949,2023
FR000007630,43.6208,1.3789,151,,TOULOUSE-BLAGNAC,GSN,07630,TMAX,1947,2023
FR000007650,43.4378,5.2158,9,,MARSEILLES-MARIGNANE,GSN,07650,TMAX,1921,2023
FR000007747,42.7369,2.8728,42,,PERPIGNAN,,07747,TMAX,1901,2023
FR069029001,45.7264,5.0778,235,,LYON - ST EXUPERY,,07480,TMAX,1920,2023
FRE00104036,50.1358,1.8339,69,,ABBEVILLE,,07005,TMAX,1922,2023
FRE00104040,50.57,3.0975,47,,LILLE-LESQUIN,,07015,TMAX,1944,2023
FRE00104044,49.18,0.4558,67,,CAEN-CARPIQUET,,07027,TMAX,1945,2023
FRE00104048,49.2094,4.1553,95,,REIMS-PRUNAY,,07072,TMAX,2012,2023
FRE00104052,48.4456,0.1103,143,,ALENCON-VALFRAMBERT,,07139,TMAX,1946,2023
FRE00104072,47.2678,5.0881,219,,DIJON-LONGVIC,,07280,TMAX,1921,2023
FRE00104088,46.5939,0.3142,123,,POITIERS - BIARD,,07335,TMAX,1921,2023
FRE00104092,45.7867,3.1492,331,,CLERMONT-FERRAND,,07460,TMAX,1923,2023
FRE00104116,43.1881,0,360,,TARBES - OSSUN,,07621,TMAX,1946,2023
FRE00104120,43.6489,7.2089,2,,NICE,,07690,TMAX,1942,2023
FRE00104124,42.5406,9.4853,10,,BASTIA,,07790,TMAX,1947,2023
FRE00104484,48.4442,-4.4117,94,,BREST-GUIPAVAS,,07110,TMAX,1945,2023
FRE00104907,44.5808,4.7331,73,,MONTELIMAR,,07577,TMAX,1920,2023
FRE00104937,49.7253,-1.9394,6,,PTE DE LA HAGUE,,07020,TMAX,1921,2023
FRE00106184,49.3831,1.1817,151,,ROUEN - BOOS,,07037,TMAX,1968,2023
FRE00106190,47.4442,0.7269,108,,TOURS,,07240,TMAX,1959,2023
FRE00106195,45.8608,1.175,402,,LIMOGES - BELLEGARDE,,07434,TMAX,1973,2023
FRE00106196,45.0742,3.7639,833,,LE PUY - LOUDES,,07471,TMAX,1983,2023
FRE00106200,44.1183,3.0183,712,,MILLAU,,07558,TMAX,1964,2023
FRE00106203,43.9094,0.5003,59,,MONT-DE-MARSAN,,07607,TMAX,1945,2023
FRE00106205,43.0053,1.1067,414,,ST-GIRONS,,07627,TMAX,1949,2023
FRE00106207,43.5767,3.9631,2,,MONTPELLIER-AEROPORT,,07643,TMAX,1946,2023
FRE00106209,41.9181,8.7928,5,,AJACCIO,,07761,TMAX,1949,2023
FRE00171619,48.3244,4.0197,112,,TROYES-BARBEREY,,07168,TMAX,1975,2023
FRE00171623,46.0467,-1.4117,11,,PTE DE CHASSIRON,,07314,TMAX,1917,2023
FRE00171627,48.8256,-3.4731,55,,PLOUMANAC'H,,07117,TMAX,1947,2023
FRE00171632,48.5808,5.9594,336,,NANCY-OCHEY,,07181,TMAX,1966,2023
FRM00007005,50.143,1.832,67.1,,ABBEVILLE,,07005,TMAX,1973,2023
FRM00007015,50.562,3.089,47.9,,LESQUIN,,07015,TMAX,1973,2023
FRM00007027,49.173,-0.45,78,,CARPIQUET,,07027,TMAX,1973,2023
FRM00007037,49.384,1.175,156.1,,VALLEE DE SEINE,,07037,TMAX,1973,2023
FRM00007072,49.217,4.15,96,,REIMS-PRUNAY,,07072,TMAX,2012,2023
FRM00007100,48.483,-5.05,68,,OUESSANT,,07100,TMAX,1973,2023
FRM00007110,48.448,-4.419,99.1,,GUIPAVAS,,07110,TMAX,1973,2023
FRM00007117,48.833,-3.467,58,,PLOUMANAC'H PERROS GUIREC,,07117,TMAX,1985,2023
FRM00007139,48.45,0.117,141,,ALENCON/VALFRAMBERT,,07139,TMAX,1973,2023
FRM00007149,48.7167,2.3842,89,,ORLY,,07149,TMAX,1921,2023
FRM00007150,48.9675,2.4275,67,,LE BOURGET,,07150,TMAX,1900,2023
FRM00007156,48.8217,2.3378,75,,PARIS-MONTSOURIS,,07156,TMAX,1983,2023
FRM00007168,48.322,4.017,118.3,,BARBEREY,,07168,TMAX,1978,2023
FRM00007180,48.692,6.23,228.9,,ESSEY,,07180,TMAX,1973,2023
FRM00007181,48.583,5.955,337.1,,OCHEY,,07181,TMAX,1973,2023
FRM00007207,47.2942,-3.2181,34,,BELLE ILE - LE TALUT,,07207,TMAX,1930,2023
FRM00007222,47.15,-1.6089,26,,NANTES-BOUGUENAIS,,07222,TMAX,1945,2023
FRM00007240,47.432,0.728,108.8,,VAL DE LOIRE,,07240,TMAX,1973,2023
FRM00007280,47.269,5.09,221.3,,LONGVIC,,07280,TMAX,1973,2023
FRM00007299,47.59,7.53,269.7,,BALE MULHOUSE,,07299,TMAX,1973,2023
FRM00007314,46.05,-1.417,22,,CHASSIRON,,07314,TMAX,1973,2023
FRM00007335,46.588,0.307,128.9,,BIARD,,07335,TMAX,1973,2023
FRM00007434,45.863,1.179,396.2,,BELLEGARDE,,07434,TMAX,1973,2023
FRM00007460,45.787,3.169,332.2,,AUVERGNE,,07460,TMAX,1973,2023
FRM00007471,45.081,3.763,832.4,,LOUDES,,07471,TMAX,1983,2023
FRM00007481,45.726,5.091,250.2,,SAINT EXUPERY,,07481,TMAX,1975,2023
FRM00007535,44.745,1.3967,260,,GOURDON,,07535,TMAX,1961,2023
FRM00007558,44.117,3.017,720,,MILLAU,,07558,TMAX,1973,2023
FRM00007607,43.912,-0.508,61.9,,MONT DE MARSAN,,07607,TMAX,1973,2023
FRM00007621,43.179,-0.006,384,,LOURDES,,07621,TMAX,1973,2023
FRM00007627,43.008,1.103,417,,ANTICHAN,,07627,TMAX,1973,2023
FRM00007643,43.576,3.963,5.2,,MEDITERRANEE,,07643,TMAX,1973,2023
FRM00007690,43.658,7.216,3.7,,COTE D AZUR,,07690,TMAX,1973,2023
FRM00007761,41.924,8.803,5.5,,CAMPO DELL ORO,,07761,TMAX,1973,2023
FRM00007790,42.553,9.484,7.9,,PORETTA,,07790,TMAX,1973,2023
FRM00061998,-49.35,70.25,30,,PORT-AUX-FRANCAIS (ILES KERGU,GSN,61998,TMAX,1973,2023
GM000001474,53.1017,8.7842,4,,BREMEN-SEEFAHRTSCHULE,,10224,TMAX,1890,2022
GM000002288,49.4253,7.7367,285,,KAISERSLAUTERN,,,TMAX,1901,2022
GM000002716,48.7703,9.1825,286,,STUTTGART-STADT,,10738,TMAX,1900,2022
GM000003038,53.6442,11.3883,59,,SCHWERIN,,10162,TMAX,1890,2022
GM000003319,52.4639,13.3017,51,,BERLIN-DAHLEM,,10381,TMAX,1876,2022
GM000003342,52.3833,13.0639,81,,POTSDAM,,10379,TMAX,1893,2022
GM000004063,49.8753,10.9217,240,,BAMBERG,,10675,TMAX,1879,2022
GM000004155,47.4219,10.9867,2964,,ZUGSPITZE,,10961,TMAX,1900,2022
GM000004199,48.1667,11.5025,515,,MUNCHEN-NYMPHENBURG,,10865,TMAX,1879,2022
