"","id","date","tmax","tmin","prcp","year","month","day"
"1","SZ000008440",1955-01-01,2.2,0.3,2.9,"1955",1,1
"2","SZ000008440",1955-01-02,31.4,14.1,5.8,"1955",1,2
"3","SZ000008440",1955-01-03,-2.2,-5,8.9,"1955",1,3
"4","SZ000008440",1955-01-04,0,-5,0,"1955",1,4
"5","SZ000008440",1955-01-05,0,-3.9,9.7,"1955",1,5
"6","SZ000008440",1955-01-06,1.1,-2.2,0.9,"1955",1,6
"7","SZ000008440",1955-01-07,1.1,-1.1,5,"1955",1,7
"8","SZ000008440",1955-01-08,1.1,-1.1,0,"1955",1,8
"9","SZ000008440",1955-01-09,1.1,-1.1,1.3,"1955",1,9
"10","SZ000008440",1955-01-10,28,16.1,16.5,"1955",1,10
"11","SZ000008440",1955-01-11,10,-3.9,25.9,"1955",1,11
"12","SZ000008440",1955-01-12,13.9,10,16,"1955",1,12
"13","SZ000008440",1955-01-13,25.7,13.4,8.9,"1955",1,13
"14","SZ000008440",1955-01-14,12.8,8.9,22.1,"1955",1,14
"15","SZ000008440",1955-01-15,24.1,7.8,6.1,"1955",1,15
"16","SZ000008440",1955-01-16,12.2,8.9,13,"1955",1,16
"17","SZ000008440",1955-01-17,20.9,5.7,0,"1955",1,17
"18","SZ000008440",1955-01-18,3.9,-0.6,13,"1955",1,18
"19","SZ000008440",1955-01-19,0,-6.1,0.1,"1955",1,19
"20","SZ000008440",1955-01-20,0,-2.8,2.5,"1955",1,20
"21","SZ000008440",1955-01-21,2.2,-1.1,6.1,"1955",1,21
"22","SZ000008440",1955-01-22,6.1,1.1,15.5,"1955",1,22
"23","SZ000008440",1955-01-23,7.2,3.9,15.9,"1955",1,23
"24","SZ000008440",1955-01-24,5,-1.1,3.5,"1955",1,24
"25","SZ000008440",1955-01-25,2.8,-3.9,0,"1955",1,25
"26","SZ000008440",1955-01-26,2.2,-2.2,15.4,"1955",1,26
"27","SZ000008440",1955-01-27,5,-1.1,1.5,"1955",1,27
"28","SZ000008440",1955-01-28,2.2,-1.1,7.3,"1955",1,28
"29","SZ000008440",1955-01-29,11.6,-1.1,0,"1955",1,29
"30","SZ000008440",1955-01-30,1.1,-1.1,4.2,"1955",1,30
"31","SZ000008440",1955-01-31,6.1,0,0,"1955",1,31
"32","SZ000008440",1955-02-01,8.9,-2.2,0,"1955",2,1
"33","SZ000008440",1955-02-02,10,-1.1,0,"1955",2,2
"34","SZ000008440",1955-02-03,10,3.9,3.6,"1955",2,3
"35","SZ000008440",1955-02-04,10,3.9,8.9,"1955",2,4
"36","SZ000008440",1955-02-05,8.9,5,12.4,"1955",2,5
"37","SZ000008440",1955-02-06,5,-0.1,26.9,"1955",2,6
"38","SZ000008440",1955-02-07,3.9,-2.8,3.3,"1955",2,7
"39","SZ000008440",1955-02-08,12.2,1.1,18,"1955",2,8
"40","SZ000008440",1955-02-09,6.8,5,25.9,"1955",2,9
"41","SZ000008440",1955-02-10,6.1,1.9,4.1,"1955",2,10
"42","SZ000008440",1955-02-11,3.9,-2.8,0.1,"1955",2,11
"43","SZ000008440",1955-02-12,5,-5,0,"1955",2,12
"44","SZ000008440",1955-02-13,5,-1.1,1.3,"1955",2,13
"45","SZ000008440",1955-02-14,0,-5,10.7,"1955",2,14
"46","SZ000008440",1955-02-15,3.9,-7.8,7.4,"1955",2,15
"47","SZ000008440",1955-02-16,7.2,-5,0,"1955",2,16
