"","id","date","tmax","tmin","prcp","year","month","day"
"1","JA000047759",1951-01-01,7.9,1.3,0,"1951",1,1
"2","JA000047759",1951-01-02,6.9,-1.2,0,"1951",1,2
"3","JA000047759",1951-01-03,8.5,-3.3,0,"1951",1,3
"4","JA000047759",1951-01-04,5.1,-1.5,0,"1951",1,4
"5","JA000047759",1951-01-05,7.4,1.4,0,"1951",1,5
"6","JA000047759",1951-01-06,8.9,-1.5,0,"1951",1,6
"7","JA000047759",1951-01-07,6.7,1.3,0.7,"1951",1,7
"8","JA000047759",1951-01-08,11.1,-0.6,0,"1951",1,8
"9","JA000047759",1951-01-09,10.6,-0.7,4.4,"1951",1,9
"10","JA000047759",1951-01-10,8.5,5.1,24.4,"1951",1,10
"11","JA000047759",1951-01-11,9.6,4.2,0,"1951",1,11
"12","JA000047759",1951-01-12,8.5,0.6,0,"1951",1,12
"13","JA000047759",1951-01-13,3.4,-1.7,0,"1951",1,13
"14","JA000047759",1951-01-14,4.1,-1.7,2.4,"1951",1,14
"15","JA000047759",1951-01-15,7,-1.7,0,"1951",1,15
"16","JA000047759",1951-01-16,9.1,-4.6,0,"1951",1,16
"17","JA000047759",1951-01-17,11.1,-2.7,0.5,"1951",1,17
"18","JA000047759",1951-01-18,12.3,-0.9,0,"1951",1,18
"19","JA000047759",1951-01-19,7.7,1.9,12.2,"1951",1,19
"20","JA000047759",1951-01-20,12.3,4.3,0.9,"1951",1,20
"21","JA000047759",1951-01-21,4.3,-2.6,0.3,"1951",1,21
"22","JA000047759",1951-01-22,3.5,-3.6,0.6,"1951",1,22
"23","JA000047759",1951-01-23,6.9,-5.4,0,"1951",1,23
"24","JA000047759",1951-01-24,9.4,1.6,0,"1951",1,24
"25","JA000047759",1951-01-25,9.5,1.2,0,"1951",1,25
"26","JA000047759",1951-01-26,7.5,-0.5,0,"1951",1,26
"27","JA000047759",1951-01-27,8.1,-0.3,0,"1951",1,27
"28","JA000047759",1951-01-28,9.9,-2.9,0,"1951",1,28
"29","JA000047759",1951-01-29,12.7,-2.8,0,"1951",1,29
"30","JA000047759",1951-01-30,12.3,-1.5,0,"1951",1,30
"31","JA000047759",1951-01-31,12.2,0.5,0.1,"1951",1,31
"32","JA000047759",1951-02-01,13.5,-0.5,0,"1951",2,1
"33","JA000047759",1951-02-02,14.3,-3,0.1,"1951",2,2
"34","JA000047759",1951-02-03,5.4,-0.7,0.5,"1951",2,3
"35","JA000047759",1951-02-04,4.5,-2.3,2.3,"1951",2,4
"36","JA000047759",1951-02-05,6,-3.4,0.4,"1951",2,5
"37","JA000047759",1951-02-06,3.1,-3.6,1.1,"1951",2,6
"38","JA000047759",1951-02-07,6.7,-1.8,0.8,"1951",2,7
"39","JA000047759",1951-02-08,8.7,-2.4,0,"1951",2,8
"40","JA000047759",1951-02-09,9.1,2.3,15.7,"1951",2,9
"41","JA000047759",1951-02-10,12.7,1.7,0.4,"1951",2,10
"42","JA000047759",1951-02-11,6.7,-0.6,0,"1951",2,11
"43","JA000047759",1951-02-12,8.1,-2.9,0.1,"1951",2,12
"44","JA000047759",1951-02-13,7.1,-0.2,0.5,"1951",2,13
"45","JA000047759",1951-02-14,3.4,-1.7,11.8,"1951",2,14
"46","JA000047759",1951-02-15,5.7,1.1,0.9,"1951",2,15
"47","JA000047759",1951-02-16,5.5,-0.4,0,"1951",2,16
"48","JA000047759",1951-02-17,8.7,-0.5,0.6,"1951",2,17
"49","JA000047759",1951-02-18,8.9,-2.8,0,"1951",2,18
"50","JA000047759",1951-02-19,12.2,1.9,0,"1951",2,19
"51","JA000047759",1951-02-20,8.7,-0.8,0.8,"1951",2,20
"52","JA000047759",1951-02-21,16.4,-3.5,0,"1951",2,21
"53","JA000047759",1951-02-22,14.8,6.2,14,"1951",2,22
"54","JA000047759",1951-02-23,19.6,3.4,0,"1951",2,23
"55","JA000047759",1951-02-24,14.1,6.9,1.2,"1951",2,24
"56","JA000047759",1951-02-25,12.1,5.5,26.5,"1951",2,25
"57","JA000047759",1951-02-26,13.8,6,0.4,"1951",2,26
"58","JA000047759",1951-02-27,13.4,4.4,0.2,"1951",2,27
"59","JA000047759",1951-02-28,15.1,9.2,0.8,"1951",2,28
"60","JA000047759",1951-03-01,15.3,6.2,7.8,"1951",3,1
"61","JA000047759",1951-03-02,8.1,0.7,0,"1951",3,2
"62","JA000047759",1951-03-03,7.5,-2.6,0,"1951",3,3
"63","JA000047759",1951-03-04,7.4,-4.4,0,"1951",3,4
"64","JA000047759",1951-03-05,7.6,-2.5,0,"1951",3,5
"65","JA000047759",1951-03-06,11.3,0.6,34.1,"1951",3,6
"66","JA000047759",1951-03-07,11,3.5,1,"1951",3,7
"67","JA000047759",1951-03-08,10.8,0.1,0,"1951",3,8
"68","JA000047759",1951-03-09,15.8,-1.8,0,"1951",3,9
"69","JA000047759",1951-03-10,13.2,7.2,12.2,"1951",3,10
"70","JA000047759",1951-03-11,16.8,4.1,0,"1951",3,11
"71","JA000047759",1951-03-12,10,0.9,0.5,"1951",3,12
"72","JA000047759",1951-03-13,12,-0.7,0,"1951",3,13
"73","JA000047759",1951-03-14,15,-0.2,0,"1951",3,14
"74","JA000047759",1951-03-15,19.1,5.7,0,"1951",3,15
"75","JA000047759",1951-03-16,17.7,2.5,0,"1951",3,16
"76","JA000047759",1951-03-17,18.1,4.8,7.2,"1951",3,17
"77","JA000047759",1951-03-18,17.6,6.3,0,"1951",3,18
"78","JA000047759",1951-03-19,11.8,4.7,0,"1951",3,19
"79","JA000047759",1951-03-20,11.8,1.6,0,"1951",3,20
"80","JA000047759",1951-03-21,12.3,-0.5,0,"1951",3,21
"81","JA000047759",1951-03-22,14,2.7,0.9,"1951",3,22
"82","JA000047759",1951-03-23,8.5,-0.1,1.9,"1951",3,23
"83","JA000047759",1951-03-24,14.5,-1.7,0,"1951",3,24
"84","JA000047759",1951-03-25,14.4,-0.2,3.5,"1951",3,25
"85","JA000047759",1951-03-26,14.4,9.3,5.8,"1951",3,26
"86","JA000047759",1951-03-27,16.3,6.9,0,"1951",3,27
"87","JA000047759",1951-03-28,12.7,7.7,28.2,"1951",3,28
"88","JA000047759",1951-03-29,15.7,5.9,0,"1951",3,29
"89","JA000047759",1951-03-30,10.3,1.9,0.3,"1951",3,30
