"","id","date","tmax","tmin","prcp","year","month","day"
"1","GME00127786",1953-09-01,31.6,13,0,"1953",9,1
"2","GME00127786",1953-09-02,32.5,15.5,0,"1953",9,2
"3","GME00127786",1953-09-03,25,13.8,0,"1953",9,3
"4","GME00127786",1953-09-04,25,10.8,0,"1953",9,4
"5","GME00127786",1953-09-05,24.9,10,0,"1953",9,5
"6","GME00127786",1953-09-06,25.2,8.3,0,"1953",9,6
"7","GME00127786",1953-09-07,25.8,12,0,"1953",9,7
"8","GME00127786",1953-09-08,29.8,10.7,0,"1953",9,8
"9","GME00127786",1953-09-09,29.5,12.2,0,"1953",9,9
"10","GME00127786",1953-09-10,19.5,11.4,0.9,"1953",9,10
"11","GME00127786",1953-09-11,18.8,9,0,"1953",9,11
"12","GME00127786",1953-09-12,18.5,8.7,0,"1953",9,12
"13","GME00127786",1953-09-13,22.2,8.8,0,"1953",9,13
"14","GME00127786",1953-09-14,22,4,0,"1953",9,14
"15","GME00127786",1953-09-15,25,7.4,0,"1953",9,15
"16","GME00127786",1953-09-16,21.8,7.1,11,"1953",9,16
"17","GME00127786",1953-09-17,18.8,13.4,5.7,"1953",9,17
"18","GME00127786",1953-09-18,29.2,14.8,0.5,"1953",9,18
"19","GME00127786",1953-09-19,19.9,14,4.4,"1953",9,19
"20","GME00127786",1953-09-20,15.5,10.1,6.4,"1953",9,20
"21","GME00127786",1953-09-21,20.7,8.7,14.4,"1953",9,21
"22","GME00127786",1953-09-22,19.2,8.2,0,"1953",9,22
"23","GME00127786",1953-09-23,22,8,17.5,"1953",9,23
"24","GME00127786",1953-09-24,17.3,11.2,11.1,"1953",9,24
"25","GME00127786",1953-09-25,17,12.2,0.4,"1953",9,25
"26","GME00127786",1953-09-26,17.3,12.6,0.8,"1953",9,26
"27","GME00127786",1953-09-27,22.9,14.4,0,"1953",9,27
"28","GME00127786",1953-09-28,18.5,11.9,5.5,"1953",9,28
"29","GME00127786",1953-09-29,12,10.5,0,"1953",9,29
"30","GME00127786",1953-09-30,15.5,9.9,0,"1953",9,30
"31","GME00127786",1953-10-01,18,10.5,0,"1953",10,1
"32","GME00127786",1953-10-02,19.5,8,0,"1953",10,2
"33","GME00127786",1953-10-03,21.5,9.7,0,"1953",10,3
"34","GME00127786",1953-10-04,22.3,10.2,0.4,"1953",10,4
"35","GME00127786",1953-10-05,14.2,9,0,"1953",10,5
"36","GME00127786",1953-10-06,14.4,2.6,0,"1953",10,6
"37","GME00127786",1953-10-07,14.2,3.5,0,"1953",10,7
"38","GME00127786",1953-10-08,14.8,4.8,0,"1953",10,8
"39","GME00127786",1953-10-09,15.5,2.5,0,"1953",10,9
"40","GME00127786",1953-10-10,14.8,1.2,0,"1953",10,10
"41","GME00127786",1953-10-11,12.9,2,0,"1953",10,11
"42","GME00127786",1953-10-12,13.5,4.5,0,"1953",10,12
"43","GME00127786",1953-10-13,20,8,0,"1953",10,13
"44","GME00127786",1953-10-14,22,9.5,0,"1953",10,14
"45","GME00127786",1953-10-15,15.8,11.5,0,"1953",10,15
"46","GME00127786",1953-10-16,14.5,10.6,0.4,"1953",10,16
"47","GME00127786",1953-10-17,19.5,13,5.6,"1953",10,17
"48","GME00127786",1953-10-18,14.8,12.8,0.4,"1953",10,18
"49","GME00127786",1953-10-19,14.8,10,0,"1953",10,19
"50","GME00127786",1953-10-20,15.7,13.4,0,"1953",10,20
"51","GME00127786",1953-10-21,17.7,11,0,"1953",10,21
"52","GME00127786",1953-10-22,18.5,9,0,"1953",10,22
"53","GME00127786",1953-10-23,17.6,8.5,0,"1953",10,23
"54","GME00127786",1953-10-24,18.7,9.5,0,"1953",10,24
"55","GME00127786",1953-10-25,14,9,0.5,"1953",10,25
"56","GME00127786",1953-10-26,11.6,7.5,2.4,"1953",10,26
"57","GME00127786",1953-10-27,15,6.6,0,"1953",10,27
"58","GME00127786",1953-10-28,18.9,9.6,1.3,"1953",10,28
"59","GME00127786",1953-10-29,12.4,7.8,6,"1953",10,29
"60","GME00127786",1953-10-30,14,3.8,0,"1953",10,30
