"boostings","learning_rates","max_bins","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"dart",0.1,255,10,-1,18,0.382,0.917,0.138
"gbdt",0.1,255,10,-1,31,0.316,0.927,0.134
"dart",0.01,255,10,-1,6,0.645,0.895,0.404
"gbdt",0.01,255,10,-1,6,0.645,0.898,0.404
"dart",0.001,255,10,-1,6,0.672,0.89,0.404
"gbdt",0.001,255,10,-1,6,0.672,0.89,0.404
"dart",0.1,25,10,-1,18,0.379,0.921,0.138
"gbdt",0.1,25,10,-1,18,0.345,0.926,0.134
"dart",0.01,25,10,-1,6,0.645,0.896,0.404
"gbdt",0.01,25,10,-1,6,0.645,0.896,0.404
"dart",0.001,25,10,-1,6,0.672,0.893,0.404
"gbdt",0.001,25,10,-1,6,0.672,0.881,0.404
"dart",0.1,15,10,-1,18,0.382,0.917,0.14
"gbdt",0.1,15,10,-1,33,0.309,0.93,0.126
"dart",0.01,15,10,-1,6,0.646,0.892,0.404
"gbdt",0.01,15,10,-1,6,0.646,0.891,0.404
"dart",0.001,15,10,-1,6,0.673,0.88,0.404
"gbdt",0.001,15,10,-1,6,0.672,0.887,0.404
"dart",0.1,125,10,-1,18,0.377,0.921,0.132
"gbdt",0.1,125,10,-1,17,0.35,0.926,0.138
"dart",0.01,125,10,-1,6,0.645,0.886,0.404
"gbdt",0.01,125,10,-1,6,0.644,0.898,0.404
"dart",0.001,125,10,-1,6,0.672,0.893,0.404
"gbdt",0.001,125,10,-1,6,0.672,0.89,0.404
"dart",0.1,75,10,-1,16,0.385,0.921,0.139
"gbdt",0.1,75,10,-1,17,0.351,0.924,0.139
"dart",0.01,75,10,-1,6,0.644,0.898,0.404
"gbdt",0.01,75,10,-1,6,0.645,0.894,0.404
"dart",0.001,75,10,-1,6,0.672,0.89,0.404
"gbdt",0.001,75,10,-1,6,0.672,0.893,0.404
"dart",0.1,250,10,-1,18,0.378,0.921,0.137
"gbdt",0.1,250,10,-1,16,0.358,0.923,0.14
"dart",0.01,250,10,-1,6,0.645,0.899,0.404
"gbdt",0.01,250,10,-1,6,0.646,0.894,0.404
"dart",0.001,250,10,-1,6,0.671,0.896,0.404
"gbdt",0.001,250,10,-1,6,0.672,0.892,0.404
"dart",0.1,255,15,-1,18,0.362,0.928,0.125
"gbdt",0.1,255,15,-1,26,0.314,0.931,0.126
"dart",0.01,255,15,-1,6,0.643,0.906,0.404
"gbdt",0.01,255,15,-1,6,0.643,0.909,0.404
"dart",0.001,255,15,-1,6,0.671,0.902,0.404
"gbdt",0.001,255,15,-1,6,0.672,0.906,0.404
"dart",0.1,25,15,-1,18,0.365,0.924,0.131
"gbdt",0.1,25,15,-1,36,0.298,0.934,0.119
"dart",0.01,25,15,-1,6,0.643,0.902,0.404
"gbdt",0.01,25,15,-1,6,0.642,0.905,0.404
"dart",0.001,25,15,-1,6,0.672,0.902,0.404
"gbdt",0.001,25,15,-1,6,0.672,0.896,0.404
"dart",0.1,15,15,-1,11,0.417,0.92,0.136
"gbdt",0.1,15,15,-1,31,0.309,0.929,0.126
"dart",0.01,15,15,-1,6,0.644,0.904,0.404
"gbdt",0.01,15,15,-1,6,0.643,0.908,0.404
"dart",0.001,15,15,-1,6,0.671,0.901,0.404
"gbdt",0.001,15,15,-1,6,0.672,0.893,0.404
"dart",0.1,125,15,-1,18,0.364,0.927,0.128
"gbdt",0.1,125,15,-1,21,0.327,0.929,0.127
"dart",0.01,125,15,-1,6,0.643,0.909,0.404
"gbdt",0.01,125,15,-1,6,0.643,0.909,0.404
"dart",0.001,125,15,-1,6,0.672,0.895,0.404
"gbdt",0.001,125,15,-1,6,0.672,0.9,0.404
"dart",0.1,75,15,-1,18,0.364,0.928,0.125
"gbdt",0.1,75,15,-1,24,0.313,0.931,0.128
"dart",0.01,75,15,-1,6,0.643,0.9,0.404
"gbdt",0.01,75,15,-1,6,0.642,0.91,0.404
"dart",0.001,75,15,-1,6,0.672,0.896,0.404
"gbdt",0.001,75,15,-1,6,0.672,0.906,0.404
"dart",0.1,250,15,-1,14,0.394,0.922,0.14
"gbdt",0.1,250,15,-1,17,0.342,0.926,0.128
"dart",0.01,250,15,-1,6,0.642,0.908,0.404
"gbdt",0.01,250,15,-1,6,0.642,0.906,0.404
"dart",0.001,250,15,-1,6,0.671,0.905,0.404
"gbdt",0.001,250,15,-1,6,0.673,0.903,0.404
"dart",0.1,255,20,-1,15,0.373,0.932,0.129
"gbdt",0.1,255,20,-1,10,0.391,0.924,0.133
"dart",0.01,255,20,-1,6,0.643,0.902,0.404
"gbdt",0.01,255,20,-1,6,0.642,0.912,0.404
"dart",0.001,255,20,-1,6,0.671,0.9,0.404
"gbdt",0.001,255,20,-1,6,0.672,0.911,0.404
"dart",0.1,25,20,-1,18,0.363,0.927,0.13
"gbdt",0.1,25,20,-1,17,0.338,0.926,0.132
"dart",0.01,25,20,-1,6,0.642,0.904,0.404
"gbdt",0.01,25,20,-1,6,0.641,0.9,0.404
"dart",0.001,25,20,-1,6,0.672,0.899,0.404
"gbdt",0.001,25,20,-1,6,0.671,0.911,0.404
"dart",0.1,15,20,-1,18,0.368,0.923,0.133
"gbdt",0.1,15,20,-1,11,0.386,0.923,0.13
"dart",0.01,15,20,-1,6,0.642,0.908,0.404
"gbdt",0.01,15,20,-1,6,0.643,0.911,0.404
"dart",0.001,15,20,-1,6,0.672,0.905,0.404
"gbdt",0.001,15,20,-1,6,0.672,0.91,0.404
"dart",0.1,125,20,-1,16,0.366,0.926,0.131
"gbdt",0.1,125,20,-1,19,0.328,0.928,0.128
"dart",0.01,125,20,-1,6,0.642,0.912,0.404
"gbdt",0.01,125,20,-1,6,0.642,0.908,0.404
"dart",0.001,125,20,-1,6,0.671,0.91,0.404
"gbdt",0.001,125,20,-1,6,0.671,0.905,0.404
"dart",0.1,75,20,-1,18,0.358,0.933,0.126
"gbdt",0.1,75,20,-1,18,0.329,0.934,0.124
"dart",0.01,75,20,-1,6,0.642,0.899,0.404
"gbdt",0.01,75,20,-1,6,0.643,0.908,0.404
"dart",0.001,75,20,-1,6,0.671,0.91,0.404
"gbdt",0.001,75,20,-1,6,0.671,0.907,0.404
"dart",0.1,250,20,-1,18,0.361,0.93,0.131
"gbdt",0.1,250,20,-1,11,0.377,0.925,0.129
"dart",0.01,250,20,-1,6,0.642,0.91,0.404
"gbdt",0.01,250,20,-1,6,0.641,0.907,0.404
"dart",0.001,250,20,-1,6,0.671,0.909,0.404
"gbdt",0.001,250,20,-1,6,0.671,0.907,0.404
"dart",0.1,255,40,-1,18,0.357,0.928,0.13
"gbdt",0.1,255,40,-1,14,0.351,0.929,0.134
"dart",0.01,255,40,-1,6,0.64,0.901,0.404
"gbdt",0.01,255,40,-1,6,0.641,0.897,0.404
"dart",0.001,255,40,-1,6,0.671,0.896,0.404
"gbdt",0.001,255,40,-1,6,0.672,0.882,0.404
"dart",0.1,25,40,-1,18,0.361,0.923,0.138
"gbdt",0.1,25,40,-1,18,0.323,0.937,0.13
"dart",0.01,25,40,-1,6,0.641,0.906,0.404
"gbdt",0.01,25,40,-1,6,0.64,0.91,0.404
"dart",0.001,25,40,-1,6,0.671,0.902,0.404
"gbdt",0.001,25,40,-1,6,0.671,0.894,0.404
"dart",0.1,15,40,-1,18,0.362,0.924,0.134
"gbdt",0.1,15,40,-1,24,0.32,0.925,0.133
"dart",0.01,15,40,-1,6,0.641,0.901,0.404
"gbdt",0.01,15,40,-1,6,0.641,0.906,0.404
"dart",0.001,15,40,-1,6,0.671,0.893,0.404
"gbdt",0.001,15,40,-1,6,0.672,0.893,0.404
"dart",0.1,125,40,-1,18,0.359,0.927,0.135
"gbdt",0.1,125,40,-1,18,0.329,0.928,0.127
"dart",0.01,125,40,-1,6,0.64,0.91,0.404
"gbdt",0.01,125,40,-1,6,0.64,0.901,0.404
"dart",0.001,125,40,-1,6,0.672,0.899,0.404
"gbdt",0.001,125,40,-1,6,0.672,0.904,0.404
"dart",0.1,75,40,-1,18,0.355,0.927,0.131
"gbdt",0.1,75,40,-1,24,0.313,0.932,0.129
"dart",0.01,75,40,-1,6,0.641,0.905,0.404
"gbdt",0.01,75,40,-1,6,0.64,0.902,0.404
"dart",0.001,75,40,-1,6,0.672,0.897,0.404
"gbdt",0.001,75,40,-1,6,0.671,0.917,0.404
"dart",0.1,250,40,-1,18,0.359,0.925,0.132
"gbdt",0.1,250,40,-1,15,0.339,0.931,0.133
"dart",0.01,250,40,-1,6,0.64,0.909,0.404
"gbdt",0.01,250,40,-1,6,0.642,0.904,0.404
"dart",0.001,250,40,-1,6,0.671,0.897,0.404
"gbdt",0.001,250,40,-1,6,0.672,0.897,0.404
"dart",0.1,255,10,10,18,0.377,0.92,0.134
"gbdt",0.1,255,10,10,24,0.321,0.931,0.134
"dart",0.01,255,10,10,6,0.646,0.891,0.404
"gbdt",0.01,255,10,10,6,0.645,0.899,0.404
"dart",0.001,255,10,10,6,0.672,0.896,0.404
