"boostings","learning_rates","max_bins","min_data_in_leaf","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"dart",0.1,255,20,31,-1,45,0.494,0.825,0.252
"gbdt",0.1,255,20,31,-1,58,0.488,0.833,0.262
"dart",0.01,255,20,31,-1,11,0.65,0.78,0.399
"gbdt",0.01,255,20,31,-1,11,0.646,0.773,0.399
"dart",0.1,1800,20,31,-1,47,0.497,0.822,0.256
"gbdt",0.1,1800,20,31,-1,53,0.475,0.842,0.241
"dart",0.01,1800,20,31,-1,11,0.651,0.77,0.399
"gbdt",0.01,1800,20,31,-1,11,0.646,0.771,0.399
"dart",0.1,500,20,31,-1,27,0.516,0.818,0.262
"gbdt",0.1,500,20,31,-1,62,0.471,0.844,0.242
"dart",0.01,500,20,31,-1,11,0.65,0.786,0.399
"gbdt",0.01,500,20,31,-1,11,0.647,0.768,0.399
"dart",0.1,125,20,31,-1,34,0.506,0.821,0.266
"gbdt",0.1,125,20,31,-1,42,0.492,0.827,0.26
"dart",0.01,125,20,31,-1,11,0.65,0.781,0.399
"gbdt",0.01,125,20,31,-1,11,0.646,0.775,0.399
"dart",0.1,255,40,31,-1,43,0.505,0.817,0.264
"gbdt",0.1,255,40,31,-1,37,0.487,0.825,0.263
"dart",0.01,255,40,31,-1,11,0.654,0.77,0.399
"gbdt",0.01,255,40,31,-1,11,0.65,0.76,0.399
"dart",0.1,1800,40,31,-1,47,0.497,0.822,0.258
"gbdt",0.1,1800,40,31,-1,39,0.486,0.828,0.263
"dart",0.01,1800,40,31,-1,11,0.652,0.777,0.399
"gbdt",0.01,1800,40,31,-1,11,0.648,0.772,0.399
"dart",0.1,500,40,31,-1,47,0.5,0.818,0.267
"gbdt",0.1,500,40,31,-1,41,0.479,0.831,0.248
"dart",0.01,500,40,31,-1,11,0.652,0.77,0.399
"gbdt",0.01,500,40,31,-1,11,0.648,0.773,0.399
"dart",0.1,125,40,31,-1,57,0.494,0.826,0.255
"gbdt",0.1,125,40,31,-1,62,0.482,0.833,0.255
"dart",0.01,125,40,31,-1,11,0.652,0.769,0.399
"gbdt",0.01,125,40,31,-1,11,0.648,0.772,0.399
"dart",0.1,255,10,31,-1,47,0.483,0.833,0.262
"gbdt",0.1,255,10,31,-1,28,0.478,0.833,0.26
"dart",0.01,255,10,31,-1,11,0.649,0.781,0.399
"gbdt",0.01,255,10,31,-1,11,0.645,0.777,0.399
"dart",0.1,1800,10,31,-1,47,0.486,0.834,0.255
"gbdt",0.1,1800,10,31,-1,43,0.475,0.837,0.256
"dart",0.01,1800,10,31,-1,11,0.649,0.773,0.399
"gbdt",0.01,1800,10,31,-1,11,0.645,0.777,0.399
"dart",0.1,500,10,31,-1,31,0.508,0.82,0.267
"gbdt",0.1,500,10,31,-1,35,0.473,0.841,0.239
"dart",0.01,500,10,31,-1,11,0.649,0.775,0.399
"gbdt",0.01,500,10,31,-1,11,0.645,0.788,0.399
"dart",0.1,125,10,31,-1,47,0.495,0.821,0.268
"gbdt",0.1,125,10,31,-1,43,0.48,0.837,0.255
"dart",0.01,125,10,31,-1,11,0.649,0.781,0.399
"gbdt",0.01,125,10,31,-1,11,0.643,0.792,0.399
"dart",0.1,255,20,60,-1,76,0.486,0.829,0.254
"gbdt",0.1,255,20,60,-1,26,0.496,0.824,0.263
"dart",0.01,255,20,60,-1,11,0.65,0.772,0.399
"gbdt",0.01,255,20,60,-1,11,0.645,0.782,0.399
"dart",0.1,1800,20,60,-1,54,0.498,0.819,0.26
"gbdt",0.1,1800,20,60,-1,44,0.489,0.834,0.257
"dart",0.01,1800,20,60,-1,11,0.65,0.77,0.399
"gbdt",0.01,1800,20,60,-1,11,0.646,0.766,0.399
"dart",0.1,500,20,60,-1,34,0.504,0.82,0.276
"gbdt",0.1,500,20,60,-1,36,0.49,0.83,0.256
"dart",0.01,500,20,60,-1,11,0.65,0.764,0.399
"gbdt",0.01,500,20,60,-1,11,0.643,0.787,0.399
"dart",0.1,125,20,60,-1,54,0.485,0.832,0.253
"gbdt",0.1,125,20,60,-1,46,0.486,0.839,0.253
"dart",0.01,125,20,60,-1,11,0.65,0.783,0.399
"gbdt",0.01,125,20,60,-1,11,0.645,0.778,0.399
"dart",0.1,255,40,60,-1,44,0.506,0.814,0.268
"gbdt",0.1,255,40,60,-1,31,0.49,0.821,0.263
"dart",0.01,255,40,60,-1,11,0.652,0.775,0.399
"gbdt",0.01,255,40,60,-1,11,0.649,0.761,0.399
"dart",0.1,1800,40,60,-1,45,0.499,0.821,0.272
"gbdt",0.1,1800,40,60,-1,43,0.478,0.836,0.248
"dart",0.01,1800,40,60,-1,11,0.653,0.768,0.399
"gbdt",0.01,1800,40,60,-1,11,0.648,0.782,0.399
"dart",0.1,500,40,60,-1,54,0.5,0.822,0.262
"gbdt",0.1,500,40,60,-1,34,0.485,0.824,0.263
"dart",0.01,500,40,60,-1,11,0.653,0.772,0.399
"gbdt",0.01,500,40,60,-1,11,0.648,0.777,0.399
"dart",0.1,125,40,60,-1,58,0.488,0.828,0.254
"gbdt",0.1,125,40,60,-1,47,0.487,0.827,0.256
"dart",0.01,125,40,60,-1,11,0.652,0.771,0.399
"gbdt",0.01,125,40,60,-1,11,0.649,0.771,0.399
"dart",0.1,255,10,60,-1,18,0.507,0.822,0.26
"gbdt",0.1,255,10,60,-1,29,0.473,0.844,0.247
"dart",0.01,255,10,60,-1,11,0.647,0.791,0.399
"gbdt",0.01,255,10,60,-1,11,0.643,0.782,0.399
"dart",0.1,1800,10,60,-1,47,0.48,0.837,0.26
"gbdt",0.1,1800,10,60,-1,28,0.483,0.836,0.254
"dart",0.01,1800,10,60,-1,11,0.649,0.783,0.399
"gbdt",0.01,1800,10,60,-1,11,0.642,0.783,0.399
"dart",0.1,500,10,60,-1,27,0.516,0.813,0.27
"gbdt",0.1,500,10,60,-1,31,0.481,0.84,0.258
"dart",0.01,500,10,60,-1,11,0.647,0.785,0.399
"gbdt",0.01,500,10,60,-1,11,0.641,0.787,0.399
"dart",0.1,125,10,60,-1,47,0.491,0.827,0.262
"gbdt",0.1,125,10,60,-1,30,0.489,0.832,0.258
"dart",0.01,125,10,60,-1,11,0.648,0.783,0.399
