"","Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE"
"result.1",5,-90,120,0,24.91
"result.2",6,-90,120,0,24.91
"result.3",7,-90,120,0,22
"result.4",8,-90,120,0,17.91
"result.5",9,-90,120,0,16.45
"result.6",5,-95,120,0,20.82
"result.7",6,-95,120,0,23.09
"result.8",7,-95,120,0,21.18
"result.9",8,-95,120,0,17.45
"result.10",9,-95,120,0,16.18
"result.11",5,-100,120,0,19.36
"result.12",6,-100,120,0,22.73
"result.13",7,-100,120,0,20.64
"result.14",8,-100,120,0,17.09
"result.15",9,-100,120,0,12.18
"result.16",5,-105,120,0,17.82
"result.17",6,-105,120,0,21.91
"result.18",7,-105,120,0,20.18
"result.19",8,-105,120,0,16.73
"result.20",9,-105,120,0,11
"result.21",5,-110,120,0,17.36
"result.22",6,-110,120,0,21.09
"result.23",7,-110,120,0,19.73
"result.24",8,-110,120,0,16.36
"result.25",9,-110,120,0,10.18
"result.26",5,-115,120,0,15.64
"result.27",6,-115,120,0,20.09
"result.28",7,-115,120,0,19.09
"result.29",8,-115,120,0,15.73
"result.30",9,-115,120,0,9.55
"result.31",5,-120,120,0,14.27
"result.32",6,-120,120,0,19.36
"result.33",7,-120,120,0,18.64
"result.34",8,-120,120,0,15.18
"result.35",9,-120,120,0,9.18
"result.36",5,-125,120,0,15.18
"result.37",6,-125,120,0,17.55
"result.38",7,-125,120,0,17.91
"result.39",8,-125,120,0,14.91
"result.40",9,-125,120,0,9
"result.41",5,-130,120,0,34.73
"result.42",6,-130,120,0,16.45
"result.43",7,-130,120,0,17.18
"result.44",8,-130,120,0,14.36
"result.45",9,-130,120,0,8.64
"result.46",5,-135,120,0,14.3
"result.47",6,-135,120,0,16.09
"result.48",7,-135,120,0,16.82
"result.49",8,-135,120,0,14.36
"result.50",9,-135,120,0,8.55
"result.51",5,-140,120,0,13.7
"result.52",6,-140,120,0,15.09
"result.53",7,-140,120,0,15.91
"result.54",8,-140,120,0,13.45
"result.55",9,-140,120,0,8.09
"result.56",5,-145,120,0,17.2
"result.57",6,-145,120,0,14.27
"result.58",7,-145,120,0,15.55
"result.59",8,-145,120,0,12.91
"result.60",9,-145,120,0,7.73
"result.61",5,-150,120,0,34.1
"result.62",6,-150,120,0,13.55
"result.63",7,-150,120,0,14.45
"result.64",8,-150,120,0,12.36
"result.65",9,-150,120,0,7.55
"result.66",5,-90,125,0,23.45
"result.67",6,-90,125,0,23
"result.68",7,-90,125,0,21
"result.69",8,-90,125,0,16.91
"result.70",9,-90,125,0,15.09
"result.71",5,-95,125,0,19.82
"result.72",6,-95,125,0,21.91
"result.73",7,-95,125,0,20.18
"result.74",8,-95,125,0,16.45
"result.75",9,-95,125,0,14.55
"result.76",5,-100,125,0,18.36
"result.77",6,-100,125,0,21.45
"result.78",7,-100,125,0,19.64
"result.79",8,-100,125,0,16.27
"result.80",9,-100,125,0,10.55
"result.81",5,-105,125,0,17.27
"result.82",6,-105,125,0,20.91
"result.83",7,-105,125,0,19.45
"result.84",8,-105,125,0,15.82
"result.85",9,-105,125,0,9.18
"result.86",5,-110,125,0,16.45
"result.87",6,-110,125,0,20.09
"result.88",7,-110,125,0,19
"result.89",8,-110,125,0,15.36
"result.90",9,-110,125,0,8.73
"result.91",5,-115,125,0,14.82
"result.92",6,-115,125,0,18.91
"result.93",7,-115,125,0,18.36
"result.94",8,-115,125,0,14.45
"result.95",9,-115,125,0,8.27
"result.96",5,-120,125,0,13.91
"result.97",6,-120,125,0,18.09
"result.98",7,-120,125,0,17.64
"result.99",8,-120,125,0,13.82
"result.100",9,-120,125,0,8.09
"result.101",5,-125,125,0,14.82
"result.102",6,-125,125,0,16.64
"result.103",7,-125,125,0,16.45
"result.104",8,-125,125,0,13.64
"result.105",9,-125,125,0,8
"result.106",5,-130,125,0,34
"result.107",6,-130,125,0,15.73
"result.108",7,-130,125,0,15.55
"result.109",8,-130,125,0,12.91
"result.110",9,-130,125,0,7.55
"result.111",5,-135,125,0,13.8
"result.112",6,-135,125,0,15.09
"result.113",7,-135,125,0,15.18
