"id","city","lat","long","alt","date","tmax","tmin","month","day","year","daily_Cd","daily_Ca","Cd_cumsum","Ca_cumsum","diff_Ca_Cd","diff_Ca_Cd_cumsum"
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-01,5,0,3,1,2023,-2.5,0,-195.678783409263,11.05,-2.5,30.5712165907366
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-02,5,2,3,2,2023,-1.5,0,-197.178783409263,11.05,-1.5,29.0712165907366
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-03,6,1,3,3,2023,-2.5,0,-199.678783409263,11.05,-2.5,26.5712165907366
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-04,5,1,3,4,2023,-2,0,-201.678783409263,11.05,-2,24.5712165907366
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-05,6,2,3,5,2023,-2,0,-203.678783409263,11.05,-2,22.5712165907366
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-06,5,1,3,6,2023,-2,0,-205.678783409263,11.05,-2,20.5712165907366
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-07,5,1,3,7,2023,-2,0,-207.678783409263,11.05,-2,18.5712165907366
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-08,6,2,3,8,2023,-2,0,-209.678783409263,11.05,-2,16.5712165907366
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-09,8,1,3,9,2023,-3,0.5,-212.678783409263,11.55,-2.5,14.0712165907366
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-10,9,1,3,10,2023,-3,1,-215.678783409263,12.55,-2,12.0712165907366
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-11,9,2,3,11,2023,-2.5,1,-218.178783409263,13.55,-1.5,10.5712165907366
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-12,9,3,3,12,2023,-2,1,-220.178783409263,14.55,-1,9.57121659073656
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-13,9,4,3,13,2023,-1.5,1,-221.678783409263,15.55,-0.5,9.07121659073656
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-14,9,3,3,14,2023,-2,1,-223.678783409263,16.55,-1,8.07121659073656
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-15,9,2,3,15,2023,-2.5,1,-226.178783409263,17.55,-1.5,6.57121659073656
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-16,8,1,3,16,2023,-3,0.5,-229.178783409263,18.05,-2.5,4.07121659073656
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-17,8,2,3,17,2023,-2.5,0.5,-231.678783409263,18.55,-2,2.07121659073656
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-18,9,3,3,18,2023,-2,1,-233.678783409263,19.55,-1,1.07121659073656
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-19,10,4,3,19,2023,-1.5,1.5,-235.178783409263,21.05,0,1.07121659073656
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-20,10,4,3,20,2023,-1.5,1.5,-236.678783409263,22.55,0,1.07121659073656
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-21,10,4,3,21,2023,-1.5,1.5,-238.178783409263,24.05,0,1.07121659073656
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-22,10,2,3,22,2023,-2.5,1.5,-240.678783409263,25.55,-1,0.0712165907365603
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-23,10,4,3,23,2023,-1.5,1.5,-242.178783409263,27.05,0,0.0712165907365603
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-24,10,4,3,24,2023,-1.5,1.5,-243.678783409263,28.55,0,0.0712165907365603
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-25,10,4,3,25,2023,-1.5,1.5,-245.178783409263,30.05,0,0.0712165907365603
"CA001108395","Vancouver",49.2237,"–123.1636",24,2023-03-26,10,3,3,26,2023,-2,1.5,-247.178783409263,31.55,-0.5,-0.42878340926344
