"Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE"
5,-90,120,0,11
6,-90,120,0,14
7,-90,120,0,21
8,-90,120,0,69
9,-90,120,0,71
5,-91,120,0,11
6,-91,120,0,14
7,-91,120,0,21
8,-91,120,0,69
9,-91,120,0,70
5,-92,120,0,11
6,-92,120,0,14
7,-92,120,0,21
8,-92,120,0,69
9,-92,120,0,70
5,-93,120,0,11
6,-93,120,0,14
7,-93,120,0,12
8,-93,120,0,69
9,-93,120,0,70
5,-94,120,0,18
6,-94,120,0,14
7,-94,120,0,12
8,-94,120,0,69
9,-94,120,0,69
5,-95,120,0,19
6,-95,120,0,14
7,-95,120,0,12
8,-95,120,0,69
9,-95,120,0,69
5,-96,120,0,20
6,-96,120,0,15
7,-96,120,0,4
8,-96,120,0,69
9,-96,120,0,69
5,-97,120,0,20
6,-97,120,0,15
7,-97,120,0,21
8,-97,120,0,69
9,-97,120,0,69
5,-98,120,0,21
6,-98,120,0,15
7,-98,120,0,21
8,-98,120,0,69
9,-98,120,0,69
5,-99,120,0,22
6,-99,120,0,15
7,-99,120,0,24
8,-99,120,0,69
9,-99,120,0,68
5,-100,120,0,22
6,-100,120,0,15
7,-100,120,0,24
8,-100,120,0,69
9,-100,120,0,68
5,-101,120,0,22
6,-101,120,0,17
7,-101,120,0,24
8,-101,120,0,69
9,-101,120,0,68
5,-102,120,0,22
6,-102,120,0,17
7,-102,120,0,28
8,-102,120,0,68
9,-102,120,0,68
5,-103,120,0,23
6,-103,120,0,18
7,-103,120,0,28
8,-103,120,0,68
9,-103,120,0,68
5,-104,120,0,23
6,-104,120,0,18
7,-104,120,0,28
8,-104,120,0,68
9,-104,120,0,68
5,-105,120,0,26
6,-105,120,0,18
7,-105,120,0,28
8,-105,120,0,68
9,-105,120,0,68
5,-106,120,0,26
6,-106,120,0,19
7,-106,120,0,28
8,-106,120,0,68
9,-106,120,0,68
5,-107,120,0,28
6,-107,120,0,19
7,-107,120,0,28
8,-107,120,0,68
9,-107,120,0,68
5,-108,120,0,28
6,-108,120,0,19
7,-108,120,0,28
8,-108,120,0,9
9,-108,120,0,68
5,-109,120,0,30
6,-109,120,0,19
7,-109,120,0,28
8,-109,120,0,9
9,-109,120,0,63
