"State","Latitude","Longitude","Elevation_in_Meters","Species","Phenophase_Status","AGDD","Tmax","Tmin","year","month","day","date","doy"
"AB",53.93327,-116.5765,1255,"emarginata",0,72,8.5,-8.5,2016,4,14,2016-04-14,105
"AB",53.93327,-116.5765,1255,"emarginata",1,108,20,1.5,2016,4,19,2016-04-19,110
"BC",49.108452,-122.704071,65,"pensylvanica",0,3507.47,12.4,5.98,2020,10,15,2020-10-15,289
"BC",49.108452,-122.704071,65,"pensylvanica",0,3570.34,12.71,5.48,2020,10,21,2020-10-21,295
"BC",49.108452,-122.704071,65,"pensylvanica",0,3601.35,9.48,4.59,2020,10,27,2020-10-27,301
"BC",49.108452,-122.704071,65,"pensylvanica",0,3658.74,15.58,2.29,2020,11,2,2020-11-02,307
"BC",49.108452,-122.704071,65,"pensylvanica",0,3691.19,12.85,6.86,2020,11,5,2020-11-05,310
"BC",49.108452,-122.704071,65,"pensylvanica",0,3712.45,5.83,1.29,2020,11,10,2020-11-10,315
"BC",49.108452,-122.704071,65,"pensylvanica",0,3718.81,6.26,2.24,2020,11,12,2020-11-12,317
"CA",38.302135,-120.258217,1585,"emarginata",0,283,15.5,2.5,2012,2,22,2012-02-22,53
"CA",37.799515,-122.412834,46,"serrulata",0,629.25,22,8.5,2012,2,24,2012-02-24,55
"CA",38.302135,-120.258217,1585,"emarginata",0,390.25,7,1.5,2012,3,16,2012-03-16,76
"CA",37.799515,-122.412834,46,"serrulata",1,1008,16,9,2012,3,29,2012-03-29,89
"CA",38.302135,-120.258217,1585,"emarginata",0,523.25,14,2.5,2012,4,16,2012-04-16,107
"CA",37.799515,-122.412834,46,"serrulata",0,1248.25,18.5,10,2012,4,18,2012-04-18,109
"CA",38.302135,-120.258217,1585,"emarginata",0,605.75,26,10.5,2012,4,22,2012-04-22,113
"CA",38.302135,-120.258217,1585,"emarginata",0,636.25,19.5,8.5,2012,4,24,2012-04-24,115
"CA",37.799515,-122.412834,46,"serrulata",0,2376.5,18.5,13,2012,7,1,2012-07-01,183
"CA",41.71357,-121.507545,1452,"emarginata",0,1396.75,33,13,2012,7,10,2012-07-10,192
"CA",41.71357,-121.507545,1452,"emarginata",0,1466.5,32.5,12.5,2012,7,13,2012-07-13,195
"CA",41.71357,-121.507545,1452,"emarginata",0,1540.25,22.5,8,2012,7,17,2012-07-17,199
"CA",41.71357,-121.507545,1452,"emarginata",0,1589.75,26,9.5,2012,7,20,2012-07-20,202
"CA",41.709045,-121.514771,1506,"emarginata",0,1550,26,9.5,2012,7,20,2012-07-20,202
"CA",41.71357,-121.507545,1452,"emarginata",0,1695,30,12,2012,7,25,2012-07-25,207
"CA",41.709045,-121.514771,1506,"emarginata",0,1655.25,30,12,2012,7,25,2012-07-25,207
"CA",41.71357,-121.507545,1452,"emarginata",0,1819.25,30.5,11.5,2012,7,31,2012-07-31,213
"CA",41.709045,-121.514771,1506,"emarginata",0,1779.5,30.5,11.5,2012,7,31,2012-07-31,213
"CA",41.71357,-121.507545,1452,"emarginata",0,1840.75,31.5,11.5,2012,8,1,2012-08-01,214
"CA",41.709045,-121.514771,1506,"emarginata",0,1801,31.5,11.5,2012,8,1,2012-08-01,214
"CA",41.71357,-121.507545,1452,"emarginata",0,1954.75,31.5,13,2012,8,6,2012-08-06,219
"CA",41.709045,-121.514771,1506,"emarginata",0,1935.75,30.5,11.5,2012,8,7,2012-08-07,220
"CA",41.71357,-121.507545,1452,"emarginata",0,2019.5,33,11,2012,8,9,2012-08-09,222
"CA",41.709045,-121.514771,1506,"emarginata",0,1979.75,32.5,11,2012,8,9,2012-08-09,222
"CA",41.71357,-121.507545,1452,"emarginata",0,2140.25,34,16.5,2012,8,14,2012-08-14,227
"CA",41.709045,-121.514771,1506,"emarginata",0,2100.5,34,16.5,2012,8,14,2012-08-14,227
