"boostings","learning_rates","max_bins","min_data_in_leaf","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"dart",0.1,32,60,32,20,106,0.33,0.928,0.123
"dart",0.01,32,60,32,20,130,0.441,0.892,0.176
"dart",0.1,16,60,32,20,85,0.347,0.924,0.135
"dart",0.01,16,60,32,20,177,0.421,0.9,0.168
"dart",0.1,32,48,32,20,89,0.337,0.926,0.13
"dart",0.01,32,48,32,20,154,0.414,0.905,0.166
"dart",0.1,16,48,32,20,97,0.342,0.922,0.129
"dart",0.01,16,48,32,20,414,0.359,0.917,0.136
"dart",0.1,32,60,64,20,118,0.329,0.93,0.123
"dart",0.01,32,60,64,20,159,0.43,0.895,0.189
"dart",0.1,16,60,64,20,125,0.35,0.923,0.132
"dart",0.01,16,60,64,20,171,0.42,0.905,0.167
"dart",0.1,32,48,64,20,77,0.35,0.919,0.129
"dart",0.01,32,48,64,20,153,0.417,0.902,0.17
"dart",0.1,16,48,64,20,89,0.34,0.925,0.134
"dart",0.01,16,48,64,20,148,0.424,0.898,0.17
"dart",0.1,32,60,128,20,118,0.324,0.932,0.118
"dart",0.01,32,60,128,20,159,0.425,0.906,0.183
"dart",0.1,16,60,128,20,129,0.341,0.926,0.128
"dart",0.01,16,60,128,20,152,0.43,0.9,0.178
"dart",0.1,32,48,128,20,98,0.337,0.925,0.125
"dart",0.01,32,48,128,20,144,0.414,0.91,0.158
"dart",0.1,16,48,128,20,85,0.345,0.923,0.124
"dart",0.01,16,48,128,20,329,0.374,0.914,0.145
"dart",0.1,32,60,32,10,110,0.328,0.93,0.127
"dart",0.01,32,60,32,10,158,0.422,0.902,0.174
"dart",0.1,16,60,32,10,118,0.347,0.922,0.125
"dart",0.01,16,60,32,10,187,0.414,0.906,0.171
"dart",0.1,32,48,32,10,73,0.347,0.924,0.125
"dart",0.01,32,48,32,10,178,0.406,0.905,0.165
"dart",0.1,16,48,32,10,139,0.339,0.926,0.119
"dart",0.01,16,48,32,10,149,0.42,0.902,0.161
"dart",0.1,32,60,64,10,109,0.338,0.925,0.124
"dart",0.01,32,60,64,10,157,0.424,0.903,0.177
"dart",0.1,16,60,64,10,116,0.351,0.923,0.13
"dart",0.01,16,60,64,10,167,0.423,0.903,0.17
"dart",0.1,32,48,64,10,82,0.336,0.924,0.125
"dart",0.01,32,48,64,10,140,0.421,0.904,0.164
"dart",0.1,16,48,64,10,83,0.342,0.922,0.134
"dart",0.01,16,48,64,10,163,0.418,0.9,0.17
"dart",0.1,32,60,128,10,102,0.343,0.923,0.138
"dart",0.01,32,60,128,10,500,0.353,0.922,0.135
"dart",0.1,16,60,128,10,99,0.346,0.924,0.132
"dart",0.01,16,60,128,10,469,0.373,0.914,0.145
"dart",0.1,32,48,128,10,85,0.329,0.928,0.126
"dart",0.01,32,48,128,10,161,0.409,0.91,0.157
"dart",0.1,16,48,128,10,76,0.343,0.921,0.132
"dart",0.01,16,48,128,10,166,0.416,0.902,0.165
