"boostings","learning_rates","max_bins","min_data_in_leaf","max_depth","feature_fractions","bagging_fractions","bagging_freqs","lambda_l2s","val_score","test_score"
"gbdt",0.1,255,20,-1,0.8,0.8,1,0,0.133156206199411,0.176041172562742
"gbdt",0.01,255,20,-1,0.8,0.8,1,0,0.133302430398126,0.174968405788705
"gbdt",0.1,127,20,-1,0.8,0.8,1,0,0.135481633504801,0.174149622394096
"gbdt",0.01,127,20,-1,0.8,0.8,1,0,0.134972025368866,0.175617654475006
"gbdt",0.1,512,20,-1,0.8,0.8,1,0,0.132878752660899,0.175723123839163
"gbdt",0.01,512,20,-1,0.8,0.8,1,0,0.130757636657362,0.174848416935725
"gbdt",0.1,255,5,-1,0.8,0.8,1,0,0.136240657472924,0.17975900525051
"gbdt",0.01,255,5,-1,0.8,0.8,1,0,0.134102126316287,0.176201382585129
"gbdt",0.1,127,5,-1,0.8,0.8,1,0,0.135334102658929,0.178712604854534
"gbdt",0.01,127,5,-1,0.8,0.8,1,0,0.131868110617895,0.175387929771279
"gbdt",0.1,512,5,-1,0.8,0.8,1,0,0.13921127712391,0.181194223268634
"gbdt",0.01,512,5,-1,0.8,0.8,1,0,0.133057928366411,0.176376965636056
"gbdt",0.1,255,30,-1,0.8,0.8,1,0,0.134693080230324,0.177396728975421
"gbdt",0.01,255,30,-1,0.8,0.8,1,0,0.134807479872846,0.177506548565867
"gbdt",0.1,127,30,-1,0.8,0.8,1,0,0.134973834901433,0.178446278181671
"gbdt",0.01,127,30,-1,0.8,0.8,1,0,0.131156063930119,0.176975153927889
"gbdt",0.1,512,30,-1,0.8,0.8,1,0,0.133818206211236,0.176411454805211
"gbdt",0.01,512,30,-1,0.8,0.8,1,0,0.134075019055242,0.177478023730572
"gbdt",0.1,255,20,5,0.8,0.8,1,0,0.132691846491339,0.171394588464035
"gbdt",0.01,255,20,5,0.8,0.8,1,0,0.132817205091384,0.172218209609461
"gbdt",0.1,127,20,5,0.8,0.8,1,0,0.130420448892651,0.170847441559812
"gbdt",0.01,127,20,5,0.8,0.8,1,0,0.127202544185645,0.172407268518969
"gbdt",0.1,512,20,5,0.8,0.8,1,0,0.133575071787884,0.171127601520145
"gbdt",0.01,512,20,5,0.8,0.8,1,0,0.130648383665507,0.172814970721976
"gbdt",0.1,255,5,5,0.8,0.8,1,0,0.133754784304368,0.172939883201842
"gbdt",0.01,255,5,5,0.8,0.8,1,0,0.129543408004939,0.172473141642526
"gbdt",0.1,127,5,5,0.8,0.8,1,0,0.134229462500051,0.178582841010517
"gbdt",0.01,127,5,5,0.8,0.8,1,0,0.129992880679264,0.171049896357394
"gbdt",0.1,512,5,5,0.8,0.8,1,0,0.133898857488784,0.171635733365009
"gbdt",0.01,512,5,5,0.8,0.8,1,0,0.133069205402961,0.172969410823308
"gbdt",0.1,255,30,5,0.8,0.8,1,0,0.13186468714335,0.171832216490407
"gbdt",0.01,255,30,5,0.8,0.8,1,0,0.1313424911022,0.173515003684153
"gbdt",0.1,127,30,5,0.8,0.8,1,0,0.133036492859258,0.17460245988398
"gbdt",0.01,127,30,5,0.8,0.8,1,0,0.131046958258179,0.172411592208497
"gbdt",0.1,512,30,5,0.8,0.8,1,0,0.131679578242258,0.172141402218231
"gbdt",0.01,512,30,5,0.8,0.8,1,0,0.130461756737536,0.173602849793489
"gbdt",0.1,255,20,10,0.8,0.8,1,0,0.135045394102994,0.176493399367089
"gbdt",0.01,255,20,10,0.8,0.8,1,0,0.134485410690471,0.174784711477191
"gbdt",0.1,127,20,10,0.8,0.8,1,0,0.133083142453485,0.17310467782688
"gbdt",0.01,127,20,10,0.8,0.8,1,0,0.132974497218498,0.175368442261831
"gbdt",0.1,512,20,10,0.8,0.8,1,0,0.133067319951625,0.173971246234652
"gbdt",0.01,512,20,10,0.8,0.8,1,0,0.132748961797447,0.175079940350467
"gbdt",0.1,255,5,10,0.8,0.8,1,0,0.134199560482529,0.179046335357432
"gbdt",0.01,255,5,10,0.8,0.8,1,0,0.133776108895393,0.175818141736145
"gbdt",0.1,127,5,10,0.8,0.8,1,0,0.139103508414235,0.178307809007696
"gbdt",0.01,127,5,10,0.8,0.8,1,0,0.133895819670683,0.175550358541377
"gbdt",0.1,512,5,10,0.8,0.8,1,0,0.134761200176503,0.178569106964941
"gbdt",0.01,512,5,10,0.8,0.8,1,0,0.134329234679075,0.176273060352958
"gbdt",0.1,255,30,10,0.8,0.8,1,0,0.137105302313259,0.17800705785057
"gbdt",0.01,255,30,10,0.8,0.8,1,0,0.131116040168441,0.176635208778438
"gbdt",0.1,127,30,10,0.8,0.8,1,0,0.133105337804998,0.176603854160025
"gbdt",0.01,127,30,10,0.8,0.8,1,0,0.134164626549572,0.1749133708308
"gbdt",0.1,512,30,10,0.8,0.8,1,0,0.132306047653308,0.176864977368753
"gbdt",0.01,512,30,10,0.8,0.8,1,0,0.132757859888826,0.177476815941062
"gbdt",0.1,255,20,-1,0.9,0.8,1,0,0.133383703124341,0.170688843367109
"gbdt",0.01,255,20,-1,0.9,0.8,1,0,0.132095165830247,0.174112669496513
"gbdt",0.1,127,20,-1,0.9,0.8,1,0,0.131696176721365,0.16935865247432
"gbdt",0.01,127,20,-1,0.9,0.8,1,0,0.132495845256816,0.174007650942652
"gbdt",0.1,512,20,-1,0.9,0.8,1,0,0.132640826473384,0.169128961787677
"gbdt",0.01,512,20,-1,0.9,0.8,1,0,0.133426312859835,0.173667423221229
"gbdt",0.1,255,5,-1,0.9,0.8,1,0,0.134866097149391,0.178541204298751
"gbdt",0.01,255,5,-1,0.9,0.8,1,0,0.13549148482042,0.176314687355665
"gbdt",0.1,127,5,-1,0.9,0.8,1,0,0.135473076283154,0.178546836350887
"gbdt",0.01,127,5,-1,0.9,0.8,1,0,0.133555055254632,0.175819933721135
"gbdt",0.1,512,5,-1,0.9,0.8,1,0,0.138220410117177,0.178740001673903
"gbdt",0.01,512,5,-1,0.9,0.8,1,0,0.133664422851873,0.176385024368773
"gbdt",0.1,255,30,-1,0.9,0.8,1,0,0.131554116113977,0.172749066363468
"gbdt",0.01,255,30,-1,0.9,0.8,1,0,0.132349558687011,0.175262615209008
"gbdt",0.1,127,30,-1,0.9,0.8,1,0,0.132859778883523,0.170519772389672
"gbdt",0.01,127,30,-1,0.9,0.8,1,0,0.133872901393364,0.175391612527174
"gbdt",0.1,512,30,-1,0.9,0.8,1,0,0.13408218761138,0.171057514205596
"gbdt",0.01,512,30,-1,0.9,0.8,1,0,0.131055096619263,0.175458655330853
"gbdt",0.1,255,20,5,0.9,0.8,1,0,0.132885199856917,0.167724632825319
