"year","lat","long","alt","tmax","tmin","Ca_cumsum","month","day","species","Accum_Prcp","is_bloom"
2009,35.926178,-78.692719,129,21,13,583.75,3,29,"yedoensis",330,1
2009,45.4856,-122.855499,63,15,5,938.5,5,12,"emarginata",381,0
2009,35.885597,-78.706451,123,24.5,13,4880.25,10,11,"yedoensis",906,0
2010,45.4856,-122.855499,63,13.5,5,138.25,1,18,"emarginata",133,0
2010,45.4856,-122.855499,63,10.5,3.5,178.75,1,23,"emarginata",144,0
2010,45.4856,-122.855499,63,11.5,6,223.25,1,29,"emarginata",170,0
2010,45.4856,-122.855499,63,12,4.5,297.25,2,7,"emarginata",194,0
2010,45.4856,-122.855499,63,15,6,371.25,2,16,"emarginata",233,0
2010,45.4856,-122.855499,63,15,1,407,2,20,"emarginata",233,0
2010,45.4856,-122.855499,63,14,6,462.75,2,27,"emarginata",271,1
2010,35.926178,-78.692719,129,9.5,-0.5,197,3,2,"yedoensis",198,0
2010,45.4856,-122.855499,63,13,2.5,508.5,3,4,"emarginata",274,1
2010,35.926178,-78.692719,129,22,3.5,248,3,10,"yedoensis",205,0
2010,45.4856,-122.855499,63,13,0.5,582.75,3,14,"emarginata",320,1
2010,45.4856,-122.855499,63,17,5.5,594,3,15,"emarginata",320,1
2010,35.926178,-78.692719,129,19,3,345.5,3,18,"yedoensis",241,0
2010,35.875225,-78.737076,118,23.5,4.5,374.75,3,20,"yedoensis",220,0
2010,35.926178,-78.692719,129,24,6,386.25,3,21,"yedoensis",241,0
2010,35.875225,-78.737076,118,23.5,6.5,389.75,3,21,"yedoensis",220,0
2010,35.875225,-78.737076,118,20,8,403.75,3,22,"yedoensis",221,1
2010,35.875225,-78.737076,118,18,4,414.75,3,23,"yedoensis",222,1
2010,35.926178,-78.692719,129,19.5,4,423.5,3,24,"yedoensis",243,1
2010,35.875225,-78.737076,118,20,4,426.75,3,24,"yedoensis",222,1
2010,35.926178,-78.692719,129,23,5.5,437.75,3,25,"yedoensis",243,1
2010,35.875225,-78.737076,118,23,6,441.25,3,25,"yedoensis",222,1
2010,35.875225,-78.737076,118,21.5,6.5,455.25,3,26,"yedoensis",224,1
2010,45.4856,-122.855499,63,18,3.5,716.75,3,27,"emarginata",347,0
2010,35.875225,-78.737076,118,17.5,0,464,3,27,"yedoensis",226,1
2010,35.875225,-78.737076,118,15.5,1,472.25,3,28,"yedoensis",226,1
2010,45.4856,-122.855499,63,11.5,4,776.25,4,4,"emarginata",428,0
2010,39.973316,-82.802826,275,24,4.5,292.5,4,4,"emarginata",197,1
2010,35.926178,-78.692719,129,29.5,13.5,606.25,4,5,"yedoensis",291,0
2010,39.973316,-82.802826,275,27.5,14,330.75,4,6,"emarginata",211,1
2010,39.973316,-82.802826,275,21.5,4,408.75,4,12,"emarginata",216,1
2010,35.926178,-78.692719,129,25,6.5,734.75,4,12,"yedoensis",310,0
2010,45.4856,-122.855499,63,22,6.5,920.25,4,18,"emarginata",464,0
2010,45.4856,-122.855499,63,22,6.5,920.25,4,18,"emarginata",464,1
2010,39.973316,-82.802826,275,22,6,545.75,4,23,"emarginata",217,0
2010,45.4856,-122.855499,63,16.5,3.5,978,4,23,"emarginata",467,1
2010,45.4856,-122.855499,63,14.5,5.5,1048.75,4,30,"emarginata",493,1
2010,45.4856,-122.855499,63,14.5,3,1106,5,6,"emarginata",501,1
2010,45.4856,-122.855499,63,13.5,5,1331,5,23,"emarginata",559,0
2010,45.4856,-122.855499,63,17.5,10.5,1449.5,6,1,"emarginata",604,0
2010,45.4856,-122.855499,63,18.5,11,1730.5,6,21,"emarginata",717,0
