"boostings","learning_rates","max_bins","min_data_in_leaf","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"dart",0.1,128,48,16,40,274,0.329,0.931,0.123
"gbdt",0.1,128,48,16,40,93,0.333,0.929,0.134
"dart",0.01,128,48,16,40,194,0.534,0.893,0.183
"gbdt",0.01,128,48,16,40,141,0.415,0.909,0.167
"dart",0.1,64,48,16,40,150,0.354,0.922,0.134
"gbdt",0.1,64,48,16,40,76,0.338,0.926,0.126
"dart",0.01,64,48,16,40,102,0.545,0.887,0.183
"gbdt",0.01,64,48,16,40,128,0.423,0.901,0.163
"dart",0.1,32,48,16,40,216,0.337,0.926,0.13
"gbdt",0.1,32,48,16,40,79,0.335,0.926,0.124
"dart",0.01,32,48,16,40,150,0.543,0.89,0.18
"gbdt",0.01,32,48,16,40,150,0.415,0.905,0.163
"dart",0.1,128,24,16,40,178,0.321,0.932,0.125
"gbdt",0.1,128,24,16,40,72,0.31,0.934,0.119
"dart",0.01,128,24,16,40,196,0.5,0.914,0.145
"gbdt",0.01,128,24,16,40,145,0.375,0.917,0.126
"dart",0.1,64,24,16,40,169,0.325,0.929,0.13
"gbdt",0.1,64,24,16,40,64,0.327,0.929,0.12
"dart",0.01,64,24,16,40,102,0.526,0.902,0.157
"gbdt",0.01,64,24,16,40,401,0.334,0.926,0.127
"dart",0.1,32,24,16,40,62,0.348,0.924,0.134
"gbdt",0.1,32,24,16,40,79,0.31,0.934,0.109
"dart",0.01,32,24,16,40,150,0.523,0.904,0.16
"gbdt",0.01,32,24,16,40,207,0.359,0.919,0.133
"dart",0.1,128,48,32,40,282,0.322,0.931,0.125
"gbdt",0.1,128,48,32,40,101,0.322,0.934,0.123
"dart",0.01,128,48,32,40,213,0.529,0.893,0.184
"gbdt",0.01,128,48,32,40,153,0.411,0.905,0.169
"dart",0.1,64,48,32,40,332,0.314,0.935,0.123
"gbdt",0.1,64,48,32,40,96,0.334,0.928,0.13
"dart",0.01,64,48,32,40,150,0.539,0.892,0.187
"gbdt",0.01,64,48,32,40,137,0.415,0.911,0.163
"dart",0.1,32,48,32,40,150,0.354,0.921,0.134
"gbdt",0.1,32,48,32,40,83,0.343,0.924,0.131
"dart",0.01,32,48,32,40,102,0.549,0.883,0.183
"gbdt",0.01,32,48,32,40,143,0.416,0.907,0.16
"dart",0.1,128,24,32,40,102,0.317,0.933,0.116
"gbdt",0.1,128,24,32,40,52,0.31,0.934,0.115
"dart",0.01,128,24,32,40,102,0.518,0.903,0.148
"gbdt",0.01,128,24,32,40,284,0.323,0.931,0.118
"dart",0.1,64,24,32,40,144,0.323,0.929,0.122
"gbdt",0.1,64,24,32,40,50,0.33,0.931,0.119
"dart",0.01,64,24,32,40,146,0.517,0.901,0.155
"gbdt",0.01,64,24,32,40,171,0.363,0.921,0.135
"dart",0.1,32,24,32,40,170,0.317,0.932,0.11
"gbdt",0.1,32,24,32,40,62,0.323,0.931,0.112
"dart",0.01,32,24,32,40,194,0.511,0.907,0.163
"gbdt",0.01,32,24,32,40,405,0.32,0.932,0.115
"dart",0.1,128,48,64,40,289,0.331,0.928,0.118
"gbdt",0.1,128,48,64,40,75,0.328,0.927,0.127
"dart",0.01,128,48,64,40,179,0.537,0.884,0.187
"gbdt",0.01,128,48,64,40,157,0.403,0.911,0.157
"dart",0.1,64,48,64,40,196,0.346,0.922,0.13
"gbdt",0.1,64,48,64,40,88,0.336,0.928,0.126
"dart",0.01,64,48,64,40,150,0.539,0.887,0.181
"gbdt",0.01,64,48,64,40,391,0.346,0.923,0.128
"dart",0.1,32,48,64,40,146,0.352,0.923,0.135
"gbdt",0.1,32,48,64,40,86,0.34,0.925,0.126
"dart",0.01,32,48,64,40,102,0.547,0.887,0.18
"gbdt",0.01,32,48,64,40,307,0.367,0.918,0.143
"dart",0.1,128,24,64,40,196,0.312,0.933,0.12
"gbdt",0.1,128,24,64,40,42,0.319,0.932,0.116
"dart",0.01,128,24,64,40,102,0.521,0.899,0.155
"gbdt",0.01,128,24,64,40,222,0.334,0.927,0.121
"dart",0.1,64,24,64,40,198,0.321,0.932,0.119
"gbdt",0.1,64,24,64,40,50,0.312,0.935,0.117
"dart",0.01,64,24,64,40,102,0.521,0.901,0.146
"gbdt",0.01,64,24,64,40,128,0.381,0.917,0.138
"dart",0.1,32,24,64,40,103,0.331,0.926,0.121
"gbdt",0.1,32,24,64,40,52,0.317,0.934,0.119
"dart",0.01,32,24,64,40,146,0.523,0.898,0.158
"gbdt",0.01,32,24,64,40,215,0.345,0.924,0.126
"dart",0.1,128,48,16,20,216,0.332,0.929,0.129
"gbdt",0.1,128,48,16,20,78,0.326,0.931,0.128
"dart",0.01,128,48,16,20,196,0.531,0.892,0.173
"gbdt",0.01,128,48,16,20,157,0.405,0.907,0.155
"dart",0.1,64,48,16,20,179,0.342,0.926,0.134
"gbdt",0.1,64,48,16,20,113,0.319,0.933,0.119
"dart",0.01,64,48,16,20,196,0.531,0.896,0.176
"gbdt",0.01,64,48,16,20,134,0.424,0.903,0.174
"dart",0.1,32,48,16,20,62,0.379,0.917,0.159
"gbdt",0.1,32,48,16,20,88,0.333,0.926,0.125
"dart",0.01,32,48,16,20,102,0.55,0.888,0.183
"gbdt",0.01,32,48,16,20,157,0.413,0.904,0.163
"dart",0.1,128,24,16,20,62,0.344,0.923,0.128
"gbdt",0.1,128,24,16,20,66,0.319,0.934,0.119
"dart",0.01,128,24,16,20,146,0.517,0.907,0.145
"gbdt",0.01,128,24,16,20,168,0.36,0.927,0.13
"dart",0.1,64,24,16,20,239,0.322,0.929,0.125
