"boostings","learning_rates","max_bins","min_data_in_leaf","max_depth","feature_fractions","bagging_fractions","bagging_freqs","lambda_l2s","val_score","test_score"
"gbdt",0.1,255,20,-1,0.8,0.8,1,0,0.254288843690252,0.324668238857667
"gbdt",0.01,255,20,-1,0.8,0.8,1,0,0.249453984893285,0.327911465943675
"gbdt",0.1,255,12,-1,0.8,0.8,1,0,0.24738226479198,0.329780877351732
"gbdt",0.01,255,12,-1,0.8,0.8,1,0,0.24670749748694,0.32617305940248
"gbdt",0.1,255,40,-1,0.8,0.8,1,0,0.259525144179823,0.310494328910129
"gbdt",0.01,255,40,-1,0.8,0.8,1,0,0.258107392686916,0.320522446475978
"gbdt",0.1,255,20,10,0.8,0.8,1,0,0.253307183269256,0.324886845348336
"gbdt",0.01,255,20,10,0.8,0.8,1,0,0.250038085126556,0.328495092965144
"gbdt",0.1,255,12,10,0.8,0.8,1,0,0.248894247637238,0.334697287445562
"gbdt",0.01,255,12,10,0.8,0.8,1,0,0.246383423750927,0.327543621358909
"gbdt",0.1,255,40,10,0.8,0.8,1,0,0.260354596769459,0.315917358552706
"gbdt",0.01,255,40,10,0.8,0.8,1,0,0.259746580046541,0.321694481791723
"gbdt",0.1,255,20,20,0.8,0.8,1,0,0.254288843690252,0.324668238857667
"gbdt",0.01,255,20,20,0.8,0.8,1,0,0.249453984893285,0.327911465943675
"gbdt",0.1,255,12,20,0.8,0.8,1,0,0.24738226479198,0.329780877351732
"gbdt",0.01,255,12,20,0.8,0.8,1,0,0.246494258502099,0.32617305940248
"gbdt",0.1,255,40,20,0.8,0.8,1,0,0.259525144179823,0.310494328910129
"gbdt",0.01,255,40,20,0.8,0.8,1,0,0.258107392686916,0.320522446475978
"gbdt",0.1,255,20,-1,0.9,0.8,1,0,NA,NA
"gbdt",0.01,255,20,-1,0.9,0.8,1,0,NA,NA
"gbdt",0.1,255,12,-1,0.9,0.8,1,0,NA,NA
"gbdt",0.01,255,12,-1,0.9,0.8,1,0,NA,NA
"gbdt",0.1,255,40,-1,0.9,0.8,1,0,NA,NA
"gbdt",0.01,255,40,-1,0.9,0.8,1,0,NA,NA
"gbdt",0.1,255,20,10,0.9,0.8,1,0,NA,NA
"gbdt",0.01,255,20,10,0.9,0.8,1,0,NA,NA
"gbdt",0.1,255,12,10,0.9,0.8,1,0,NA,NA
"gbdt",0.01,255,12,10,0.9,0.8,1,0,NA,NA
"gbdt",0.1,255,40,10,0.9,0.8,1,0,NA,NA
"gbdt",0.01,255,40,10,0.9,0.8,1,0,NA,NA
"gbdt",0.1,255,20,20,0.9,0.8,1,0,NA,NA
"gbdt",0.01,255,20,20,0.9,0.8,1,0,NA,NA
"gbdt",0.1,255,12,20,0.9,0.8,1,0,NA,NA
"gbdt",0.01,255,12,20,0.9,0.8,1,0,NA,NA
"gbdt",0.1,255,40,20,0.9,0.8,1,0,NA,NA
"gbdt",0.01,255,40,20,0.9,0.8,1,0,NA,NA
"gbdt",0.1,255,20,-1,1,0.8,1,0,NA,NA
"gbdt",0.01,255,20,-1,1,0.8,1,0,NA,NA
"gbdt",0.1,255,12,-1,1,0.8,1,0,NA,NA
"gbdt",0.01,255,12,-1,1,0.8,1,0,NA,NA
"gbdt",0.1,255,40,-1,1,0.8,1,0,NA,NA
"gbdt",0.01,255,40,-1,1,0.8,1,0,NA,NA
"gbdt",0.1,255,20,10,1,0.8,1,0,NA,NA
"gbdt",0.01,255,20,10,1,0.8,1,0,NA,NA
"gbdt",0.1,255,12,10,1,0.8,1,0,NA,NA
"gbdt",0.01,255,12,10,1,0.8,1,0,NA,NA
"gbdt",0.1,255,40,10,1,0.8,1,0,NA,NA
"gbdt",0.01,255,40,10,1,0.8,1,0,NA,NA
"gbdt",0.1,255,20,20,1,0.8,1,0,NA,NA
"gbdt",0.01,255,20,20,1,0.8,1,0,NA,NA
"gbdt",0.1,255,12,20,1,0.8,1,0,NA,NA
"gbdt",0.01,255,12,20,1,0.8,1,0,NA,NA
"gbdt",0.1,255,40,20,1,0.8,1,0,NA,NA
"gbdt",0.01,255,40,20,1,0.8,1,0,NA,NA
"gbdt",0.1,255,20,-1,0.8,0.9,1,0,NA,NA
"gbdt",0.01,255,20,-1,0.8,0.9,1,0,NA,NA
"gbdt",0.1,255,12,-1,0.8,0.9,1,0,NA,NA
"gbdt",0.01,255,12,-1,0.8,0.9,1,0,NA,NA
"gbdt",0.1,255,40,-1,0.8,0.9,1,0,NA,NA
"gbdt",0.01,255,40,-1,0.8,0.9,1,0,NA,NA
"gbdt",0.1,255,20,10,0.8,0.9,1,0,NA,NA
"gbdt",0.01,255,20,10,0.8,0.9,1,0,NA,NA
"gbdt",0.1,255,12,10,0.8,0.9,1,0,NA,NA
"gbdt",0.01,255,12,10,0.8,0.9,1,0,NA,NA
"gbdt",0.1,255,40,10,0.8,0.9,1,0,NA,NA
"gbdt",0.01,255,40,10,0.8,0.9,1,0,NA,NA
"gbdt",0.1,255,20,20,0.8,0.9,1,0,NA,NA
"gbdt",0.01,255,20,20,0.8,0.9,1,0,NA,NA
"gbdt",0.1,255,12,20,0.8,0.9,1,0,NA,NA
"gbdt",0.01,255,12,20,0.8,0.9,1,0,NA,NA
"gbdt",0.1,255,40,20,0.8,0.9,1,0,NA,NA
"gbdt",0.01,255,40,20,0.8,0.9,1,0,NA,NA
"gbdt",0.1,255,20,-1,0.9,0.9,1,0,NA,NA
"gbdt",0.01,255,20,-1,0.9,0.9,1,0,NA,NA
"gbdt",0.1,255,12,-1,0.9,0.9,1,0,NA,NA
"gbdt",0.01,255,12,-1,0.9,0.9,1,0,NA,NA
"gbdt",0.1,255,40,-1,0.9,0.9,1,0,NA,NA
"gbdt",0.01,255,40,-1,0.9,0.9,1,0,NA,NA
"gbdt",0.1,255,20,10,0.9,0.9,1,0,NA,NA
"gbdt",0.01,255,20,10,0.9,0.9,1,0,NA,NA
"gbdt",0.1,255,12,10,0.9,0.9,1,0,NA,NA
"gbdt",0.01,255,12,10,0.9,0.9,1,0,NA,NA
"gbdt",0.1,255,40,10,0.9,0.9,1,0,NA,NA
"gbdt",0.01,255,40,10,0.9,0.9,1,0,NA,NA
"gbdt",0.1,255,20,20,0.9,0.9,1,0,NA,NA
"gbdt",0.01,255,20,20,0.9,0.9,1,0,NA,NA
