"","id","date","tmax","tmin","prcp","year","month","day"
"1","KSM00047159",1973-01-01,9,1.4,0,"1973",1,1
"2","KSM00047159",1973-01-02,26.7,23.5,7.1,"1973",1,2
"3","KSM00047159",1973-01-03,15.5,11.8,4.1,"1973",1,3
"4","KSM00047159",1973-01-04,22.1,18,1,"1973",1,4
"5","KSM00047159",1973-01-05,7,1,0,"1973",1,5
"6","KSM00047159",1973-01-06,10,3,0,"1973",1,6
"7","KSM00047159",1973-01-07,10.2,6.4,4.1,"1973",1,7
"8","KSM00047159",1973-01-08,8,-2.2,0,"1973",1,8
"9","KSM00047159",1973-01-09,9,1,0,"1973",1,9
"10","KSM00047159",1973-01-10,6,0,0,"1973",1,10
"11","KSM00047159",1973-01-11,5,-2,0,"1973",1,11
"12","KSM00047159",1973-01-12,8,0,0,"1973",1,12
"13","KSM00047159",1973-01-13,8,2,0,"1973",1,13
"14","KSM00047159",1973-01-14,10,5,0,"1973",1,14
"15","KSM00047159",1973-01-15,10,1,0,"1973",1,15
"16","KSM00047159",1973-01-16,13,5,0,"1973",1,16
"17","KSM00047159",1973-01-17,10,3,0,"1973",1,17
"18","KSM00047159",1973-01-18,8,-4,0.5,"1973",1,18
"19","KSM00047159",1973-01-19,8,-2.8,0,"1973",1,19
"20","KSM00047159",1973-01-20,9,2,0,"1973",1,20
"21","KSM00047159",1973-01-21,11,2.1,0,"1973",1,21
"22","KSM00047159",1973-01-22,12,5,5.1,"1973",1,22
"23","KSM00047159",1973-01-23,12,7,0,"1973",1,23
"24","KSM00047159",1973-01-24,12,2.6,24.9,"1973",1,24
"25","KSM00047159",1973-01-25,9,0.4,0,"1973",1,25
"26","KSM00047159",1973-01-26,7,-3.2,0,"1973",1,26
"27","KSM00047159",1973-01-27,6,-7,0,"1973",1,27
"28","KSM00047159",1973-01-28,8,-1,0,"1973",1,28
"29","KSM00047159",1973-01-29,9,0,0,"1973",1,29
"30","KSM00047159",1973-01-30,9,-1,0,"1973",1,30
"31","KSM00047159",1973-01-31,10,-0.2,0,"1973",1,31
"32","KSM00047159",1973-02-01,11,2,0,"1973",2,1
"33","KSM00047159",1973-02-02,11,2,0,"1973",2,2
"34","KSM00047159",1973-02-03,12,6,7.9,"1973",2,3
"35","KSM00047159",1973-02-04,8,7,4.1,"1973",2,4
"36","KSM00047159",1973-02-05,12,0.5,1,"1973",2,5
"37","KSM00047159",1973-02-06,8,-1.5,0,"1973",2,6
"38","KSM00047159",1973-02-07,2,-8,0,"1973",2,7
"39","KSM00047159",1973-02-08,2,-5,0,"1973",2,8
"40","KSM00047159",1973-02-09,4,-5,0,"1973",2,9
"41","KSM00047159",1973-02-10,8,-2,0,"1973",2,10
"42","KSM00047159",1973-02-11,9,1,0,"1973",2,11
"43","KSM00047159",1973-02-12,9,0,0,"1973",2,12
"44","KSM00047159",1973-02-13,11,2,0,"1973",2,13
"45","KSM00047159",1973-02-14,12,4,0,"1973",2,14
"46","KSM00047159",1973-02-15,15,4,0,"1973",2,15
"47","KSM00047159",1973-02-16,15,4,0,"1973",2,16
"48","KSM00047159",1973-02-17,13,5,0,"1973",2,17
"49","KSM00047159",1973-02-18,14,2,0,"1973",2,18
"50","KSM00047159",1973-02-19,11,3.3,0,"1973",2,19
"51","KSM00047159",1973-02-20,8,-2.6,0,"1973",2,20
"52","KSM00047159",1973-02-21,10,-2,0,"1973",2,21
"53","KSM00047159",1973-02-22,5.9,0.1,9.9,"1973",2,22
"54","KSM00047159",1973-02-23,10,-1,0,"1973",2,23
"55","KSM00047159",1973-02-24,4.1,-17.1,0,"1973",2,24
"56","KSM00047159",1973-02-25,3,-6,0,"1973",2,25
"57","KSM00047159",1973-02-26,9,-1,0,"1973",2,26
"58","KSM00047159",1973-02-27,10,4,0,"1973",2,27
"59","KSM00047159",1973-02-28,11,0.6,0,"1973",2,28
"60","KSM00047159",1973-03-01,9,-0.5,0,"1973",3,1
"61","KSM00047159",1973-03-02,9,-2,0,"1973",3,2
"62","KSM00047159",1973-03-03,11,0,0,"1973",3,3
"63","KSM00047159",1973-03-04,14,10,0,"1973",3,4
"64","KSM00047159",1973-03-05,9,-1,0,"1973",3,5
"65","KSM00047159",1973-03-06,7,0,0,"1973",3,6
"66","KSM00047159",1973-03-07,11,2,0,"1973",3,7
"67","KSM00047159",1973-03-08,17,7,0,"1973",3,8
"68","KSM00047159",1973-03-09,11,2,2,"1973",3,9
"69","KSM00047159",1973-03-10,11,4,0,"1973",3,10
"70","KSM00047159",1973-03-11,13,5,0,"1973",3,11
"71","KSM00047159",1973-03-12,16,6,0,"1973",3,12
"72","KSM00047159",1973-03-13,13,5,0,"1973",3,13
"73","KSM00047159",1973-03-14,12,5,0,"1973",3,14
"74","KSM00047159",1973-03-15,10,4,0,"1973",3,15
"75","KSM00047159",1973-03-16,13,1.7,1,"1973",3,16
"76","KSM00047159",1973-03-17,10,2,0,"1973",3,17
"77","KSM00047159",1973-03-18,14,2,0,"1973",3,18
"78","KSM00047159",1973-03-19,14,4,0,"1973",3,19
"79","KSM00047159",1973-03-20,17,8,4.1,"1973",3,20
"80","KSM00047159",1973-03-21,13,1.5,0.5,"1973",3,21
"81","KSM00047159",1973-03-22,14,5,0,"1973",3,22
"82","KSM00047159",1973-03-23,16,10.3,0,"1973",3,23
"83","KSM00047159",1973-03-24,14,3.8,0,"1973",3,24
"84","KSM00047159",1973-03-25,9,-1,0,"1973",3,25
"85","KSM00047159",1973-03-26,11,1,0,"1973",3,26
"86","KSM00047159",1973-03-27,14.9,5,0,"1973",3,27
"87","KSM00047159",1973-03-28,20,9.9,0.5,"1973",3,28
"88","KSM00047159",1973-03-29,17,5.6,2,"1973",3,29
"89","KSM00047159",1973-03-30,18,10,0,"1973",3,30
"90","KSM00047159",1973-03-31,21,7,0,"1973",3,31
"91","KSM00047159",1973-04-01,17,9,0,"1973",4,1
"92","KSM00047159",1973-04-02,15.2,3,0,"1973",4,2
"93","KSM00047159",1973-04-03,16,7,0,"1973",4,3
"94","KSM00047159",1973-04-04,16,1.5,0,"1973",4,4
"95","KSM00047159",1973-04-05,16,4,0,"1973",4,5
"96","KSM00047159",1973-04-06,15.6,8,0,"1973",4,6
"97","KSM00047159",1973-04-07,17,13,4.1,"1973",4,7
"98","KSM00047159",1973-04-08,20,13,0,"1973",4,8
"99","KSM00047159",1973-04-09,17,5,0,"1973",4,9
"100","KSM00047159",1973-04-10,18.5,11,0,"1973",4,10
"101","KSM00047159",1973-04-11,17,9.6,18,"1973",4,11
"102","KSM00047159",1973-04-12,12,2.2,0,"1973",4,12
"103","KSM00047159",1973-04-13,18,12,0,"1973",4,13
"104","KSM00047159",1973-04-14,15,6.4,0,"1973",4,14
"105","KSM00047159",1973-04-15,14,4.9,22.1,"1973",4,15
"106","KSM00047159",1973-04-16,12,11,23.1,"1973",4,16
"107","KSM00047159",1973-04-17,17,5.9,0,"1973",4,17
"108","KSM00047159",1973-04-18,18,6,0,"1973",4,18
"109","KSM00047159",1973-04-19,17,8,0,"1973",4,19
"110","KSM00047159",1973-04-20,20,11,0,"1973",4,20
"111","KSM00047159",1973-04-21,16,9.3,1,"1973",4,21
"112","KSM00047159",1973-04-22,22,12,0,"1973",4,22
"113","KSM00047159",1973-04-23,20,14,2,"1973",4,23
"114","KSM00047159",1973-04-24,19,15,4.1,"1973",4,24
"115","KSM00047159",1973-04-25,22,15,0,"1973",4,25
"116","KSM00047159",1973-04-26,18,7,0.3,"1973",4,26
"117","KSM00047159",1973-04-27,20,9,0,"1973",4,27
"118","KSM00047159",1973-04-28,23,13,0,"1973",4,28
"119","KSM00047159",1973-04-29,19,14,0,"1973",4,29
"120","KSM00047159",1973-04-30,19,16,7.1,"1973",4,30
"121","KSM00047159",1973-05-01,19,16.8,119.9,"1973",5,1
"122","KSM00047159",1973-05-02,17,13,2,"1973",5,2
"123","KSM00047159",1973-05-03,18,7.3,0,"1973",5,3
"124","KSM00047159",1973-05-04,19,5,0,"1973",5,4
"125","KSM00047159",1973-05-05,19,11,0,"1973",5,5
"126","KSM00047159",1973-05-06,22,12,0,"1973",5,6
"127","KSM00047159",1973-05-07,24.9,17,40.9,"1973",5,7
"128","KSM00047159",1973-05-08,22,15,0.3,"1973",5,8
"129","KSM00047159",1973-05-09,21,14,0,"1973",5,9
"130","KSM00047159",1973-05-10,21,16,48,"1973",5,10
"131","KSM00047159",1973-05-11,21,12,0,"1973",5,11
"132","KSM00047159",1973-05-12,21,12,0,"1973",5,12
"133","KSM00047159",1973-05-13,20.7,15,0,"1973",5,13
"134","KSM00047159",1973-05-14,23,16,0,"1973",5,14
"135","KSM00047159",1973-05-15,23,16,0,"1973",5,15
"136","KSM00047159",1973-05-16,17,14,20.1,"1973",5,16
"137","KSM00047159",1973-05-17,20,7.2,0.5,"1973",5,17
"138","KSM00047159",1973-05-18,23,17,0,"1973",5,18
"139","KSM00047159",1973-05-19,22,14,0,"1973",5,19
"140","KSM00047159",1973-05-20,24,14,0,"1973",5,20
"141","KSM00047159",1973-05-21,23,16,0,"1973",5,21
"142","KSM00047159",1973-05-22,19,12,0,"1973",5,22
"143","KSM00047159",1973-05-23,19,10.2,0,"1973",5,23
"144","KSM00047159",1973-05-24,20,12,0,"1973",5,24
"145","KSM00047159",1973-05-25,20,13,0,"1973",5,25
"146","KSM00047159",1973-05-26,22,16,0,"1973",5,26
"147","KSM00047159",1973-05-27,24,17,0,"1973",5,27
"148","KSM00047159",1973-05-28,19,17,10.9,"1973",5,28
"149","KSM00047159",1973-05-29,23,15.4,0.3,"1973",5,29
"150","KSM00047159",1973-05-30,22,16,0,"1973",5,30
"151","KSM00047159",1973-05-31,22,8.4,0,"1973",5,31
"152","KSM00047159",1973-06-01,22,12,0,"1973",6,1
"153","KSM00047159",1973-06-02,22,15,0,"1973",6,2
"154","KSM00047159",1973-06-03,21,14,0,"1973",6,3
"155","KSM00047159",1973-06-04,21,14,0,"1973",6,4
"156","KSM00047159",1973-06-05,22,15,0,"1973",6,5
"157","KSM00047159",1973-06-06,20,17,29.5,"1973",6,6
"158","KSM00047159",1973-06-07,21,13,0,"1973",6,7
"159","KSM00047159",1973-06-08,22,15,0,"1973",6,8
"160","KSM00047159",1973-06-09,23,13.3,0,"1973",6,9
"161","KSM00047159",1973-06-10,23,14,9.4,"1973",6,10
"162","KSM00047159",1973-06-11,24,17,0,"1973",6,11
"163","KSM00047159",1973-06-12,19.8,16,8.4,"1973",6,12
"164","KSM00047159",1973-06-13,23,16,0,"1973",6,13
