"Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE"
7,-120,210,0,1.82
7,-121,210,0,1.64
7,-122,210,0,1.64
7,-123,210,0,1.55
7,-124,210,0,1.64
7,-125,210,0,1.64
7,-126,210,0,1.73
7,-127,210,0,1.64
7,-128,210,0,1.64
7,-129,210,0,1.64
7,-130,210,0,1.64
7,-120,211,0,1.82
7,-121,211,0,1.64
7,-122,211,0,1.64
7,-123,211,0,1.64
7,-124,211,0,1.73
7,-125,211,0,1.73
7,-126,211,0,1.73
7,-127,211,0,1.73
7,-128,211,0,1.64
7,-129,211,0,1.64
7,-130,211,0,1.64
7,-120,212,0,1.91
7,-121,212,0,1.73
7,-122,212,0,1.64
7,-123,212,0,1.55
7,-124,212,0,1.64
7,-125,212,0,1.64
7,-126,212,0,1.64
7,-127,212,0,1.73
7,-128,212,0,1.73
7,-129,212,0,1.73
7,-130,212,0,1.82
7,-120,213,0,1.91
7,-121,213,0,1.64
7,-122,213,0,1.45
7,-123,213,0,1.45
7,-124,213,0,1.55
7,-125,213,0,1.55
7,-126,213,0,1.64
7,-127,213,0,1.73
7,-128,213,0,1.73
7,-129,213,0,1.73
7,-130,213,0,1.82
7,-120,214,0,1.73
7,-121,214,0,1.55
7,-122,214,0,1.45
7,-123,214,0,1.55
7,-124,214,0,1.55
7,-125,214,0,1.55
7,-126,214,0,1.55
7,-127,214,0,1.73
7,-128,214,0,1.73
7,-129,214,0,1.73
7,-130,214,0,1.82
7,-120,215,0,1.64
7,-121,215,0,1.45
7,-122,215,0,1.45
7,-123,215,0,1.55
7,-124,215,0,1.55
7,-125,215,0,1.55
7,-126,215,0,1.82
7,-127,215,0,1.82
7,-128,215,0,1.73
7,-129,215,0,1.73
7,-130,215,0,1.91
7,-120,216,0,1.64
7,-121,216,0,1.45
7,-122,216,0,1.45
7,-123,216,0,1.55
7,-124,216,0,1.64
7,-125,216,0,1.55
7,-126,216,0,1.64
7,-127,216,0,1.73
7,-128,216,0,1.73
7,-129,216,0,1.73
7,-130,216,0,1.82
7,-120,217,0,1.45
7,-121,217,0,1.45
7,-122,217,0,1.36
7,-123,217,0,1.45
7,-124,217,0,1.64
7,-125,217,0,1.64
7,-126,217,0,1.73
7,-127,217,0,1.82
7,-128,217,0,1.82
7,-129,217,0,1.82
7,-130,217,0,2
7,-120,218,0,1.64
7,-121,218,0,1.64
7,-122,218,0,1.55
7,-123,218,0,1.55
7,-124,218,0,1.64
7,-125,218,0,1.73
7,-126,218,0,1.73
7,-127,218,0,2
7,-128,218,0,2
7,-129,218,0,2
7,-130,218,0,2.09
7,-120,219,0,1.82
7,-121,219,0,1.82
7,-122,219,0,1.82
7,-123,219,0,1.82
7,-124,219,0,1.82
7,-125,219,0,1.82
7,-126,219,0,1.91
7,-127,219,0,2.09
7,-128,219,0,2.09
7,-129,219,0,2.09
7,-130,219,0,2.09
7,-120,220,0,1.73
7,-121,220,0,1.73
7,-122,220,0,1.82
7,-123,220,0,1.82
7,-124,220,0,1.91
7,-125,220,0,1.91
7,-126,220,0,2.09
7,-127,220,0,2.09
7,-128,220,0,2.09
7,-129,220,0,2.18
7,-130,220,0,2.27
