id,date,year,month,day,tmin,tmax
GME00127786,2023-01-01,2023,1,1,5,18
GME00127786,2023-01-02,2023,1,2,5,15
GME00127786,2023-01-03,2023,1,3,2,10
GME00127786,2023-01-04,2023,1,4,1,12
GME00127786,2023-01-05,2023,1,5,7,13
GME00127786,2023-01-06,2023,1,6,5,11
GME00127786,2023-01-07,2023,1,7,3,13
GME00127786,2023-01-08,2023,1,8,3,8
GME00127786,2023-01-09,2023,1,9,4,9
GME00127786,2023-01-10,2023,1,10,4,9
GME00127786,2023-01-11,2023,1,11,6,11
GME00127786,2023-01-12,2023,1,12,7,11
GME00127786,2023-01-13,2023,1,13,7,12
GME00127786,2023-01-14,2023,1,14,3,14
GME00127786,2023-01-15,2023,1,15,1,14
GME00127786,2023-01-16,2023,1,16,1,9
GME00127786,2023-01-17,2023,1,17,0,3
GME00127786,2023-01-18,2023,1,18,-1,2
GME00127786,2023-01-19,2023,1,19,-3,3
GME00127786,2023-01-20,2023,1,20,-4,3
GME00127786,2023-01-21,2023,1,21,-6,1
GME00127786,2023-01-22,2023,1,22,-1,1
GME00127786,2023-01-23,2023,1,23,0,2
GME00127786,2023-01-24,2023,1,24,2,4
GME00127786,2023-01-25,2023,1,25,1,3
GME00127786,2023-01-26,2023,1,26,-1,1
GME00127786,2023-01-27,2023,1,27,-1,1
GME00127786,2023-01-28,2023,1,28,0,3
GME00127786,2023-01-29,2023,1,29,-4,3
GME00127786,2023-01-30,2023,1,30,-4,4
GME00127786,2023-01-31,2023,1,31,-3,6
GME00127786,2023-02-01,2023,2,1,3,7
GME00127786,2023-02-02,2023,2,2,4,7
GME00127786,2023-02-03,2023,2,3,3,10
GME00127786,2023-02-04,2023,2,4,1,9
GME00127786,2023-02-05,2023,2,5,-1,6
GME00127786,2023-02-06,2023,2,6,0,5
GME00127786,2023-02-07,2023,2,7,-4,5
GME00127786,2023-02-08,2023,2,8,-7,4
GME00127786,2023-02-09,2023,2,9,-5,8
GME00127786,2023-02-10,2023,2,10,-6,7
GME00127786,2023-02-11,2023,2,11,-6,9
GME00127786,2023-02-12,2023,2,12,-5,10
GME00127786,2023-02-13,2023,2,13,-4,12
GME00127786,2023-02-14,2023,2,14,-4,12
GME00127786,2023-02-15,2023,2,15,-2,14
GME00127786,2023-02-16,2023,2,16,-1,15
GME00127786,2023-02-17,2023,2,17,4,15
GME00127786,2023-02-18,2023,2,18,7,15
GME00127786,2023-02-19,2023,2,19,8,11
GME00127786,2023-02-20,2023,2,20,0,17
GME00127786,2023-02-21,2023,2,21,-1,18
GME00127786,2023-02-22,2023,2,22,0,13
GME00127786,2023-02-23,2023,2,23,7,15
GME00127786,2023-02-24,2023,2,24,6,14
GME00127786,2023-02-25,2023,2,25,0,8
GME00127786,2023-02-26,2023,2,26,-2,3
GME00127786,2023-02-27,2023,2,27,-2,3
GME00127786,2023-02-28,2023,2,28,-3,3
GME00127786,2023-03-01,2023,3,1,-6,3
GME00127786,2023-03-02,2023,3,2,-1,7
GME00127786,2023-03-03,2023,3,3,-1,8
GME00127786,2023-03-04,2023,3,4,-3,8
GME00127786,2023-03-05,2023,3,5,-5,8
GME00127786,2023-03-06,2023,3,6,-3,7
GME00127786,2023-03-07,2023,3,7,-1,8
GME00127786,2023-03-08,2023,3,8,0,15
GME00127786,2023-03-09,2023,3,9,9,17
GME00127786,2023-03-10,2023,3,10,5,12
GME00127786,2023-03-11,2023,3,11,0,7
GME00127786,2023-03-12,2023,3,12,4,15
GME00127786,2023-03-13,2023,3,13,8,24
GME00127786,2023-03-14,2023,3,14,5,12
GME00127786,2023-03-15,2023,3,15,0,10
GME00127786,2023-03-16,2023,3,16,-2,15
GME00127786,2023-03-17,2023,3,17,4,19
GME00127786,2023-03-18,2023,3,18,3,18
GME00127786,2023-03-19,2023,3,19,7,14
GME00127786,2023-03-20,2023,3,20,4,15
GME00127786,2023-03-21,2023,3,21,2,17
GME00127786,2023-03-22,2023,3,22,5,20
GME00127786,2023-03-23,2023,3,23,11,18
GME00127786,2023-03-24,2023,3,24,10,16
GME00127786,2023-03-25,2023,3,25,6,14
GME00127786,2023-03-26,2023,3,26,6,14
GME00127786,2023-03-27,2023,3,27,4,9
GME00127786,2023-03-28,2023,3,28,-1,12
GME00127786,2023-03-29,2023,3,29,7,21
GME00127786,2023-03-30,2023,3,30,10,18
GME00127786,2023-03-31,2023,3,31,7,17
GME00127786,2023-04-01,2023,4,1,6,13
GME00127786,2023-04-02,2023,4,2,5,14
GME00127786,2023-04-03,2023,4,3,0,8
GME00127786,2023-04-04,2023,4,4,-3,10
GME00127786,2023-04-05,2023,4,5,-3,12
GME00127786,2023-04-06,2023,4,6,-2,14
GME00127786,2023-04-07,2023,4,7,4,9
GME00127786,2023-04-08,2023,4,8,1,14
GME00127786,2023-04-09,2023,4,9,3,16
GME00127786,2023-04-10,2023,4,10,1,19
GME00127786,2023-04-11,2023,4,11,9,15
GME00127786,2023-04-12,2023,4,12,6,16
GME00127786,2023-04-13,2023,4,13,4,11
GME00127786,2023-04-14,2023,4,14,2,16
GME00127786,2023-04-15,2023,4,15,7,13
GME00127786,2023-04-16,2023,4,16,7,11
GME00127786,2023-04-17,2023,4,17,6,14
GME00127786,2023-04-18,2023,4,18,5,14
GME00127786,2023-04-19,2023,4,19,3,15
GME00127786,2023-04-20,2023,4,20,4,10
GME00127786,2023-04-21,2023,4,21,0,14
GME00127786,2023-04-22,2023,4,22,7,21
GME00127786,2023-04-23,2023,4,23,10,20
GME00127786,2023-04-24,2023,4,24,8,15
GME00127786,2023-04-25,2023,4,25,4,13
GME00127786,2023-04-26,2023,4,26,4,16
GME00127786,2023-04-27,2023,4,27,8,21
GME00127786,2023-04-28,2023,4,28,12,20
GME00127786,2023-04-29,2023,4,29,11,20
GME00127786,2023-04-30,2023,4,30,8,18
GME00127786,2023-05-01,2023,5,1,11,18
GME00127786,2023-05-02,2023,5,2,6,19
GME00127786,2023-05-03,2023,5,3,6,21
GME00127786,2023-05-04,2023,5,4,5,26
GME00127786,2023-05-05,2023,5,5,13,24
GME00127786,2023-05-06,2023,5,6,12,23
GME00127786,2023-05-07,2023,5,7,10,21
GME00127786,2023-05-08,2023,5,8,13,20
GME00127786,2023-05-09,2023,5,9,11,21
GME00127786,2023-05-10,2023,5,10,11,17
GME00127786,2023-05-11,2023,5,11,10,16
GME00127786,2023-05-12,2023,5,12,9,18
GME00127786,2023-05-13,2023,5,13,9,16
GME00127786,2023-05-14,2023,5,14,8,20
GME00127786,2023-05-15,2023,5,15,8,18
GME00127786,2023-05-16,2023,5,16,8,11
GME00127786,2023-05-17,2023,5,17,5,16
GME00127786,2023-05-18,2023,5,18,4,17
GME00127786,2023-05-19,2023,5,19,10,17
GME00127786,2023-05-20,2023,5,20,10,20
GME00127786,2023-05-21,2023,5,21,12,25
GME00127786,2023-05-22,2023,5,22,12,27
GME00127786,2023-05-23,2023,5,23,12,22
GME00127786,2023-05-24,2023,5,24,10,18
GME00127786,2023-05-25,2023,5,25,9,22
GME00127786,2023-05-26,2023,5,26,12,25
GME00127786,2023-05-27,2023,5,27,11,25
GME00127786,2023-05-28,2023,5,28,9,26
GME00127786,2023-05-29,2023,5,29,8,27
GME00127786,2023-05-30,2023,5,30,11,26
GME00127786,2023-05-31,2023,5,31,10,27
GME00127786,2023-06-01,2023,6,1,10,28
GME00127786,2023-06-02,2023,6,2,13,26
GME00127786,2023-06-03,2023,6,3,10,27
GME00127786,2023-06-04,2023,6,4,12,27
GME00127786,2023-06-05,2023,6,5,9,27
GME00127786,2023-06-06,2023,6,6,11,27
GME00127786,2023-06-07,2023,6,7,11,28
GME00127786,2023-06-08,2023,6,8,12,30
GME00127786,2023-06-09,2023,6,9,11,30
GME00127786,2023-06-10,2023,6,10,16,30
GME00127786,2023-06-11,2023,6,11,14,30
GME00127786,2023-06-12,2023,6,12,12,30
GME00127786,2023-06-13,2023,6,13,10,29
GME00127786,2023-06-14,2023,6,14,7,28
GME00127786,2023-06-15,2023,6,15,11,28
GME00127786,2023-06-16,2023,6,16,13,28
GME00127786,2023-06-17,2023,6,17,12,30
GME00127786,2023-06-18,2023,6,18,13,33
GME00127786,2023-06-19,2023,6,19,17,31
GME00127786,2023-06-20,2023,6,20,20,33
GME00127786,2023-06-21,2023,6,21,18,28
GME00127786,2023-06-22,2023,6,22,14,27
GME00127786,2023-06-23,2023,6,23,14,26
GME00127786,2023-06-24,2023,6,24,12,29
GME00127786,2023-06-25,2023,6,25,12,31
GME00127786,2023-06-26,2023,6,26,16,28
GME00127786,2023-06-27,2023,6,27,14,26
GME00127786,2023-06-28,2023,6,28,13,27
GME00127786,2023-06-29,2023,6,29,14,30
GME00127786,2023-06-30,2023,6,30,17,21
GME00127786,2023-07-01,2023,7,1,16,23
GME00127786,2023-07-02,2023,7,2,16,25
GME00127786,2023-07-03,2023,7,3,16,25
GME00127786,2023-07-04,2023,7,4,16,26
GME00127786,2023-07-05,2023,7,5,13,24
GME00127786,2023-07-06,2023,7,6,11,27
GME00127786,2023-07-07,2023,7,7,11,32
GME00127786,2023-07-08,2023,7,8,17,31
GME00127786,2023-07-09,2023,7,9,18,35
GME00127786,2023-07-10,2023,7,10,19,31
GME00127786,2023-07-11,2023,7,11,18,35
GME00127786,2023-07-12,2023,7,12,18,26
GME00127786,2023-07-13,2023,7,13,14,26
GME00127786,2023-07-14,2023,7,14,11,30
GME00127786,2023-07-15,2023,7,15,18,32
GME00127786,2023-07-16,2023,7,16,16,25
GME00127786,2023-07-17,2023,7,17,15,27
GME00127786,2023-07-18,2023,7,18,13,30
GME00127786,2023-07-19,2023,7,19,17,30
GME00127786,2023-07-20,2023,7,20,16,28
GME00127786,2023-07-21,2023,7,21,13,24
GME00127786,2023-07-22,2023,7,22,10,28
GME00127786,2023-07-23,2023,7,23,14,30
GME00127786,2023-07-24,2023,7,24,17,24
GME00127786,2023-07-25,2023,7,25,13,22
GME00127786,2023-07-26,2023,7,26,13,21
GME00127786,2023-07-27,2023,7,27,13,27
GME00127786,2023-07-28,2023,7,28,14,27
GME00127786,2023-07-29,2023,7,29,16,27
GME00127786,2023-07-30,2023,7,30,14,25
GME00127786,2023-07-31,2023,7,31,11,27
GME00127786,2023-08-01,2023,8,1,15,23
GME00127786,2023-08-02,2023,8,2,14,30
GME00127786,2023-08-03,2023,8,3,14,25
GME00127786,2023-08-04,2023,8,4,12,22
GME00127786,2023-08-05,2023,8,5,13,24
GME00127786,2023-08-06,2023,8,6,13,19
GME00127786,2023-08-07,2023,8,7,11,20
