id,date,year,month,day,tmin,tmax
USW00094728,2023-01-01,2023,1,1,9,13
USW00094728,2023-01-02,2023,1,2,9,13
USW00094728,2023-01-03,2023,1,3,8,14
USW00094728,2023-01-04,2023,1,4,9,19
USW00094728,2023-01-05,2023,1,5,7,10
USW00094728,2023-01-06,2023,1,6,4,9
USW00094728,2023-01-07,2023,1,7,3,7
USW00094728,2023-01-08,2023,1,8,1,5
USW00094728,2023-01-09,2023,1,9,3,7
USW00094728,2023-01-10,2023,1,10,3,5
USW00094728,2023-01-11,2023,1,11,2,4
USW00094728,2023-01-12,2023,1,12,3,13
USW00094728,2023-01-13,2023,1,13,3,14
USW00094728,2023-01-14,2023,1,14,-1,3
USW00094728,2023-01-15,2023,1,15,-1,5
USW00094728,2023-01-16,2023,1,16,-2,9
USW00094728,2023-01-17,2023,1,17,2,8
USW00094728,2023-01-18,2023,1,18,6,12
USW00094728,2023-01-19,2023,1,19,4,7
USW00094728,2023-01-20,2023,1,20,4,9
USW00094728,2023-01-21,2023,1,21,3,6
USW00094728,2023-01-22,2023,1,22,2,6
USW00094728,2023-01-23,2023,1,23,2,4
USW00094728,2023-01-24,2023,1,24,2,8
USW00094728,2023-01-25,2023,1,25,2,12
USW00094728,2023-01-26,2023,1,26,5,14
USW00094728,2023-01-27,2023,1,27,2,7
USW00094728,2023-01-28,2023,1,28,2,11
USW00094728,2023-01-29,2023,1,29,6,12
USW00094728,2023-01-30,2023,1,30,6,13
USW00094728,2023-01-31,2023,1,31,-1,10
USW00094728,2023-02-01,2023,2,1,-3,3
USW00094728,2023-02-02,2023,2,2,-2,4
USW00094728,2023-02-03,2023,2,3,-12,2
USW00094728,2023-02-04,2023,2,4,-16,-3
USW00094728,2023-02-05,2023,2,5,-3,9
USW00094728,2023-02-06,2023,2,6,1,11
USW00094728,2023-02-07,2023,2,7,-1,6
USW00094728,2023-02-08,2023,2,8,4,12
USW00094728,2023-02-09,2023,2,9,6,13
USW00094728,2023-02-10,2023,2,10,7,16
USW00094728,2023-02-11,2023,2,11,2,8
USW00094728,2023-02-12,2023,2,12,3,9
USW00094728,2023-02-13,2023,2,13,5,14
USW00094728,2023-02-14,2023,2,14,4,12
USW00094728,2023-02-15,2023,2,15,8,19
USW00094728,2023-02-16,2023,2,16,13,21
USW00094728,2023-02-17,2023,2,17,0,16
