id,date,year,month,day,tmin,tmax
CA001108395,2023-01-01,2023,1,1,3,6
CA001108395,2023-01-02,2023,1,2,1,5
CA001108395,2023-01-03,2023,1,3,1,6
CA001108395,2023-01-04,2023,1,4,3,6
CA001108395,2023-01-05,2023,1,5,4,14
CA001108395,2023-01-06,2023,1,6,5,12
CA001108395,2023-01-07,2023,1,7,6,10
CA001108395,2023-01-08,2023,1,8,4,10
CA001108395,2023-01-09,2023,1,9,6,12
CA001108395,2023-01-10,2023,1,10,5,12
CA001108395,2023-01-11,2023,1,11,4,13
CA001108395,2023-01-12,2023,1,12,7,13
CA001108395,2023-01-13,2023,1,13,9,13
CA001108395,2023-01-14,2023,1,14,6,13
CA001108395,2023-01-15,2023,1,15,6,9
CA001108395,2023-01-16,2023,1,16,5,6
CA001108395,2023-01-17,2023,1,17,5,6
CA001108395,2023-01-18,2023,1,18,2,7
CA001108395,2023-01-19,2023,1,19,1,6
CA001108395,2023-01-20,2023,1,20,2,6
CA001108395,2023-01-21,2023,1,21,1,5
CA001108395,2023-01-22,2023,1,22,1,5
CA001108395,2023-01-23,2023,1,23,3,6
CA001108395,2023-01-24,2023,1,24,4,6
CA001108395,2023-01-25,2023,1,25,4,6
CA001108395,2023-01-26,2023,1,26,4,5
CA001108395,2023-01-27,2023,1,27,3,6
CA001108395,2023-01-28,2023,1,28,0,7
CA001108395,2023-01-29,2023,1,29,-3,3
CA001108395,2023-01-30,2023,1,30,-4,1
CA001108395,2023-01-31,2023,1,31,-2,2
CA001108395,2023-02-01,2023,2,1,-1,5
CA001108395,2023-02-02,2023,2,2,1,9
CA001108395,2023-02-03,2023,2,3,4,11
CA001108395,2023-02-04,2023,2,4,6,10
CA001108395,2023-02-05,2023,2,5,4,8
CA001108395,2023-02-06,2023,2,6,4,7
CA001108395,2023-02-07,2023,2,7,5,10
CA001108395,2023-02-08,2023,2,8,2,7
CA001108395,2023-02-09,2023,2,9,5,11
CA001108395,2023-02-10,2023,2,10,5,12
CA001108395,2023-02-11,2023,2,11,3,6
CA001108395,2023-02-12,2023,2,12,4,5
CA001108395,2023-02-13,2023,2,13,0,7
CA001108395,2023-02-14,2023,2,14,0,8
CA001108395,2023-02-15,2023,2,15,0,6
CA001108395,2023-02-16,2023,2,16,2,5
CA001108395,2023-02-17,2023,2,17,2,8
CA001108395,2023-02-18,2023,2,18,3,9
CA001108395,2023-02-19,2023,2,19,4,7
CA001108395,2023-02-20,2023,2,20,5,7
CA001108395,2023-02-21,2023,2,21,1,8
CA001108395,2023-02-22,2023,2,22,-3,2
CA001108395,2023-02-23,2023,2,23,-4,2
CA001108395,2023-02-24,2023,2,24,-7,0
CA001108395,2023-02-25,2023,2,25,-4,0
CA001108395,2023-02-26,2023,2,26,-1,8
CA001108395,2023-02-27,2023,2,27,0,4
CA001108395,2023-02-28,2023,2,28,0,4
CA001108395,2023-03-01,2023,3,1,-1,4
CA001108395,2023-03-02,2023,3,2,1,9
CA001108395,2023-03-03,2023,3,3,1,6
CA001108395,2023-03-04,2023,3,4,1,6
CA001108395,2023-03-05,2023,3,5,1,9
CA001108395,2023-03-06,2023,3,6,2,9
CA001108395,2023-03-07,2023,3,7,3,10
CA001108395,2023-03-08,2023,3,8,1,11
CA001108395,2023-03-09,2023,3,9,2,12
CA001108395,2023-03-10,2023,3,10,4,8
CA001108395,2023-03-11,2023,3,11,2,7
CA001108395,2023-03-12,2023,3,12,3,10
CA001108395,2023-03-13,2023,3,13,4,11
CA001108395,2023-03-14,2023,3,14,3,8
CA001108395,2023-03-15,2023,3,15,2,10
CA001108395,2023-03-16,2023,3,16,1,10
CA001108395,2023-03-17,2023,3,17,3,14
CA001108395,2023-03-18,2023,3,18,5,17
CA001108395,2023-03-19,2023,3,19,6,12
CA001108395,2023-03-20,2023,3,20,6,11
CA001108395,2023-03-21,2023,3,21,6,13
CA001108395,2023-03-22,2023,3,22,5,15
CA001108395,2023-03-23,2023,3,23,4,9
CA001108395,2023-03-24,2023,3,24,3,8
CA001108395,2023-03-25,2023,3,25,1,6
CA001108395,2023-03-26,2023,3,26,1,7
CA001108395,2023-03-27,2023,3,27,2,13
CA001108395,2023-03-28,2023,3,28,5,18
CA001108395,2023-03-29,2023,3,29,7,15
CA001108395,2023-03-30,2023,3,30,5,13
CA001108395,2023-03-31,2023,3,31,5,7
CA001108395,2023-04-01,2023,4,1,3,11
CA001108395,2023-04-02,2023,4,2,1,6
CA001108395,2023-04-03,2023,4,3,0,9
CA001108395,2023-04-04,2023,4,4,2,10
CA001108395,2023-04-05,2023,4,5,2,10
CA001108395,2023-04-06,2023,4,6,5,10
CA001108395,2023-04-07,2023,4,7,7,14
CA001108395,2023-04-08,2023,4,8,5,9
CA001108395,2023-04-09,2023,4,9,5,10
CA001108395,2023-04-10,2023,4,10,5,10
CA001108395,2023-04-11,2023,4,11,4,11
CA001108395,2023-04-12,2023,4,12,1,13
CA001108395,2023-04-13,2023,4,13,4,10
CA001108395,2023-04-14,2023,4,14,2,12
CA001108395,2023-04-15,2023,4,15,7,11
CA001108395,2023-04-16,2023,4,16,4,9
CA001108395,2023-04-17,2023,4,17,2,8
CA001108395,2023-04-18,2023,4,18,2,6
CA001108395,2023-04-19,2023,4,19,4,11
CA001108395,2023-04-20,2023,4,20,4,9
CA001108395,2023-04-21,2023,4,21,4,10
CA001108395,2023-04-22,2023,4,22,6,11
CA001108395,2023-04-23,2023,4,23,6,10
CA001108395,2023-04-24,2023,4,24,5,13
CA001108395,2023-04-25,2023,4,25,5,14
CA001108395,2023-04-26,2023,4,26,7,14
CA001108395,2023-04-27,2023,4,27,7,18
CA001108395,2023-04-28,2023,4,28,9,22
CA001108395,2023-04-29,2023,4,29,12,24
CA001108395,2023-04-30,2023,4,30,11,16
CA001108395,2023-05-01,2023,5,1,9,16
CA001108395,2023-05-02,2023,5,2,10,22
CA001108395,2023-05-03,2023,5,3,15,21
CA001108395,2023-05-04,2023,5,4,11,16
CA001108395,2023-05-05,2023,5,5,9,11
CA001108395,2023-05-06,2023,5,6,8,12
CA001108395,2023-05-07,2023,5,7,8,15
CA001108395,2023-05-08,2023,5,8,7,16
CA001108395,2023-05-09,2023,5,9,9,17
CA001108395,2023-05-10,2023,5,10,8,19
CA001108395,2023-05-11,2023,5,11,10,23
CA001108395,2023-05-12,2023,5,12,11,26
CA001108395,2023-05-13,2023,5,13,14,30
CA001108395,2023-05-14,2023,5,14,16,32
CA001108395,2023-05-15,2023,5,15,18,33
CA001108395,2023-05-16,2023,5,16,17,23
CA001108395,2023-05-17,2023,5,17,15,24
CA001108395,2023-05-18,2023,5,18,16,28
CA001108395,2023-05-19,2023,5,19,14,23
CA001108395,2023-05-20,2023,5,20,14,23
CA001108395,2023-05-21,2023,5,21,12,19
CA001108395,2023-05-22,2023,5,22,10,17
CA001108395,2023-05-23,2023,5,23,9,14
CA001108395,2023-05-24,2023,5,24,11,19
CA001108395,2023-05-25,2023,5,25,12,22
CA001108395,2023-05-26,2023,5,26,15,25
CA001108395,2023-05-27,2023,5,27,14,20
CA001108395,2023-05-28,2023,5,28,12,20
CA001108395,2023-05-29,2023,5,29,12,20
CA001108395,2023-05-30,2023,5,30,11,18
CA001108395,2023-05-31,2023,5,31,9,18
CA001108395,2023-06-01,2023,6,1,9,19
CA001108395,2023-06-02,2023,6,2,10,22
CA001108395,2023-06-03,2023,6,3,12,23
CA001108395,2023-06-04,2023,6,4,11,22
CA001108395,2023-06-05,2023,6,5,10,24
CA001108395,2023-06-06,2023,6,6,12,29
CA001108395,2023-06-07,2023,6,7,15,29
CA001108395,2023-06-08,2023,6,8,17,23
CA001108395,2023-06-09,2023,6,9,12,20
CA001108395,2023-06-10,2023,6,10,11,14
CA001108395,2023-06-11,2023,6,11,12,22
CA001108395,2023-06-12,2023,6,12,14,24
CA001108395,2023-06-13,2023,6,13,12,19
CA001108395,2023-06-14,2023,6,14,10,18
CA001108395,2023-06-15,2023,6,15,11,20
CA001108395,2023-06-16,2023,6,16,13,20
CA001108395,2023-06-17,2023,6,17,11,18
CA001108395,2023-06-18,2023,6,18,8,16
CA001108395,2023-06-19,2023,6,19,10,12
CA001108395,2023-06-20,2023,6,20,10,15
CA001108395,2023-06-21,2023,6,21,12,18
CA001108395,2023-06-22,2023,6,22,11,24
CA001108395,2023-06-23,2023,6,23,15,25
CA001108395,2023-06-24,2023,6,24,14,20
CA001108395,2023-06-25,2023,6,25,12,22
CA001108395,2023-06-26,2023,6,26,14,23
CA001108395,2023-06-27,2023,6,27,15,22
CA001108395,2023-06-28,2023,6,28,16,26
CA001108395,2023-06-29,2023,6,29,17,24
CA001108395,2023-06-30,2023,6,30,14,24
CA001108395,2023-07-01,2023,7,1,13,24
CA001108395,2023-07-02,2023,7,2,13,26
CA001108395,2023-07-03,2023,7,3,14,27
CA001108395,2023-07-04,2023,7,4,17,29
CA001108395,2023-07-05,2023,7,5,18,28
CA001108395,2023-07-06,2023,7,6,18,27
CA001108395,2023-07-07,2023,7,7,17,24
CA001108395,2023-07-08,2023,7,8,14,23
CA001108395,2023-07-09,2023,7,9,16,24
CA001108395,2023-07-10,2023,7,10,15,22
CA001108395,2023-07-11,2023,7,11,15,24
CA001108395,2023-07-12,2023,7,12,15,25
CA001108395,2023-07-13,2023,7,13,15,24
CA001108395,2023-07-14,2023,7,14,16,27
CA001108395,2023-07-15,2023,7,15,17,31
CA001108395,2023-07-16,2023,7,16,16,27
CA001108395,2023-07-17,2023,7,17,16,24
CA001108395,2023-07-18,2023,7,18,14,24
CA001108395,2023-07-19,2023,7,19,17,28
CA001108395,2023-07-20,2023,7,20,19,30
CA001108395,2023-07-21,2023,7,21,17,26
CA001108395,2023-07-22,2023,7,22,17,28
CA001108395,2023-07-23,2023,7,23,16,25
CA001108395,2023-07-24,2023,7,24,12,20
CA001108395,2023-07-25,2023,7,25,12,20
CA001108395,2023-07-26,2023,7,26,13,22
CA001108395,2023-07-27,2023,7,27,14,23
CA001108395,2023-07-28,2023,7,28,15,24
CA001108395,2023-07-29,2023,7,29,17,25
CA001108395,2023-07-30,2023,7,30,14,24
CA001108395,2023-07-31,2023,7,31,14,24
CA001108395,2023-08-01,2023,8,1,14,24
CA001108395,2023-08-02,2023,8,2,15,24
CA001108395,2023-08-03,2023,8,3,16,25
CA001108395,2023-08-04,2023,8,4,16,26
CA001108395,2023-08-05,2023,8,5,17,25
CA001108395,2023-08-06,2023,8,6,17,24
CA001108395,2023-08-07,2023,8,7,17,24
CA001108395,2023-08-08,2023,8,8,17,22
CA001108395,2023-08-09,2023,8,9,16,19
CA001108395,2023-08-10,2023,8,10,15,23
CA001108395,2023-08-11,2023,8,11,14,24
CA001108395,2023-08-12,2023,8,12,16,25
CA001108395,2023-08-13,2023,8,13,18,30
CA001108395,2023-08-14,2023,8,14,18,29
CA001108395,2023-08-15,2023,8,15,19,29
CA001108395,2023-08-16,2023,8,16,18,29
CA001108395,2023-08-17,2023,8,17,18,26
CA001108395,2023-08-18,2023,8,18,13,21
CA001108395,2023-08-19,2023,8,19,13,23
CA001108395,2023-08-20,2023,8,20,15,21
CA001108395,2023-08-21,2023,8,21,13,22
CA001108395,2023-08-22,2023,8,22,13,22
CA001108395,2023-08-23,2023,8,23,13,20
CA001108395,2023-08-24,2023,8,24,13,24
CA001108395,2023-08-25,2023,8,25,18,24
CA001108395,2023-08-26,2023,8,26,16,29
CA001108395,2023-08-27,2023,8,27,19,29
CA001108395,2023-08-28,2023,8,28,17,23
CA001108395,2023-08-29,2023,8,29,14,17
CA001108395,2023-08-30,2023,8,30,14,21
CA001108395,2023-08-31,2023,8,31,14,20
CA001108395,2023-09-01,2023,9,1,13,24
CA001108395,2023-09-02,2023,9,2,16,26
CA001108395,2023-09-03,2023,9,3,14,21
CA001108395,2023-09-04,2023,9,4,14,18
CA001108395,2023-09-05,2023,9,5,14,21
CA001108395,2023-09-06,2023,9,6,13,20
CA001108395,2023-09-07,2023,9,7,14,21
CA001108395,2023-09-08,2023,9,8,12,20
CA001108395,2023-09-09,2023,9,9,13,24
CA001108395,2023-09-10,2023,9,10,16,26
CA001108395,2023-09-11,2023,9,11,15,21
CA001108395,2023-09-12,2023,9,12,14,17
CA001108395,2023-09-13,2023,9,13,14,21
CA001108395,2023-09-14,2023,9,14,13,23
CA001108395,2023-09-15,2023,9,15,15,26
CA001108395,2023-09-16,2023,9,16,14,26
CA001108395,2023-09-17,2023,9,17,13,20
CA001108395,2023-09-18,2023,9,18,11,19
CA001108395,2023-09-19,2023,9,19,11,15
CA001108395,2023-09-20,2023,9,20,9,18
CA001108395,2023-09-21,2023,9,21,10,22
CA001108395,2023-09-22,2023,9,22,12,22
CA001108395,2023-09-23,2023,9,23,11,18
CA001108395,2023-09-24,2023,9,24,9,19
CA001108395,2023-09-25,2023,9,25,13,16
CA001108395,2023-09-26,2023,9,26,11,15
CA001108395,2023-09-27,2023,9,27,11,15
CA001108395,2023-09-28,2023,9,28,9,16
CA001108395,2023-09-29,2023,9,29,8,16
CA001108395,2023-09-30,2023,9,30,8,16
CA001108395,2023-10-01,2023,10,1,8,16
CA001108395,2023-10-02,2023,10,2,10,14
CA001108395,2023-10-03,2023,10,3,9,15
CA001108395,2023-10-04,2023,10,4,11,15
CA001108395,2023-10-05,2023,10,5,12,20
CA001108395,2023-10-06,2023,10,6,13,22
CA001108395,2023-10-07,2023,10,7,14,25
CA001108395,2023-10-08,2023,10,8,15,23
CA001108395,2023-10-09,2023,10,9,12,21
CA001108395,2023-10-10,2023,10,10,10,14
CA001108395,2023-10-11,2023,10,11,10,28
CA001108395,2023-10-12,2023,10,12,9,28
CA001108395,2023-10-13,2023,10,13,10,21
CA001108395,2023-10-14,2023,10,14,12,17
CA001108395,2023-10-15,2023,10,15,12,18
CA001108395,2023-10-16,2023,10,16,10,19
CA001108395,2023-10-17,2023,10,17,8,12
CA001108395,2023-10-18,2023,10,18,10,14
CA001108395,2023-10-19,2023,10,19,11,15
CA001108395,2023-10-20,2023,10,20,11,14
CA001108395,2023-10-21,2023,10,21,10,11
CA001108395,2023-10-22,2023,10,22,9,11
CA001108395,2023-10-23,2023,10,23,7,13
CA001108395,2023-10-24,2023,10,24,4,8
CA001108395,2023-10-25,2023,10,25,4,11
CA001108395,2023-10-26,2023,10,26,2,9
CA001108395,2023-10-27,2023,10,27,1,9
CA001108395,2023-10-28,2023,10,28,1,8
CA001108395,2023-10-29,2023,10,29,2,10
CA001108395,2023-10-30,2023,10,30,3,11
CA001108395,2023-10-31,2023,10,31,4,13
CA001108395,2023-11-01,2023,11,1,7,13
CA001108395,2023-11-02,2023,11,2,8,14
CA001108395,2023-11-03,2023,11,3,10,15
CA001108395,2023-11-04,2023,11,4,11,17
CA001108395,2023-11-05,2023,11,5,10,13
CA001108395,2023-11-06,2023,11,6,9,11
CA001108395,2023-11-07,2023,11,7,6,12
CA001108395,2023-11-08,2023,11,8,6,8
CA001108395,2023-11-09,2023,11,9,5,12
CA001108395,2023-11-10,2023,11,10,7,8
CA001108395,2023-11-11,2023,11,11,5,10
CA001108395,2023-11-12,2023,11,12,5,12
CA001108395,2023-11-13,2023,11,13,4,10
CA001108395,2023-11-14,2023,11,14,2,9
CA001108395,2023-11-15,2023,11,15,3,9
CA001108395,2023-11-16,2023,11,16,1,8
CA001108395,2023-11-17,2023,11,17,2,10
CA001108395,2023-11-18,2023,11,18,4,12
CA001108395,2023-11-19,2023,11,19,4,10
CA001108395,2023-11-20,2023,11,20,4,8
CA001108395,2023-11-21,2023,11,21,4,13
CA001108395,2023-11-22,2023,11,22,3,8
CA001108395,2023-11-23,2023,11,23,2,10
CA001108395,2023-11-24,2023,11,24,2,9
CA001108395,2023-11-25,2023,11,25,2,8
CA001108395,2023-11-26,2023,11,26,1,4
CA001108395,2023-11-27,2023,11,27,2,8
CA001108395,2023-11-28,2023,11,28,0,4
CA001108395,2023-11-29,2023,11,29,0,5
CA001108395,2023-11-30,2023,11,30,0,6
CA001108395,2023-12-01,2023,12,1,2,4
CA001108395,2023-12-02,2023,12,2,3,10
CA001108395,2023-12-03,2023,12,3,4,9
CA001108395,2023-12-04,2023,12,4,5,12
CA001108395,2023-12-05,2023,12,5,6,12
CA001108395,2023-12-06,2023,12,6,6,9
CA001108395,2023-12-07,2023,12,7,2,7
CA001108395,2023-12-08,2023,12,8,1,7
CA001108395,2023-12-09,2023,12,9,2,7
CA001108395,2023-12-10,2023,12,10,2,7
CA001108395,2023-12-11,2023,12,11,5,6
CA001108395,2023-12-12,2023,12,12,3,6
CA001108395,2023-12-13,2023,12,13,3,12
CA001108395,2023-12-14,2023,12,14,5,8
CA001108395,2023-12-15,2023,12,15,5,9
CA001108395,2023-12-16,2023,12,16,6,9
CA001108395,2023-12-17,2023,12,17,5,9
CA001108395,2023-12-18,2023,12,18,6,9
CA001108395,2023-12-19,2023,12,19,7,11
CA001108395,2023-12-20,2023,12,20,9,10
CA001108395,2023-12-21,2023,12,21,9,10
CA001108395,2023-12-22,2023,12,22,3,11
CA001108395,2023-12-23,2023,12,23,1,6
CA001108395,2023-12-24,2023,12,24,1,7
CA001108395,2023-12-25,2023,12,25,3,11
CA001108395,2023-12-26,2023,12,26,6,11
CA001108395,2023-12-27,2023,12,27,7,14
CA001108395,2023-12-28,2023,12,28,8,14
CA001108395,2023-12-29,2023,12,29,9,15
CA001108395,2023-12-30,2023,12,30,8,15
CA001108395,2023-12-31,2023,12,31,6,8
CA001108395,2024-01-01,2024,1,1,3,7
CA001108395,2024-01-02,2024,1,2,4,8
CA001108395,2024-01-03,2024,1,3,6,10
CA001108395,2024-01-04,2024,1,4,5,8
CA001108395,2024-01-05,2024,1,5,4,6
CA001108395,2024-01-06,2024,1,6,2,6
CA001108395,2024-01-07,2024,1,7,0,5
CA001108395,2024-01-08,2024,1,8,1,5
CA001108395,2024-01-09,2024,1,9,2,8
CA001108395,2024-01-10,2024,1,10,2,7
CA001108395,2024-01-11,2024,1,11,-7,3
CA001108395,2024-01-12,2024,1,12,-13,-6
CA001108395,2024-01-13,2024,1,13,-12,-5
CA001108395,2024-01-14,2024,1,14,-10,-2
CA001108395,2024-01-15,2024,1,15,-6,0
CA001108395,2024-01-16,2024,1,16,-4,1
CA001108395,2024-01-17,2024,1,17,-2,0
CA001108395,2024-01-18,2024,1,18,-2,0
CA001108395,2024-01-19,2024,1,19,-1,2
CA001108395,2024-01-20,2024,1,20,0,5
CA001108395,2024-01-21,2024,1,21,3,9
CA001108395,2024-01-22,2024,1,22,6,9
CA001108395,2024-01-23,2024,1,23,7,8
CA001108395,2024-01-24,2024,1,24,6,9
CA001108395,2024-01-25,2024,1,25,6,8
CA001108395,2024-01-26,2024,1,26,7,13
CA001108395,2024-01-27,2024,1,27,8,12
CA001108395,2024-01-28,2024,1,28,8,14
CA001108395,2024-01-29,2024,1,29,9,17
CA001108395,2024-01-30,2024,1,30,11,18
CA001108395,2024-01-31,2024,1,31,11,18
CA001108395,2024-02-01,2024,2,1,10,15
CA001108395,2024-02-02,2024,2,2,7,11
CA001108395,2024-02-03,2024,2,3,4,10
CA001108395,2024-02-04,2024,2,4,3,8
CA001108395,2024-02-05,2024,2,5,2,7
CA001108395,2024-02-06,2024,2,6,3,8
CA001108395,2024-02-07,2024,2,7,3,10
CA001108395,2024-02-08,2024,2,8,3,7
