"id","city","lat","long","alt","date","tmax","tmin","month","day","year","daily_Cd","daily_Ca","Cd_cumsum","Ca_cumsum","diff_Ca_Cd","diff_Ca_Cd_cumsum"
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-01,17,8,3,1,2023,0,5.5,-226.077522848938,41.95,5.5,486.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-02,15,10,3,2,2023,0,5.5,-226.077522848938,47.45,5.5,491.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-03,14,4,3,3,2023,-1.5,3.5,-227.577522848938,50.95,2,493.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-04,13,1,3,4,2023,-3,3,-230.577522848938,53.95,0,493.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-05,15,6,3,5,2023,-0.5,4,-231.077522848938,57.95,3.5,497.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-06,18,8,3,6,2023,0,6,-231.077522848938,63.95,6,503.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-07,18,9,3,7,2023,0,6.5,-231.077522848938,70.45,6.5,509.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-08,10,0,3,8,2023,-3.5,1.5,-234.577522848938,71.95,-2,507.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-09,13,4,3,9,2023,-1.5,3,-236.077522848938,74.95,1.5,509.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-10,14,5,3,10,2023,-1,3.5,-237.077522848938,78.45,2.5,511.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-11,14,2,3,11,2023,-2.5,3.5,-239.577522848938,81.95,1,512.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-12,11,0,3,12,2023,-3.5,2,-243.077522848938,83.95,-1.5,511.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-13,13,2,3,13,2023,-2.5,3,-245.577522848938,86.95,0.5,511.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-14,15,6,3,14,2023,-0.5,4,-246.077522848938,90.95,3.5,515.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-15,14,2,3,15,2023,-2.5,3.5,-248.577522848938,94.45,1,516.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-16,15,1,3,16,2023,-3,4,-251.577522848938,98.45,1,517.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-17,10,1,3,17,2023,-3,1.5,-254.577522848938,99.95,-1.5,515.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-18,12,4,3,18,2023,-1.5,2.5,-256.077522848938,102.45,1,516.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-19,11,2,3,19,2023,-2.5,2,-258.577522848938,104.45,-0.5,516.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-20,12,3,3,20,2023,-2,2.5,-260.577522848938,106.95,0.5,516.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-21,15,2,3,21,2023,-2.5,4,-263.077522848938,110.95,1.5,518.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-22,15,2,3,22,2023,-2.5,4,-265.577522848938,114.95,1.5,519.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-23,17,8,3,23,2023,0,5.5,-265.577522848938,120.45,5.5,525.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-24,18,7,3,24,2023,0,5.5,-265.577522848938,125.95,5.5,530.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-25,17,3,3,25,2023,-2,5,-267.577522848938,130.95,3,533.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-26,17,3,3,26,2023,-2,5,-269.577522848938,135.95,3,536.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-27,14,3,3,27,2023,-2,3.5,-271.577522848938,139.45,1.5,538.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-28,14,7,3,28,2023,0,3.5,-271.577522848938,142.95,3.5,541.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-29,15,8,3,29,2023,0,4.5,-271.577522848938,147.45,4.5,546.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-30,15,4,3,30,2023,-1.5,4,-273.077522848938,151.45,2.5,548.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-03-31,16,4,3,31,2023,-1.5,4.5,-274.577522848938,155.95,3,551.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-01,15,4,4,1,2023,-1.5,4,-276.077522848938,159.95,2.5,554.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-02,15,8,4,2,2023,0,4.5,-276.077522848938,164.45,4.5,558.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-03,16,9,4,3,2023,0,5.5,-276.077522848938,169.95,5.5,564.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-04,18,9,4,4,2023,0,6.5,-276.077522848938,176.45,6.5,570.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-05,20,5,4,5,2023,-1,6.5,-277.077522848938,182.95,5.5,576.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-06,17,5,4,6,2023,-1,5,-278.077522848938,187.95,4,580.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-07,17,5,4,7,2023,-1,5,-279.077522848938,192.95,4,584.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-08,17,6,4,8,2023,-0.5,5,-279.577522848938,197.95,4.5,588.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-09,17,9,4,9,2023,0,6,-279.577522848938,203.95,6,594.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-10,19,9,4,10,2023,0,7,-279.577522848938,210.95,7,601.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-11,21,8,4,11,2023,0,7.5,-279.577522848938,218.45,7.5,609.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-12,21,11,4,12,2023,0,9,-279.577522848938,227.45,9,618.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-13,21,11,4,13,2023,0,9,-279.577522848938,236.45,9,627.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-14,18,11,4,14,2023,0,7.5,-279.577522848938,243.95,7.5,634.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-15,19,12,4,15,2023,0,8.5,-279.577522848938,252.45,8.5,643.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-16,21,8,4,16,2023,0,7.5,-279.577522848938,259.95,7.5,650.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-17,20,6,4,17,2023,-0.5,6.5,-280.077522848938,266.45,6,656.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-18,19,7,4,18,2023,0,6,-280.077522848938,272.45,6,662.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-19,20,9,4,19,2023,0,7.5,-280.077522848938,279.95,7.5,670.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-20,21,12,4,20,2023,0,9.5,-280.077522848938,289.45,9.5,679.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-21,22,9,4,21,2023,0,8.5,-280.077522848938,297.95,8.5,688.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-22,20,9,4,22,2023,0,7.5,-280.077522848938,305.45,7.5,695.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-23,21,11,4,23,2023,0,9,-280.077522848938,314.45,9,704.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-24,20,10,4,24,2023,0,8,-280.077522848938,322.45,8,712.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-25,21,11,4,25,2023,0,9,-280.077522848938,331.45,9,721.772477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-26,22,9,4,26,2023,0,8.5,-280.077522848938,339.95,8.5,730.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-27,21,9,4,27,2023,0,8,-280.077522848938,347.95,8,738.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-28,21,11,4,28,2023,0,9,-280.077522848938,356.95,9,747.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-29,24,12,4,29,2023,0,11,-280.077522848938,367.95,11,758.272477151062
"JA000047759","Kyoto",35.017,"135.733",46,2023-04-30,21,11,4,30,2023,0,9,-280.077522848938,376.95,9,767.272477151062
