"boostings","learning_rates","max_bins","min_data_in_leaf","max_depth","feature_fractions","bagging_fractions","bagging_freqs","lambda_l2s","val_score","test_score"
"gbdt",0.1,255,20,-1,0.8,0.8,1,0,0.440386131874361,0.432904380313706
"gbdt",0.01,255,20,-1,0.8,0.8,1,0,0.436495191949885,0.419606056498075
"gbdt",0.1,127,20,-1,0.8,0.8,1,0,0.446059286760997,0.434102479495361
"gbdt",0.01,127,20,-1,0.8,0.8,1,0,0.452131804294786,0.415044092160883
"gbdt",0.1,511,20,-1,0.8,0.8,1,0,0.44843303340076,0.432904380313706
"gbdt",0.01,511,20,-1,0.8,0.8,1,0,0.450298279178521,0.418990504175723
"gbdt",0.1,255,10,-1,0.8,0.8,1,0,0.464400086093254,0.41940688572771
"gbdt",0.01,255,10,-1,0.8,0.8,1,0,0.446972698542813,0.421861494671024
"gbdt",0.1,127,10,-1,0.8,0.8,1,0,0.469594569886575,0.404774152974098
"gbdt",0.01,127,10,-1,0.8,0.8,1,0,0.448059768453036,0.422437534769642
"gbdt",0.1,511,10,-1,0.8,0.8,1,0,0.456723435811111,0.41940688572771
"gbdt",0.01,511,10,-1,0.8,0.8,1,0,0.45127891573325,0.421861494671024
"gbdt",0.1,255,40,-1,0.8,0.8,1,0,0.456854653515412,0.434659978520157
"gbdt",0.01,255,40,-1,0.8,0.8,1,0,0.448531208769593,0.430991843737577
"gbdt",0.1,127,40,-1,0.8,0.8,1,0,0.450318957003422,0.439682834152174
"gbdt",0.01,127,40,-1,0.8,0.8,1,0,0.442662424499372,0.434815853713373
"gbdt",0.1,511,40,-1,0.8,0.8,1,0,0.447508708195957,0.434659978520157
"gbdt",0.01,511,40,-1,0.8,0.8,1,0,0.454592878092694,0.430991843737577
"gbdt",0.1,255,20,-1,0.9,0.8,1,0,0.459466157121039,0.42739625942285
"gbdt",0.01,255,20,-1,0.9,0.8,1,0,0.44689645239558,0.422218786355833
"gbdt",0.1,127,20,-1,0.9,0.8,1,0,0.436819407146754,0.408216644439059
"gbdt",0.01,127,20,-1,0.9,0.8,1,0,0.45733688247524,0.417850433563841
"gbdt",0.1,511,20,-1,0.9,0.8,1,0,0.458861644937716,0.42739625942285
"gbdt",0.01,511,20,-1,0.9,0.8,1,0,0.439923234075047,0.422224740867335
"gbdt",0.1,255,10,-1,0.9,0.8,1,0,0.455682928541584,0.426974345522872
"gbdt",0.01,255,10,-1,0.9,0.8,1,0,0.452127666682756,0.418189867742532
"gbdt",0.1,127,10,-1,0.9,0.8,1,0,0.477681316980666,0.438561890862343
"gbdt",0.01,127,10,-1,0.9,0.8,1,0,0.46605219196031,0.420600356342166
"gbdt",0.1,511,10,-1,0.9,0.8,1,0,0.454135430455985,0.426974345522872
"gbdt",0.01,511,10,-1,0.9,0.8,1,0,0.452098312194004,0.418189867742532
"gbdt",0.1,255,40,-1,0.9,0.8,1,0,0.45593682192183,0.434430909973342
"gbdt",0.01,255,40,-1,0.9,0.8,1,0,0.461162993850506,0.426608221907917
"gbdt",0.1,127,40,-1,0.9,0.8,1,0,0.463942543967574,0.435152486687564
"gbdt",0.01,127,40,-1,0.9,0.8,1,0,0.443927358989691,0.436942966167184
"gbdt",0.1,511,40,-1,0.9,0.8,1,0,0.460640899228674,0.434430909973342
"gbdt",0.01,511,40,-1,0.9,0.8,1,0,0.450816429229431,0.426608221907917
"gbdt",0.1,255,20,-1,1,0.8,1,0,0.452427934774505,0.425466200891876
"gbdt",0.01,255,20,-1,1,0.8,1,0,0.444921305297801,0.425272135233974
"gbdt",0.1,127,20,-1,1,0.8,1,0,0.46412471035666,0.41947197138878
"gbdt",0.01,127,20,-1,1,0.8,1,0,0.444929300490618,0.419479394057618
"gbdt",0.1,511,20,-1,1,0.8,1,0,0.455306631788163,0.425466200891876
"gbdt",0.01,511,20,-1,1,0.8,1,0,0.434679744428797,0.425272135233974
"gbdt",0.1,255,10,-1,1,0.8,1,0,0.452887053327933,0.414824195445871
"gbdt",0.01,255,10,-1,1,0.8,1,0,0.438524198431051,0.428115263880771
"gbdt",0.1,127,10,-1,1,0.8,1,0,0.461405971180735,0.399118016594588
"gbdt",0.01,127,10,-1,1,0.8,1,0,0.445416069008374,0.424727790839136
"gbdt",0.1,511,10,-1,1,0.8,1,0,0.461957171012606,0.414824195445872
"gbdt",0.01,511,10,-1,1,0.8,1,0,0.449896099996823,0.428115263880771
"gbdt",0.1,255,40,-1,1,0.8,1,0,0.453900577848826,0.433630839539467
"gbdt",0.01,255,40,-1,1,0.8,1,0,0.443987623530235,0.427537887380681
"gbdt",0.1,127,40,-1,1,0.8,1,0,0.447020745629255,0.435114717373361
"gbdt",0.01,127,40,-1,1,0.8,1,0,0.447056098429051,0.436787679524535
"gbdt",0.1,511,40,-1,1,0.8,1,0,0.452336016794571,0.433630839539467
"gbdt",0.01,511,40,-1,1,0.8,1,0,0.448579307333694,0.427537887380681
"gbdt",0.1,255,20,-1,0.8,0.9,1,0,0.457825070939115,0.446560787761879
"gbdt",0.01,255,20,-1,0.8,0.9,1,0,0.446242210125282,0.41607292526402
"gbdt",0.1,127,20,-1,0.8,0.9,1,0,0.45209478907799,0.434121554294589
"gbdt",0.01,127,20,-1,0.8,0.9,1,0,0.456887240533842,0.417464906149461
"gbdt",0.1,511,20,-1,0.8,0.9,1,0,0.454968292118208,0.446560787761879
"gbdt",0.01,511,20,-1,0.8,0.9,1,0,0.443385161247127,0.416072680003178
"gbdt",0.1,255,10,-1,0.8,0.9,1,0,0.451373419106158,0.443205141465914
"gbdt",0.01,255,10,-1,0.8,0.9,1,0,0.473031791795348,0.422015091877091
"gbdt",0.1,127,10,-1,0.8,0.9,1,0,0.461972071637476,0.426637708793056
"gbdt",0.01,127,10,-1,0.8,0.9,1,0,0.451777024537088,0.430294858240905
"gbdt",0.1,511,10,-1,0.8,0.9,1,0,0.452564117455223,0.443205141465914
"gbdt",0.01,511,10,-1,0.8,0.9,1,0,0.464693393687924,0.422015091877091
"gbdt",0.1,255,40,-1,0.8,0.9,1,0,0.456150159776142,0.421137686333673
"gbdt",0.01,255,40,-1,0.8,0.9,1,0,0.459161732866777,0.427937427503572
"gbdt",0.1,127,40,-1,0.8,0.9,1,0,0.448726977750938,0.421053630207656
"gbdt",0.01,127,40,-1,0.8,0.9,1,0,0.449967864571937,0.435252634992483
"gbdt",0.1,511,40,-1,0.8,0.9,1,0,0.453154725999246,0.421137686333673
"gbdt",0.01,511,40,-1,0.8,0.9,1,0,0.446297388970679,0.427937427503572
"gbdt",0.1,255,20,-1,0.9,0.9,1,0,0.4410010518665,0.427398982482315
"gbdt",0.01,255,20,-1,0.9,0.9,1,0,0.451702427563079,0.419758508492471
"gbdt",0.1,127,20,-1,0.9,0.9,1,0,0.447541530452224,0.43347688227222
"gbdt",0.01,127,20,-1,0.9,0.9,1,0,0.453395712021758,0.419707871430894
"gbdt",0.1,511,20,-1,0.9,0.9,1,0,0.453668298461969,0.427398982482315
"gbdt",0.01,511,20,-1,0.9,0.9,1,0,0.44618459525164,0.41975850849247
"gbdt",0.1,255,10,-1,0.9,0.9,1,0,0.478534093957705,0.431769787803855
"gbdt",0.01,255,10,-1,0.9,0.9,1,0,0.453806054411612,0.418834594834209
"gbdt",0.1,127,10,-1,0.9,0.9,1,0,0.474263123447509,0.440289530191018
"gbdt",0.01,127,10,-1,0.9,0.9,1,0,0.456145491580687,0.425681228707842
"gbdt",0.1,511,10,-1,0.9,0.9,1,0,0.46303944308758,0.431769787803855
"gbdt",0.01,511,10,-1,0.9,0.9,1,0,0.447949646856648,0.418834594834209
"gbdt",0.1,255,40,-1,0.9,0.9,1,0,0.454755420199563,0.42162781819217
"gbdt",0.01,255,40,-1,0.9,0.9,1,0,0.450704193119754,0.425029540440607
"gbdt",0.1,127,40,-1,0.9,0.9,1,0,0.453643121504126,0.426872206662384
"gbdt",0.01,127,40,-1,0.9,0.9,1,0,0.449880452428787,0.432514258960521
"gbdt",0.1,511,40,-1,0.9,0.9,1,0,0.450103434353714,0.42162781819217
"gbdt",0.01,511,40,-1,0.9,0.9,1,0,0.459087252365015,0.425029540440607
"gbdt",0.1,255,20,-1,1,0.9,1,0,0.462001501383094,0.429609560142744
"gbdt",0.01,255,20,-1,1,0.9,1,0,0.453214761037784,0.425528938017836
"gbdt",0.1,127,20,-1,1,0.9,1,0,0.440825573215869,0.432184512127751
"gbdt",0.01,127,20,-1,1,0.9,1,0,0.450773206187726,0.418786574198238
"gbdt",0.1,511,20,-1,1,0.9,1,0,0.45850864319448,0.429609560142744
"gbdt",0.01,511,20,-1,1,0.9,1,0,0.458497899137014,0.425528938017836
"gbdt",0.1,255,10,-1,1,0.9,1,0,0.45917777759779,0.418447414642906
"gbdt",0.01,255,10,-1,1,0.9,1,0,0.456003157200453,0.432077431697948
"gbdt",0.1,127,10,-1,1,0.9,1,0,0.455806644611127,0.42576398465078
"gbdt",0.01,127,10,-1,1,0.9,1,0,0.467105070337755,0.427465204942815
"gbdt",0.1,511,10,-1,1,0.9,1,0,0.462609157695209,0.418447414642906
"gbdt",0.01,511,10,-1,1,0.9,1,0,0.462549073824676,0.432077431697948
"gbdt",0.1,255,40,-1,1,0.9,1,0,0.450452028357565,0.422953575198512
"gbdt",0.01,255,40,-1,1,0.9,1,0,0.443718543990007,0.426293864984805
"gbdt",0.1,127,40,-1,1,0.9,1,0,0.446923514641859,0.428649599321548
"gbdt",0.01,127,40,-1,1,0.9,1,0,0.458722456719077,0.434726786590974
"gbdt",0.1,511,40,-1,1,0.9,1,0,0.44589480220777,0.422953575198512
"gbdt",0.01,511,40,-1,1,0.9,1,0,0.452564959848733,0.426293864984805
"gbdt",0.1,255,20,-1,0.8,1,1,0,0.465948280735242,0.418761151691741
