"boostings","learning_rates","max_bins","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"dart",0.1,255,31,-1,51,0.378,0.905,0.161
"gbdt",0.1,255,31,-1,19,0.377,0.909,0.169
"dart",0.01,255,31,-1,794,0.4,0.898,0.177
"gbdt",0.01,255,31,-1,6,0.644,0.872,0.408
"dart",0.001,255,31,-1,999,0.576,0.857,0.2
"gbdt",0.001,255,31,-1,6,0.674,0.827,0.408
"dart",1e-04,255,31,-1,999,0.673,0.852,0.327
"gbdt",1e-04,255,31,-1,6,0.676,0.84,0.408
"dart",0.1,300,31,-1,46,0.39,0.906,0.192
"gbdt",0.1,300,31,-1,20,0.385,0.903,0.172
"dart",0.01,300,31,-1,852,0.387,0.902,0.175
"gbdt",0.01,300,31,-1,6,0.647,0.824,0.408
"dart",0.001,300,31,-1,999,0.571,0.884,0.184
"gbdt",0.001,300,31,-1,6,0.675,0.883,0.408
"dart",1e-04,300,31,-1,999,0.674,0.868,0.322
"gbdt",1e-04,300,31,-1,6,0.677,0.822,0.408
"dart",0.1,125,31,-1,57,0.4,0.897,0.192
"gbdt",0.1,125,31,-1,17,0.401,0.9,0.181
"dart",0.01,125,31,-1,841,0.379,0.909,0.177
"gbdt",0.01,125,31,-1,6,0.646,0.85,0.408
"dart",0.001,125,31,-1,999,0.574,0.856,0.195
"gbdt",0.001,125,31,-1,6,0.674,0.859,0.408
"dart",1e-04,125,31,-1,999,0.673,0.849,0.338
"gbdt",1e-04,125,31,-1,6,0.683,0.843,0.408
"dart",0.1,75,31,-1,65,0.385,0.906,0.167
"gbdt",0.1,75,31,-1,12,0.422,0.889,0.184
"dart",0.01,75,31,-1,936,0.392,0.901,0.181
"gbdt",0.01,75,31,-1,6,0.645,0.825,0.408
"dart",0.001,75,31,-1,999,0.575,0.856,0.189
"gbdt",0.001,75,31,-1,6,0.674,0.851,0.408
"dart",1e-04,75,31,-1,999,0.673,0.861,0.315
"gbdt",1e-04,75,31,-1,6,0.679,0.824,0.408
"dart",0.1,25,31,-1,46,0.367,0.912,0.162
"gbdt",0.1,25,31,-1,15,0.422,0.889,0.185
"dart",0.01,25,31,-1,1000,0.375,0.908,0.162
"gbdt",0.01,25,31,-1,6,0.647,0.839,0.408
"dart",0.001,25,31,-1,999,0.572,0.867,0.18
"gbdt",0.001,25,31,-1,6,0.674,0.829,0.408
"dart",1e-04,25,31,-1,999,0.674,0.85,0.352
"gbdt",1e-04,25,31,-1,6,0.677,0.828,0.408
"dart",0.1,255,51,-1,20,0.44,0.88,0.2
"gbdt",0.1,255,51,-1,18,0.398,0.9,0.173
"dart",0.01,255,51,-1,801,0.417,0.883,0.18
"gbdt",0.01,255,51,-1,6,0.645,0.825,0.408
"dart",0.001,255,51,-1,999,0.582,0.825,0.223
"gbdt",0.001,255,51,-1,6,0.674,0.826,0.408
"dart",1e-04,255,51,-1,999,0.674,0.808,0.233
"gbdt",1e-04,255,51,-1,6,0.677,0.798,0.408
"dart",0.1,300,51,-1,34,0.41,0.891,0.18
"gbdt",0.1,300,51,-1,15,0.448,0.868,0.2
"dart",0.01,300,51,-1,630,0.441,0.877,0.189
"gbdt",0.01,300,51,-1,6,0.646,0.805,0.408
"dart",0.001,300,51,-1,999,0.582,0.82,0.209
"gbdt",0.001,300,51,-1,6,0.677,0.824,0.408
"dart",1e-04,300,51,-1,999,0.674,0.807,0.258
"gbdt",1e-04,300,51,-1,6,0.677,0.797,0.408
"dart",0.1,125,51,-1,32,0.437,0.884,0.202
"gbdt",0.1,125,51,-1,19,0.401,0.898,0.175
"dart",0.01,125,51,-1,637,0.457,0.866,0.203
"gbdt",0.01,125,51,-1,6,0.646,0.846,0.408
