"boostings","learning_rates","max_bins","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"dart",1,255,20,-1,1,0.439,0.85,0.172
"gbdt",1,255,20,-1,2,0.425,0.888,0.181
"dart",0.1,255,20,-1,91,0.384,0.899,0.188
"gbdt",0.1,255,20,-1,13,0.402,0.902,0.175
"dart",0.01,255,20,-1,896,0.386,0.899,0.167
"gbdt",0.01,255,20,-1,6,0.648,0.848,0.408
"dart",0.001,255,20,-1,999,0.568,0.894,0.175
"gbdt",0.001,255,20,-1,6,0.673,0.869,0.408
"dart",1,125,20,-1,1,0.463,0.856,0.202
"gbdt",1,125,20,-1,1,0.428,0.872,0.172
"dart",0.1,125,20,-1,60,0.369,0.907,0.184
"gbdt",0.1,125,20,-1,20,0.381,0.904,0.175
"dart",0.01,125,20,-1,845,0.387,0.897,0.175
"gbdt",0.01,125,20,-1,6,0.646,0.886,0.408
"dart",0.001,125,20,-1,999,0.58,0.888,0.208
"gbdt",0.001,125,20,-1,6,0.674,0.865,0.408
"dart",1,25,20,-1,1,0.422,0.88,0.173
"gbdt",1,25,20,-1,1,0.428,0.873,0.169
"dart",0.1,25,20,-1,62,0.372,0.908,0.194
"gbdt",0.1,25,20,-1,20,0.362,0.918,0.153
"dart",0.01,25,20,-1,996,0.365,0.91,0.173
"gbdt",0.01,25,20,-1,6,0.647,0.866,0.408
"dart",0.001,25,20,-1,999,0.574,0.877,0.184
"gbdt",0.001,25,20,-1,6,0.68,0.869,0.408
"dart",1,15,20,-1,1,0.456,0.865,0.191
"gbdt",1,15,20,-1,1,0.431,0.884,0.177
"dart",0.1,15,20,-1,57,0.368,0.907,0.166
"gbdt",0.1,15,20,-1,11,0.411,0.907,0.186
"dart",0.01,15,20,-1,968,0.374,0.905,0.178
"gbdt",0.01,15,20,-1,6,0.645,0.88,0.408
"dart",0.001,15,20,-1,999,0.575,0.886,0.183
"gbdt",0.001,15,20,-1,6,0.676,0.863,0.408
"dart",1,255,31,-1,1,0.481,0.813,0.197
"gbdt",1,255,31,-1,1,0.48,0.836,0.194
"dart",0.1,255,31,-1,45,0.373,0.908,0.164
"gbdt",0.1,255,31,-1,12,0.423,0.891,0.184
"dart",0.01,255,31,-1,961,0.385,0.904,0.18
