"boostings","learning_rates","max_bins","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"dart",0.1,255,10,-1,18,0.381,0.917,0.138
"gbdt",0.1,255,10,-1,28,0.32,0.927,0.134
"dart",0.01,255,10,-1,6,0.645,0.895,0.404
"gbdt",0.01,255,10,-1,6,0.645,0.898,0.404
"dart",0.001,255,10,-1,6,0.672,0.89,0.404
"gbdt",0.001,255,10,-1,6,0.672,0.89,0.404
"dart",0.1,25,10,-1,18,0.379,0.921,0.138
"gbdt",0.1,25,10,-1,18,0.345,0.926,0.133
"dart",0.01,25,10,-1,6,0.645,0.896,0.404
"gbdt",0.01,25,10,-1,6,0.645,0.896,0.404
"dart",0.001,25,10,-1,6,0.672,0.893,0.404
"gbdt",0.001,25,10,-1,6,0.672,0.881,0.404
"dart",0.1,15,10,-1,18,0.381,0.917,0.14
"gbdt",0.1,15,10,-1,34,0.308,0.931,0.127
"dart",0.01,15,10,-1,6,0.646,0.892,0.404
"gbdt",0.01,15,10,-1,6,0.646,0.891,0.404
"dart",0.001,15,10,-1,6,0.673,0.88,0.404
"gbdt",0.001,15,10,-1,6,0.672,0.887,0.404
"dart",0.1,125,10,-1,18,0.377,0.921,0.132
"gbdt",0.1,125,10,-1,17,0.35,0.926,0.139
"dart",0.01,125,10,-1,6,0.645,0.886,0.404
"gbdt",0.01,125,10,-1,6,0.644,0.898,0.404
"dart",0.001,125,10,-1,6,0.672,0.893,0.404
"gbdt",0.001,125,10,-1,6,0.672,0.89,0.404
"dart",0.1,75,10,-1,16,0.385,0.921,0.139
"gbdt",0.1,75,10,-1,17,0.351,0.924,0.139
"dart",0.01,75,10,-1,6,0.644,0.898,0.404
"gbdt",0.01,75,10,-1,6,0.645,0.894,0.404
"dart",0.001,75,10,-1,6,0.672,0.89,0.404
"gbdt",0.001,75,10,-1,6,0.672,0.893,0.404
"dart",0.1,250,10,-1,18,0.379,0.921,0.137
"gbdt",0.1,250,10,-1,16,0.358,0.923,0.14
"dart",0.01,250,10,-1,6,0.645,0.899,0.404
"gbdt",0.01,250,10,-1,6,0.646,0.894,0.404
"dart",0.001,250,10,-1,6,0.671,0.896,0.404
"gbdt",0.001,250,10,-1,6,0.672,0.892,0.404
"dart",0.1,255,15,-1,18,0.361,0.928,0.127
"gbdt",0.1,255,15,-1,15,0.353,0.925,0.131
"dart",0.01,255,15,-1,6,0.643,0.906,0.404
"gbdt",0.01,255,15,-1,6,0.643,0.909,0.404
"dart",0.001,255,15,-1,6,0.671,0.902,0.404
"gbdt",0.001,255,15,-1,6,0.672,0.906,0.404
"dart",0.1,25,15,-1,18,0.364,0.925,0.127
"gbdt",0.1,25,15,-1,19,0.329,0.931,0.125
"dart",0.01,25,15,-1,6,0.643,0.902,0.404
"gbdt",0.01,25,15,-1,6,0.642,0.905,0.404
"dart",0.001,25,15,-1,6,0.672,0.902,0.404
"gbdt",0.001,25,15,-1,6,0.672,0.896,0.404
"dart",0.1,15,15,-1,11,0.417,0.921,0.136
"gbdt",0.1,15,15,-1,22,0.324,0.928,0.126
"dart",0.01,15,15,-1,6,0.644,0.904,0.404
"gbdt",0.01,15,15,-1,6,0.643,0.908,0.404
"dart",0.001,15,15,-1,6,0.671,0.901,0.404
"gbdt",0.001,15,15,-1,6,0.672,0.893,0.404
"dart",0.1,125,15,-1,18,0.364,0.927,0.128
"gbdt",0.1,125,15,-1,30,0.312,0.929,0.125
"dart",0.01,125,15,-1,6,0.643,0.909,0.404
"gbdt",0.01,125,15,-1,6,0.643,0.909,0.404
