"Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE"
7,-90,120,0,21
7,-91,120,0,21
7,-92,120,0,21
7,-93,120,0,12
7,-94,120,0,12
7,-95,120,0,12
7,-96,120,0,4
7,-97,120,0,21
7,-98,120,0,21
7,-99,120,0,24
7,-100,120,0,24
7,-101,120,0,24
7,-102,120,0,28
7,-103,120,0,28
7,-104,120,0,28
7,-105,120,0,28
7,-106,120,0,28
7,-107,120,0,28
7,-108,120,0,28
7,-109,120,0,28
7,-110,120,0,28
7,-111,120,0,28
7,-112,120,0,28
7,-113,120,0,28
7,-114,120,0,28
7,-115,120,0,28
7,-116,120,0,28
7,-117,120,0,28
7,-118,120,0,28
7,-119,120,0,28
7,-120,120,0,28
7,-121,120,0,28
7,-122,120,0,28
7,-123,120,0,28
7,-124,120,0,28
7,-125,120,0,28
7,-126,120,0,28
7,-127,120,0,28
7,-128,120,0,28
7,-129,120,0,29
7,-130,120,0,29
7,-131,120,0,29
7,-132,120,0,29
7,-133,120,0,29
7,-134,120,0,29
7,-135,120,0,29
7,-136,120,0,29
7,-137,120,0,29
7,-138,120,0,29
7,-139,120,0,29
7,-140,120,0,29
7,-141,120,0,29
7,-142,120,0,29
7,-143,120,0,30
7,-144,120,0,30
7,-145,120,0,30
7,-146,120,0,30
7,-147,120,0,30
7,-148,120,0,30
7,-149,120,0,31
7,-150,120,0,31
7,-90,121,0,21
7,-91,121,0,21
7,-92,121,0,21
7,-93,121,0,11
7,-94,121,0,11
7,-95,121,0,11
7,-96,121,0,4
7,-97,121,0,21
7,-98,121,0,21
7,-99,121,0,24
7,-100,121,0,24
7,-101,121,0,24
7,-102,121,0,28
7,-103,121,0,28
7,-104,121,0,28
7,-105,121,0,28
7,-106,121,0,28
7,-107,121,0,28
7,-108,121,0,28
7,-109,121,0,28
7,-110,121,0,28
7,-111,121,0,28
7,-112,121,0,28
7,-113,121,0,28
7,-114,121,0,28
7,-115,121,0,28
7,-116,121,0,28
7,-117,121,0,28
7,-118,121,0,28
7,-119,121,0,28
7,-120,121,0,28
7,-121,121,0,28
7,-122,121,0,28
7,-123,121,0,28
7,-124,121,0,28
7,-125,121,0,28
7,-126,121,0,28
7,-127,121,0,28
7,-128,121,0,28
7,-129,121,0,29
7,-130,121,0,29
7,-131,121,0,29
7,-132,121,0,29
7,-133,121,0,29
7,-134,121,0,29
7,-135,121,0,29
7,-136,121,0,30
7,-137,121,0,30
7,-138,121,0,30
7,-139,121,0,30
7,-140,121,0,30
7,-141,121,0,30
7,-142,121,0,30
7,-143,121,0,30
7,-144,121,0,31
7,-145,121,0,31
7,-146,121,0,31
7,-147,121,0,31
7,-148,121,0,31
7,-149,121,0,31
7,-150,121,0,32
7,-90,122,0,20
7,-91,122,0,20
7,-92,122,0,20
7,-93,122,0,11
7,-94,122,0,11
7,-95,122,0,11
7,-96,122,0,3
7,-97,122,0,21
7,-98,122,0,21
7,-99,122,0,24
7,-100,122,0,24
7,-101,122,0,24
7,-102,122,0,28
7,-103,122,0,28
7,-104,122,0,28
7,-105,122,0,28
