"State","Latitude","Longitude","Elevation_in_Meters","Species","Phenophase_Status","AGDD","Tmax","Tmin","year","month","day","date","doy"
"NC",35.926178,-78.692719,129,"yedoensis",1,583.75,21,13,2009,3,29,2009-03-29,88
"NC",35.926178,-78.692719,129,"yedoensis",0,197,9.5,-0.5,2010,3,2,2010-03-02,61
"OR",45.4856,-122.855499,63,"emarginata",1,508.5,13,2.5,2010,3,4,2010-03-04,63
"NC",35.926178,-78.692719,129,"yedoensis",0,248,22,3.5,2010,3,10,2010-03-10,69
"OR",45.4856,-122.855499,63,"emarginata",1,582.75,13,0.5,2010,3,14,2010-03-14,73
"OR",45.4856,-122.855499,63,"emarginata",1,594,17,5.5,2010,3,15,2010-03-15,74
"NC",35.926178,-78.692719,129,"yedoensis",0,345.5,19,3,2010,3,18,2010-03-18,77
"NC",35.875225,-78.737076,118,"yedoensis",0,374.75,23.5,4.5,2010,3,20,2010-03-20,79
"NC",35.926178,-78.692719,129,"yedoensis",0,386.25,24,6,2010,3,21,2010-03-21,80
"NC",35.875225,-78.737076,118,"yedoensis",0,389.75,23.5,6.5,2010,3,21,2010-03-21,80
"NC",35.875225,-78.737076,118,"yedoensis",1,403.75,20,8,2010,3,22,2010-03-22,81
"NC",35.875225,-78.737076,118,"yedoensis",1,414.75,18,4,2010,3,23,2010-03-23,82
"NC",35.926178,-78.692719,129,"yedoensis",1,423.5,19.5,4,2010,3,24,2010-03-24,83
"NC",35.875225,-78.737076,118,"yedoensis",1,426.75,20,4,2010,3,24,2010-03-24,83
"NC",35.926178,-78.692719,129,"yedoensis",1,437.75,23,5.5,2010,3,25,2010-03-25,84
"NC",35.875225,-78.737076,118,"yedoensis",1,441.25,23,6,2010,3,25,2010-03-25,84
"NC",35.875225,-78.737076,118,"yedoensis",1,455.25,21.5,6.5,2010,3,26,2010-03-26,85
"OR",45.4856,-122.855499,63,"emarginata",0,716.75,18,3.5,2010,3,27,2010-03-27,86
"NC",35.875225,-78.737076,118,"yedoensis",1,464,17.5,0,2010,3,27,2010-03-27,86
"NC",35.875225,-78.737076,118,"yedoensis",1,472.25,15.5,1,2010,3,28,2010-03-28,87
"OR",45.4856,-122.855499,63,"emarginata",0,776.25,11.5,4,2010,4,4,2010-04-04,94
"OH",39.973316,-82.802826,275,"emarginata",1,292.5,24,4.5,2010,4,4,2010-04-04,94
"NC",35.926178,-78.692719,129,"yedoensis",0,606.25,29.5,13.5,2010,4,5,2010-04-05,95
"OH",39.973316,-82.802826,275,"emarginata",1,330.75,27.5,14,2010,4,6,2010-04-06,96
"OH",39.973316,-82.802826,275,"emarginata",1,408.75,21.5,4,2010,4,12,2010-04-12,102
"NC",35.926178,-78.692719,129,"yedoensis",0,734.75,25,6.5,2010,4,12,2010-04-12,102
"OR",45.4856,-122.855499,63,"emarginata",0,920.25,22,6.5,2010,4,18,2010-04-18,108
"OR",45.4856,-122.855499,63,"emarginata",1,920.25,22,6.5,2010,4,18,2010-04-18,108
"OH",39.973316,-82.802826,275,"emarginata",0,545.75,22,6,2010,4,23,2010-04-23,113
"OR",45.4856,-122.855499,63,"emarginata",1,978,16.5,3.5,2010,4,23,2010-04-23,113
"OR",45.4856,-122.855499,63,"emarginata",1,1048.75,14.5,5.5,2010,4,30,2010-04-30,120
"TN",35.879211,-84.172203,284,"serrulata",0,303.5,19.5,2.5,2011,3,3,2011-03-03,62
"OR",45.4856,-122.855499,63,"emarginata",0,343.25,13.5,5,2011,3,8,2011-03-08,67
"WA",47.468678,-121.74054,163,"emarginata",0,246.75,8,1,2011,3,8,2011-03-08,67
"WA",47.468678,-121.74054,163,"emarginata",0,258.75,11,3.5,2011,3,10,2011-03-10,69
"TN",35.879211,-84.172203,284,"serrulata",0,373.5,8.5,1.5,2011,3,11,2011-03-11,70
"OR",45.4856,-122.855499,63,"emarginata",0,389,11.5,7,2011,3,13,2011-03-13,72
"TN",35.879211,-84.172203,284,"serrulata",0,439.5,18.5,1,2011,3,17,2011-03-17,76
